latitude,longitude,depth,strike,dip,rake
-1.064,126.869,25,283,80,13
-1.005,126.735,27.7,270,24,10
-0.993,126.981,27.5,343,24,-69
-0.916,126.885,25,174,74,-98
-1.45,126.76,15,297,29,-6
-0.843,126.831,15,201,87,-119
-1.25,126.81,12,21,42,-90
-1.017,126.779,26.1,12,87,119
-0.981,126.971,30,172,79,-96
-1.009,127.043,25.3,16,15,-119
-1.01,126.67,48,322,20,-66
-1.08,126.74,27,350,27,-86
-1,126.3,30,254,50,-128
-1.043,126.975,25,13,80,129
-1.039,127.006,25,19,75,138
-0.987,126.915,23.6,261,68,17
-1.049,126.914,15,282,53,16
-1.02,126.79,33,16,57,152
-0.969,126.875,20,24,84,124
-1.458,126.524,20,346,49,75
-0.927,126.911,25,259,42,15
-0.919,126.782,15,270,19,3
-0.895,126.791,15,34,88,108
-0.978,126.883,15,264,67,42
-1.04,126.97,16.2,31,47,159
-0.89,126.85,21.5,299,65,-13
-1.126,126.921,30.8,300,25,-65
-1.149,126.876,27.2,298,10,-25
-0.98,126.7,28.8,326,17,-70
-1.26,126.45,24.9,323,58,152
