date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
05-03-85,40:11.8,1.252,122.929,33.6,6.13,272,70,89,94,20,91,1.92,18.0,0.58,0.06,0.91,-1.48,0.1,-1.5,4
25-03-85,58:55.2,1.205,122.879,43.9,5.61,265,69,94,75,21,81,3.23,17.0,0.24,-0.16,1.98,-2.42,-0.41,-2.22,4
18-04-90,33:03.0,1.291,122.975,25.0,6.48,268,67,86,98,24,99,6.54,18.0,-1.27,-0.45,5.4,-4.46,0.27,-4.13,4
19-04-90,05:10.3,1.391,123.118,30.0,5.95,278,62,109,62,33,58,10.22,17.0,0.32,2.48,8.09,-5.24,-1.67,-8.42,4
19-04-90,40:43.4,1.34,122.92,40.5,6.3,85,48,-168,346,81,-43,3.43e+25,25.0,,,,,,,4
19-04-90,40:41.4,1.182,123.473,30.0,6.3,346,81,-43,85,48,-168,3.43,18.0,-0.48,-2.29,-0.69,0.04,-2.34,1.18,4
21-04-90,14:06.0,1.226,123.357,35.3,5.47,278,64,110,59,32,56,1.99,17.0,0.71,0.15,1.24,-1.08,-0.4,-1.96,4
26-04-90,40:37.9,1.241,122.932,30.7,5.93,298,63,92,113,27,86,9.58,17.0,-2.04,2.73,8.27,-4.79,2.51,-6.23,4
11-05-90,42:24.8,1.54,123.36,41.3,5.3,47,18,70,248,73,96,1.15e+24,23.0,,,,,,,4
15-05-90,31:42.4,1.19,123.29,15.0,6.0,65,29,106,227,63,81,1.0999999999999998e+25,24.0,,,,,,,4
26-05-90,57:35.0,1.33,123.36,33.0,5.7,119,12,109,279,79,86,4.79e+24,24.0,,,,,,,4
02-06-90,57:58.1,1.164,122.849,30.5,5.44,57,29,66,264,64,102,1.82,17.0,-0.47,0.19,1.6,-1.12,-0.37,-1.13,4
09-06-90,38:22.0,1.336,123.501,28.0,5.52,224,76,82,73,16,118,2.36,17.0,-0.27,-1.54,1.13,-1.38,-0.5,-0.85,4
26-06-90,36:22.6,1.132,123.019,30.4,5.24,72,29,49,297,68,110,9.1,16.0,-0.34,4.78,6.6,-4.67,-0.2,-6.26,4
04-08-90,19:30.2,1.338,123.089,29.3,5.37,75,26,80,267,65,95,1.42,17.0,-0.44,0.06,1.3,-0.91,-0.11,-0.86,4
09-09-90,29:29.4,1.252,123.024,34.9,5.68,275,71,92,89,19,85,4.09,17.0,-0.21,0.33,2.62,-3.22,0.07,-2.4,4
17-12-90,21:07.1,1.66,123.42,33.0,5.1,74,26,61,286,67,104,5.31e+23,23.0,,,,,,,4
17-12-90,43:45.4,1.37,123.14,18.1,5.5,94,21,84,281,69,92,2.04e+24,24.0,,,,,,,4
13-05-91,41:16.0,1.42,123.62,33.0,5.3,122,9,106,286,81,88,9.5e+23,23.0,,,,,,,4
19-05-91,58:02.9,1.177,122.962,23.7,6.87,291,67,98,92,24,72,2.48,19.0,-0.02,0.73,1.77,-1.54,0.36,-1.75,4
21-06-91,17:31.5,1.147,123.065,31.2,5.36,69,31,58,285,64,108,1.38,17.0,0.21,0.35,1,-0.73,-0.05,-1.21,4
21-06-91,14:18.6,1.56,122.74,15.0,5.4,321,63,150,65,64,30,1.65e+24,24.0,,,,,,,4
08-08-91,08:31.6,1.261,122.551,27.2,5.03,115,38,115,265,56,72,4.45,16.0,1.13,-0.53,3.52,-1.37,0.93,-4.65,4
08-08-91,09:48.9,1.088,122.542,30.0,6.59,273,65,92,88,25,86,9.44,18.0,1.18,0.4,6.62,-6.07,0.14,-7.81,4
09-08-91,28:03.1,1.397,122.755,25.0,5.27,93,40,80,286,51,98,1.01,17.0,0.14,0.12,0.9,-0.18,0.22,-1.04,4
06-01-92,28:21.7,1.37,123.08,47.9,5.3,39,29,138,168,71,67,9.89e+23,23.0,,,,,,,4
16-04-92,00:56.6,1.277,122.613,34.2,6.09,258,78,82,111,14,122,1.68,18.0,0.2,-0.34,0.6,-1.49,0.02,-0.8,4
15-07-92,34:18.0,1.372,123.357,34.6,5.56,307,75,110,73,25,39,2.71,17.0,0.26,1.59,1.39,-1.55,0.23,-1.65,4
23-09-92,10:55.0,1.256,123.575,35.0,5.41,53,33,56,272,63,110,1.65,17.0,0.17,0.21,1.18,-0.91,-0.49,-1.35,4
24-09-92,08:19.1,1.34,123.44,15.0,5.2,295,42,117,81,53,67,7.37e+23,23.0,,,,,,,4
