date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1979-12-23,08:34:02.10,3.52,127,26.6,6,110,14,41,340,81,101,1.14E+025,24,,,,,,
1979-12-30,21:19:08.50,1.09,125.86,35.5,5.6,207,41,136,334,63,58,3.53E+024,24,,,,,,
1980-03-16,10:33:15.60,3.14,126.49,58.4,5.4,63,36,-29,178,73,-122,1.81E+024,24,,,,,,
1980-04-25,13:21:11.80,4.5,126.9,60.8,5.4,166,38,78,2,53,100,1.62E+024,24,,,,,,
1980-05-15,18:58:29.50,-6.58,125.78,21.5,6.4,35,73,2,305,88,163,5.02E+025,25,,,,,,
1980-06-11,08:10:15.10,-6.98,125.46,539.5,6,168,43,-150,55,70,-51,1.17E+025,24,,,,,,
1980-07-29,22:23:41.50,2.45,126.45,38.5,5.5,233,45,130,3,57,57,2.08E+024,24,,,,,,
1980-08-31,16:29:35.50,-0.31,123.14,75.4,5.7,202,55,44,83,56,135,4.52E+024,24,,,,,,
1980-10-08,09:17:38.10,-0.16,123.23,132.9,5.8,79,27,98,251,63,86,6.12E+024,24,,,,,,
1980-11-01,20:24:11.90,3.92,125.19,345.7,5.1,152,19,-66,306,73,-98,5.12E+023,23,,,,,,
1980-11-05,18:15:07.30,-3.55,121.98,15,6.1,110,22,-22,221,82,-110,1.56E+025,25,,,,,,
1980-11-15,22:05:27.60,4,126.49,15,5.5,107,17,57,321,76,99,2.18E+024,24,,,,,,
1981-06-22,10:21:07.00,2.38,124.43,286.3,5.5,244,59,167,341,79,32,2.58E+024,24,,,,,,
1981-07-08,10:15:41.50,-2.46,125.21,36,5.3,103,59,-14,201,78,-148,1.26E+024,23,,,,,,
1981-08-14,06:24:50.60,2.71,126.84,20.5,5.7,121,46,40,1,63,128,5.3E+024,24,,,,,,
1981-10-11,00:39:19.10,0.47,120.55,66,5.6,142,7,-180,52,90,-83,3.13E+024,24,,,,,,
1981-10-17,20:04:16.80,4.56,122.7,594.1,6,227,14,-48,4,79,-100,1.26E+025,25,,,,,,
1981-12-25,00:28:19.80,4.41,118.91,15,5.5,25,71,161,122,72,60,2.64E+024,24,,,,,,
1982-03-02,06:39:32.50,-7.81,120.39,554.9,5.2,309,31,-47,82,68,-113,8.56E+023,23,,,,,,
1982-03-29,21:33:55.80,0.01,123.29,164.6,6,305,31,134,77,68,67,1.24E+025,24,,,,,,
1982-04-15,22:13:13.90,4.68,126.62,106.1,5.2,33,9,-35,158,85,-98,9.05E+023,23,,,,,,
1982-04-27,08:06:25.30,-4.22,118.85,15.7,5.6,38,24,100,207,66,86,3.67E+024,24,,,,,,
1982-05-07,05:36:23.80,-0.01,123.39,36,5.7,220,36,126,357,61,67,4.99E+024,24,,,,,,
1982-05-10,14:04:21.30,-7.57,123.74,566.1,5.2,179,43,-75,339,49,-104,8.2E+023,23,,,,,,
1982-06-04,15:21:40.60,4.11,124.5,332.2,6,213,9,-102,45,81,-88,1.09E+025,24,,,,,,
1982-06-22,04:18:55.30,-7.28,125.99,473.4,7.4,354,41,-140,232,65,-56,1.77E+027,27,,,,,,
1982-06-23,23:23:36.70,3.91,124.61,325.2,5.5,134,47,-114,347,48,-67,2.24E+024,24,,,,,,
1982-07-02,09:08:10.60,4.67,125.95,113.3,5.4,31,41,-96,218,49,-85,1.51E+024,24,,,,,,
1982-07-09,10:43:15.30,1.86,126.46,57.8,5.5,14,33,82,204,57,95,2.39E+024,24,,,,,,
1982-08-02,10:49:10.40,-7.99,124.23,34.8,5.2,134,38,-140,11,67,-58,8.18E+023,23,,,,,,
1982-08-27,23:30:06.70,-2.22,121.31,26.3,5.6,20,59,-146,271,61,-36,3.49E+024,24,,,,,,
1982-09-24,19:47:19.30,0.25,120.26,76,5.7,349,11,42,217,83,98,4.43E+024,24,,,,,,
1982-09-27,08:55:38.20,1.37,126.41,38.1,5.8,202,44,106,0,48,75,6.31E+024,24,,,,,,
1982-10-07,07:16:01.90,-6.97,125.88,521.1,6.7,346,44,-130,215,58,-59,1.33E+026,26,,,,,,
1982-10-23,00:08:13.70,-2.08,126.79,20.2,5.5,317,47,-118,174,49,-64,1.92E+024,24,,,,,,
1982-11-12,12:16:17.90,1.21,126.57,37.2,5.4,35,33,84,222,57,94,1.54E+024,24,,,,,,
1982-12-18,00:41:25.70,2.53,126.63,53.9,5.7,22,56,154,127,69,37,4E+024,24,,,,,,
1982-12-25,12:28:03.40,-7.85,123.36,39.8,5.9,6,78,7,275,83,168,9.73E+024,24,,,,,,
1983-01-02,18:29:50.00,2.22,125.89,40.4,5.5,339,26,22,229,81,114,1.92E+024,24,,,,,,
1983-01-28,03:15:13.30,2.6,124.07,350.7,5.9,272,44,-35,29,67,-128,1.04E+025,24,,,,,,
1983-03-30,00:49:18.00,1.71,123.19,47.6,5.6,86,70,-173,354,83,-20,2.71E+024,24,,,,,,
1983-04-21,10:25:14.00,1.15,126.82,53.3,5.3,21,33,83,209,58,94,1.04E+024,23,,,,,,
1983-05-10,10:27:30.00,-7.54,124.05,585.2,5.2,57,22,-59,204,71,-102,6.92E+023,23,,,,,,
1983-05-29,02:14:25.70,4.37,122.82,594,5.3,200,3,-69,359,7,-91,9.96E+023,23,,,,,,
1983-05-30,12:32:43.30,0.87,125.84,68.6,5.2,193,23,90,13,67,90,9.33E+023,23,,,,,,
1983-06-09,20:26:54.90,-6.08,123.26,18,5.5,40,35,57,258,61,111,2.57E+024,24,,,,,,
1983-06-12,10:12:42.10,1.68,126.83,118.5,5.7,329,33,62,181,61,107,3.78E+024,24,,,,,,
1983-07-19,23:49:19.50,1.21,123.65,283.5,5.5,186,15,48,49,79,100,2.48E+024,24,,,,,,
1983-07-26,20:14:52.50,0.58,119.91,45,5.3,344,18,6,248,88,108,1.13E+024,24,,,,,,
1983-08-11,22:56:13.20,1.74,127,86.2,5.4,319,17,-10,59,87,-107,1.83E+024,24,,,,,,
