no,ID BMKG,Date (hari-bulan-tahun),Time BMKG,Latitude,Longitude,Depth,Mw,az,cPhase,Segmen- grid,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2,P azimuth,P plunge,T azimuth,T plunge,Quality,,
39,bmg2015cuom,2015-02-09,17:06:05,-1.44,120.25,12.82,4.22,151,20,PalukoroSaluki-003,242,57,-154,138,68,-35,96,40,192,7,C,,
40,bmg2015zede,2015-12-25,00:32:58,-1.29,120.03,27.18,4.33,76,23,PalukoroSaluki-003,327,58,-40,81,57,-140,293,50,24,1,C,,
41,bmg2017ijhl,2017-04-29,22:16:48,-1.37,120.15,33.49,4.12,143,21,PalukoroSaluki-003,244,70,114,12,31,42,317,22,187,58,A,,
42,bmg2010pbfx,2010-08-03,06:27:24,-2.47,121.26,5.93,4.73,52,39,PewusaiMatano-002,6,76,-175,274,85,-14,229,13,321,6,B,,
43,bmg2011vpzc,2011-11-04,13:58:36,-2.25,120.76,9.02,4.53,100,20,PewusaiMatano-002,21,74,177,111,87,16,245,9,337,13,A,,
44,bmg2012lhmc,2012-06-09,14:57:20,-2.35,120.94,21.42,4.12,90,16,PewusaiMatano-002,206,55,147,317,64,40,80,6,176,46,C,,
45,bmg2013fdvw,2013-03-15,06:08:27,-2.48,121.24,8.08,4.73,57,22,PewusaiMatano-002,23,37,-100,215,54,-83,154,80,300,9,B,,
46,bmg2013jlkm,2013-05-15,07:37:08,-2.30,120.89,8.32,4.43,56,26,PewusaiMatano-002,226,83,-159,133,69,-8,91,20,358,9,A,,
47,bmg2013prum,2013-08-12,04:42:11,-2.38,120.83,8.82,4.53,121,13,PewusaiMatano-002,96,57,111,241,39,62,171,9,54,70,C,,
48,bmg2013vltx,2013-11-02,06:48:28,-2.32,120.81,8.22,4.12,82,16,PewusaiMatano-002,270,56,-67,53,41,-120,232,69,344,8,C,,
49,bmg2014jopk,2014-05-17,01:30:28,-2.22,120.81,7.85,4.43,110,18,PewusaiMatano-002,99,47,16,358,78,136,55,20,309,39,C,,
50,bmg2014mrzt,2014-06-30,14:44:57,-2.30,120.89,9.27,4.33,62,22,PewusaiMatano-002,133,74,31,34,60,162,261,9,357,33,A,,
51,bmg2016vqgm,2016-11-03,17:42:28,-2.49,121.06,34.22,4.22,50,35,PewusaiMatano-002,241,89,-173,151,83,-1,106,6,16,4,B,,
52,bmg2017yymd,2017-12-21,22:14:59,-2.44,121.07,6.87,4.53,87,26,PewusaiMatano-002,353,54,-89,173,36,-91,266,81,83,9,B,,
53,bmg2018hvaq,2018-04-22,02:55:24,-2.27,120.69,7.67,4.53,50,36,PewusaiMatano-002,307,54,-39,62,59,-137,277,51,183,3,A,,
54,bmg2018iysp,2018-05-08,08:56:19,-2.36,120.93,9.94,4.33,97,19,PewusaiMatano-002,75,45,-87,251,46,-93,86,88,343,1,C,,
55,bmg2018tbep,2018-09-29,00:38:03,-2.43,121.04,7.66,4.50,98,24,PewusaiMatano-002,173,54,68,28,42,117,279,6,27,71,C,,
56,bmg2012fwoe,2012-03-24,11:50:23,-2.25,121.05,9.40,4.22,105,14,PewusaiMatano-003,246,57,-119,111,42,-53,103,65,356,8,C,,
