#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
125.41 -7.86 36.4 8.90131 -6.66103 -2.24028 -2.91092 -3.28514 -4.05261 25.0 X Y 0 R
124.74 -7.76 44.3 2.68135 -2.11256 -0.568798 -1.50204 -0.743978 -1.09651 24.0 X Y 1 R
124.88 -7.71 33.0 0.894161 -0.758778 -0.135383 -0.546384 0.135235 -0.49528 24.0 X Y 2 R-SS
125.14 -7.71 33.0 1.95238 -1.29709 -0.655294 -1.00404 -0.331089 -0.965579 24.0 X Y 3 R
125.2 -7.5 40.0 6.4165 -2.78421 -3.63229 -3.72815 -2.70582 -3.28889 23.0 X Y 4 R
126.02 -7.61 42.7 1.28026 -0.555523 -0.724737 -0.743863 -0.539883 -0.656219 24.0 X Y 5 R
124.773 -7.846 30.5 0.907157 -0.574401 -0.332755 0.318089 -0.542578 0.481202 24.0 X Y 6 R
125.16 -7.24 28.1 0.907157 -0.574401 -0.332755 0.318089 -0.542578 0.481202 24.0 X Y 7 R
125.043 -7.81 15.0 0.976665 -0.98611 0.00944508 0.286944 0.192416 -0.118018 24.0 X Y 8 R
125.632 -7.616 30.3 7.29359 -7.64221 0.34862 -0.00612096 -1.66679 -0.495346 23.0 X Y 9 R
125.85 -7.43 33.0 4.1513 -4.24695 0.0956497 2.69866 -1.31003 -2.23255 23.0 X Y 10 R-SS
124.77 -7.99 23.6 2.22483 -3.40787 1.18304 -0.63459 -2.20449 -1.26687 23.0 X Y 11 R-SS
125.36 -7.96 16.3 4.93823 -5.0317 0.093461 -2.28397 1.14342 0.492352 23.0 X Y 12 R
125.06 -7.97 13.0 6.36089 -5.68434 -0.676552 -4.63257 -0.49243 -2.18571 23.0 X Y 13 R
124.928 -7.916 10.0 1.23131 -1.23935 0.00804483 -0.777553 -0.219839 -0.0935473 24.0 X Y 14 R
125.32 -7.96 17.6 0.0 -0.405502 0.405502 -0.226186 0.788804 0.648939 24.0 X Y 15 SS-R
125.174 -7.892 17.5 -0.340248 5.67611 -5.33586 0.729728 -1.60835 -0.602019 23.0 X Y 16 SS
124.716 -7.931 26.1 0.846142 -0.986259 0.140117 0.885714 -0.344691 -0.384722 24.0 X Y 17 R-SS
124.82 -7.993 29.6 0.378322 5.33145 -5.70977 1.42032 -0.387644 -1.38623 24.0 X Y 18 SS
125.5 -7.98 25.2 0.983641 -1.28447 0.300828 -0.552548 -0.556962 0.1606 23.0 X Y 19 R-SS
125.568 -7.714 15.0 4.63313 -2.68268 -1.95045 1.10462 -2.87075 -3.99901 23.0 X Y 20 R-SS
125.84 -7.74 17.2 2.20012 -0.974614 -1.22551 -0.573716 -1.57752 -1.21632 23.0 X Y 21 R
125.71 -7.917 17.3 2.21279 -2.97584 0.763049 -1.63958 -2.97509 -1.47867 23.0 X Y 22 R-SS
125.681 -7.984 16.8 -1.32213 -1.57382 2.89595 -1.54032 -2.31416 -3.93427 23.0 X Y 23 SS-N
125.673 -7.875 15.0 0.392643 0.0650081 -0.457651 0.172037 -1.29473 -0.78869 24.0 X Y 24 R-SS
125.678 -7.877 23.1 0.0399159 -0.11819 0.0782736 -0.0102839 -0.571499 -0.842358 25.0 X Y 25 SS-R
125.72 -7.809 15.0 0.0271912 -0.204036 0.176844 -0.028805 -0.778541 -1.45274 25.0 X Y 26 SS-R
125.75 -7.81 16.6 2.5112 -2.80247 0.291273 -0.264525 -0.865223 -0.0479553 23.0 X Y 27 R
125.734 -7.881 15.0 2.62165 -1.58336 -1.03829 -1.37425 -1.11284 -1.28218 24.0 X Y 28 R
126.05 -7.38 20.3 0.35984 -2.72981 2.36997 0.469386 0.96041 0.448915 23.0 X Y 29 SS-R
125.93 -7.34 10.0 0.403747 -3.0629 2.65915 0.52666 1.0776 0.503691 24.0 X Y 30 SS-R
125.67 -7.29 10.0 1.77152 -1.76003 -0.0114869 -0.120144 0.0744555 0.155711 25.0 X Y 31 R
125.741 -7.947 18.2 -1.11933 -4.88241 6.00175 -2.91717 -4.21947 -3.27697 23.0 X Y 32 SS-N
125.79 -7.447 17.7 3.07656 -3.2188 0.142237 -0.78666 1.04393 -1.11839 23.0 X Y 33 R
125.8 -7.87 15.6 -0.379909 -0.7484 1.12831 -0.780532 -0.343643 -1.81543 24.0 X Y 34 SS-N
125.61 -7.5 17.8 1.77117 -1.55552 -0.215648 -1.21697 0.148768 -0.840902 24.0 X Y 35 R
