% ini datanya
%  stike   dip   rake
   186   44   -76
   147   39   143
   85   37   90
   266   26   -103
   101   21   96
   98   36   91
   354   42   -100
   85   34   61
   110   48   -148
   115   38   115
   92   29   101
   119   29   121
   74   26   61
   93   39   92
   295   42   117
   96   22   97
   105   22   99
   91   20   91
   2   53   35
   105   23   95
   109   13   93
   72   29   49
   93   40   80
   66   18   45
   60   38   41
   47   18   70
   296   36   75
   122   9   106
   39   29   138
   333   29   65
   66   18   45
   240   28   -98
   69   31   58
   75   26   80
   105   19   98
   321   63   150
   116   44   133
   138   60   -176
   106   18   97
   53   33   56
   57   29   66
   278   64   110
   94   21   84
   74   37   59
   276   67   87
   224   76   82
   69   63   -97
   354   83   -20
   307   75   110
   196   62   -105
   86   70   -173
   278   68   87
   265   69   94
   281   72   96
   275   72   89
   275   71   92
   270   74   88
   119   12   109
   102   20   101
   301   72   102
   194   50   -98
   271   69   88
   185   37   -93
   96   20   95
   298   63   92
   286   66   108
   278   62   109
   9   53   -87
   227   63   81
   65   29   106
   258   78   82
   272   70   89
   85   48   -168
   346   81   -43
   268   67   86
   98   21   93
   273   65   92
   291   67   98
