value,mean of all data,stdev,mean of ci95 data,stdev of ci95,2.5%,97.5%,half width 95% percentil
Sigma1 Azimuth,263.6599954521213,20.326642414127868,264.3227160858667,16.203788634787294,214.0875848770534,297.2675217490497,41.58996843599816
Sigma1 Plunge,5.346197117152121,4.3553102659688845,5.108235461184282,3.724406023656315,0.2515151522811589,16.38206459535799,8.065274721538415
Sigma2 Azimuth,172.60518250683882,20.065327551545835,173.1718539005858,16.08912558281842,124.4928144927431,207.04289362289438,41.275039565075645
Sigma2 Plunge,11.796629515345245,12.047003971528406,10.811408592268995,9.253981866853135,0.24079989944351973,45.34306298907935,22.551131544817913
Sigma3 Azimuth,25.976202931235335,42.605761182219375,26.62677354387821,38.374329572709044,296.5188598272309,98.97226268183644,81.22670142730276
Sigma3 Plunge,75.96339910214458,11.874318482905476,76.89071722580888,9.049992294378525,44.02268768332615,88.74018326005194,22.358747788362894
SHmax,264.18306768927414,21.53497238915476,264.9706998897479,16.832936453165253,210.96536473138988,297.76685167166164,43.40074347013588
Shape Ratio,0.6117266590793461,0.19202849135201175,0.6171897548425673,0.1712189191201929,0.17128494267553745,0.8804262967626625,0.3545706770435625
simpson index,2.388273340920654,0.19202849135201175,2.3828102451574327,0.1712189191201929,2.1195737032373376,2.828715057324463,0.3545706770435626
