date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster,corepoint
03-01-93,23:41.8,-1.17,120.08,48.4,5.7,68,72,173,160,83,19,3.93e+24,24.0,,,,,,,5,c
19-05-95,29:58.5,-1.1,120.2,30.0,5.8,129,29,-58,274,65,-160,,,,,,,,,5,c
01-07-02,11:05.5,-1.485,120.191,15.0,5.31,271,34,-97,99,56,-86,1.15,17.0,-0.03,0.12,-1.03,-0.44,-0.1,1.07,5,c
23-01-05,59:43.7,-1.101,120.043,15.0,5.26,76,52,-151,327,68,-42,0.99,17.0,-0.31,-0.36,-0.53,0.15,-0.6,0.84,5,c
23-01-05,10:12.9,-1.19,120.013,10.0,6.24,321,61,-59,90,41,-133,2.8,18.0,-0.22,-1.1,-1.9,0.51,-1.62,2.13,5,c
09-07-05,59:14.3,-1.227,119.998,10.0,5.88,320,64,-53,80,44,-141,0.8,18.0,-0.19,-0.31,-0.49,0.16,-0.42,0.69,5,c
12-05-10,07:53.0,-1.25,120.09,11.0,5.1,336,68,-16,73,75,-157,,,,,,,,,5,c
18-08-12,41:53.0,-1.21,120.08,10.0,6.2,339,83,-5,70,85,-173,,,,,,,,,5,c
23-02-14,06:52.2,-1.097,120.248,24.8,5.4,114,28,-79,282,63,-96,1.56,17.0,0.03,-0.14,-1.22,0.9,-0.41,1.18,5,c
20-04-17,54:01.5,-1.14,120.08,21.0,4.8,63,67,-159,324,71,-24,1.73e+23,23.0,,,,,,,5,c
02-11-17,02:15.4,-1.29,120.23,14.8,4.9,268,30,-143,145,72,-65,3.1e+23,23.0,,,,,,,5,c
25-11-17,14:50.9,-1.328,119.94,20.0,5.02,64,74,-179,334,89,-16,4.32,16.0,-2.82,-0.91,-0.83,0.72,-2.62,3.65,5,c
25-11-17,11:24.6,-1.314,120.013,19.1,5.07,67,84,178,157,88,6,5.0,16.0,-2.98,-0.41,-1.18,0.61,-3.44,4.16,5,c
28-09-18,24:01.2,-1.44,120.22,12.0,5.0,127,59,4,35,87,149,4.35e+23,23.0,,,,,,,5,c
29-09-18,32:51.7,-1.51,120.19,22.3,4.9,52,76,-176,321,86,-14,2.48e+23,23.0,,,,,,,5,c
29-09-18,40:10.9,-1.51,120.15,14.7,5.0,101,38,-69,254,54,-106,3.45e+23,23.0,,,,,,,5,c
29-09-18,30:17.9,-1.43,120.19,12.0,5.1,116,37,-56,256,60,-112,5.78e+23,23.0,,,,,,,5,c
30-09-18,38:43.3,-1.25,120.24,26.1,5.1,111,35,-86,286,55,-93,6.58e+23,23.0,,,,,,,5,c
02-10-18,59:26.1,-1.44,119.95,15.0,5.4,115,13,6,19,89,103,1.54e+24,24.0,,,,,,,5,c
02-11-18,06:31.2,-1.24,120.46,14.4,4.8,120,37,-80,287,54,-98,1.91e+23,23.0,,,,,,,5,c
02-11-18,33:36.3,-1.25,120.41,13.1,5.0,124,44,-60,264,53,-116,3.81e+23,23.0,,,,,,,5,c
03-03-19,45:07.0,-1.48,120.29,19.7,4.9,109,41,-54,245,58,-117,3.03e+23,23.0,,,,,,,5,c
30-04-21,34:30.5,-1.52,120.19,17.2,4.7,87,42,-82,257,48,-97,1.42e+23,23.0,,,,,,,5,c
