#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
125.12 -0.073 35.0 5.26166 0.322797 -5.58446 4.62149 5.61826 -1.6441 24.0 X Y 0 R
125.289 -0.065 41.8 1.24711 -0.34498 -0.902133 0.699909 1.71228 -0.588247 24.0 X Y 1 R
124.88 -0.08 45.1 1.14008 -0.159987 -0.98009 0.412427 1.02079 -0.395982 24.0 X Y 2 R
125.106 -0.177 43.0 1.22118 -0.340696 -0.880486 0.0259499 0.8534 -0.69178 25.0 X Y 3 R
124.92 -0.243 40.0 1.83775 -0.742048 -1.0957 0.599854 2.28929 -1.17685 25.0 X Y 4 R
125.11 0.032 41.0 2.9126 -1.24234 -1.67026 0.76916 1.50956 -1.48423 24.0 X Y 5 R
124.955 -0.155 24.6 2.64414 -1.07564 -1.56851 0.886782 1.87723 -1.36631 24.0 X Y 6 R
125.102 -0.292 49.5 1.46992 -0.684609 -0.785306 -0.862443 1.08475 -2.01054 24.0 X Y 7 R-SS
124.924 -0.053 35.0 3.87198 -0.748414 -3.12357 0.725914 6.17134 -2.22871 24.0 X Y 8 R
125.29 -0.13 49.2 3.76925 -1.31675 -2.4525 0.88573 2.1699 -1.86594 24.0 X Y 9 R
125.078 -0.108 47.4 0.946674 -0.443344 -0.503331 0.322104 0.73318 -0.52014 25.0 X Y 10 R
124.995 -0.184 41.6 -2.90181 2.90181 -7.7193e-16 1.17241 1.41721 -2.1011 24.0 X Y 11 N-SS
125.3 -0.2 31.0 1.55887 -0.545895 -1.01298 0.818053 2.57244 -0.914459 24.0 X Y 12 R
125.019 -0.086 50.0 1.45667 -0.77167 -0.685002 0.447768 0.974559 -0.803044 25.0 X Y 13 R
125.1 -0.4 33.0 2.20012 -2.30467 0.104545 1.49545 0.76245 -0.209987 23.0 X Y 14 R
125.29 -0.44 26.0 1.77125 -0.0260128 -1.74524 0.0478411 -0.902272 -0.269734 23.0 X Y 15 R
124.852 -0.116 25.0 1.428 -0.758814 -0.669183 0.404038 2.09996 -1.21709 24.0 X Y 16 R
125.09 -0.34 41.0 4.38098 -2.44921 -1.93177 0.342297 2.95268 -2.88542 23.0 X Y 17 R-SS
125.1 -0.33 30.2 3.68057 -2.23048 -1.45009 -0.0265989 3.34049 -3.18606 23.0 X Y 18 R-SS
125.131 -0.164 35.0 2.00516 -1.5245 -0.480652 1.30679 6.04522 -2.7272 24.0 X Y 19 R
125.1 -0.41 30.7 2.34869 -1.20781 -1.14088 -1.37481 0.473079 1.30038 23.0 X Y 20 R
124.732 -0.196 30.0 2.35298 -1.64152 -0.711461 0.694904 2.9873 -2.00183 25.0 X Y 21 R-SS
124.796 -0.224 35.0 1.67029 -1.5007 -0.169594 0.312033 2.35344 -1.89144 25.0 X Y 22 R-SS
124.96 -0.17 21.0 4.77914 -2.85189 -1.92725 1.4432 3.54238 -2.79921 24.0 X Y 23 R
125.09 -0.31 35.0 4.42052 -4.21038 -0.210139 3.42726 0.553324 -0.956207 23.0 X Y 24 R
125.178 -0.364 36.0 4.32457 -3.68305 -0.641522 3.24148 -0.38089 -2.31687 24.0 X Y 25 R-SS
125.12 -0.35 36.0 4.77864 -4.1396 -0.639039 3.61513 -0.462051 -2.51755 24.0 X Y 26 R-SS
125.06 -0.27 36.0 1.13368 -0.754877 -0.378801 1.2703 0.231165 -0.704202 25.0 X Y 27 R
124.83 -0.18 35.0 4.10127 -3.26202 -0.839249 1.67834 0.441019 -1.69071 24.0 X Y 28 R
125.35 -0.27 42.0 1.78875 -0.979193 -0.809556 0.316773 1.16725 -1.06871 24.0 X Y 29 R
125.125 -0.223 38.0 0.81133 -0.52492 -0.28641 0.303127 0.621264 -0.46529 25.0 X Y 30 R
125.11 -0.26 15.0 0.947646 -0.637167 -0.310479 0.177616 0.499754 -0.526705 24.0 X Y 31 R
125.17 -0.29 37.4 3.03445 -3.33228 0.297822 2.1145 -0.959226 -0.507317 23.0 X Y 32 R
125.17 -0.4 44.3 4.66202 -4.64925 -0.0127695 3.14026 0.164574 -0.243657 23.0 X Y 33 R
125.17 -0.25 10.0 1.20804 -1.3266 0.118565 0.841797 -0.381875 -0.201967 24.0 X Y 34 R
125.14 -0.17 15.0 1.31394 -1.31034 -0.00359894 0.885046 0.0463833 -0.0686718 24.0 X Y 35 R
125.011 -0.128 30.0 0.639732 -0.586788 -0.0529446 1.75777 0.0596264 -0.399088 25.0 X Y 36 R
125.29 -0.2 10.0 5.08893 -2.62121 -2.46773 1.68268 3.19195 -2.71329 24.0 X Y 37 R
124.93 -0.089 50.0 3.10559 -1.59674 -1.50886 0.713164 1.85075 -1.71931 24.0 X Y 38 R
125.35 -0.14 45.0 1.0671 -0.57077 -0.496333 0.253577 0.236464 -0.532252 24.0 X Y 39 R
125.33 -0.17 16.0 1.74762 -1.01086 -0.736761 0.605033 1.18819 -0.961564 24.0 X Y 40 R
125.33 -0.17 10.0 6.46563 -4.19396 -2.27168 1.53611 3.88254 -3.65853 23.0 X Y 41 R
124.993 -0.158 34.8 1.87801 -1.34769 -0.530317 0.445124 1.46044 -1.20983 24.0 X Y 42 R-SS
125.18 -0.3 32.0 4.80522 -3.98031 -0.824907 0.854997 5.04707 -4.13341 23.0 X Y 43 R-SS
125.08 -0.31 33.8 4.82021 -3.15615 -1.66406 -0.632859 1.94774 -3.07347 23.0 X Y 44 R
125.16 -0.42 31.3 0.869262 -0.559423 -0.309839 0.19313 0.600952 -0.527444 24.0 X Y 45 R-SS
125.097 -0.21 30.0 5.84526 -3.94058 -1.90467 1.21322 5.31574 -4.21195 24.0 X Y 46 R-SS
125.053 -0.202 29.2 2.33056 -1.45968 -0.870878 0.682012 1.8798 -1.44008 25.0 X Y 47 R
125.1 -0.31 37.5 0.947646 -0.408815 -0.538831 0.0698302 0.525762 -0.547607 24.0 X Y 48 R
124.969 -0.081 46.8 2.97596 -1.91375 -1.06221 0.69534 2.12653 -1.81836 24.0 X Y 49 R-SS
125.24 -0.3 39.0 1.21429 -0.770049 -0.444238 0.260431 0.865185 -0.750405 24.0 X Y 50 R-SS
125.2 -0.33 35.1 1.28033 -0.820016 -0.46031 0.344597 0.786356 -0.716249 24.0 X Y 51 R
125.17 -0.37 35.6 1.79224 -0.70417 -1.08807 0.516645 0.707583 -0.876097 23.0 X Y 52 R
125.37 -0.42 36.5 3.05015 -2.25537 -0.794777 0.841094 2.10796 -1.78524 23.0 X Y 53 R-SS
125.22 -0.38 32.5 1.36225 -0.833825 -0.528424 0.390595 0.66581 -0.707749 24.0 X Y 54 R
125.35 -0.35 41.4 2.4487 -1.38033 -1.06837 0.558318 1.18761 -1.30373 23.0 X Y 55 R
