date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster,corepoint
26-06-76,30:59.8,3.787,126.87,20.0,6.49,12,66,100,169,26,69,6.59,18.0,-5.14,4.1,4.8,1.35,-0.09,0.34,0,c
13-02-77,06:53.0,-0.073,125.12,35.0,5.91,34,72,104,175,22,53,9.08,17.0,-5.38,5.55,5.15,4.62,-1.55,0.24,0,c
16-02-77,40:23.7,0.533,126.014,43.7,6.01,201,62,68,61,35,124,1.29,18.0,-0.53,-0.81,1.17,0.16,-0.36,-0.64,0,c
09-03-77,01:16.4,3.07,126.72,20.1,5.5,83,18,123,228,75,80,2.4999999999999997e+24,24.0,,,,,,,0,c
13-04-77,45:43.5,3.72,126.86,44.9,5.4,134,34,42,8,68,117,1.39e+24,23.0,,,,,,,0,c
03-07-77,39:15.4,1.396,126.279,44.4,6.27,197,58,85,28,32,99,3.15,18.0,-2.14,-1.44,3.2,-0.18,-0.61,-1.06,0,c
06-09-77,00:45.0,2.19,126.63,34.7,5.5,107,12,116,261,79,85,2.53e+24,24.0,,,,,,,0,c
13-12-77,27:12.6,-0.31,124.08,46.1,5.4,97,83,-175,7,85,-7,1.8e+24,24.0,,,,,,,0,c
14-01-78,49:45.4,1.687,126.455,50.0,5.63,212,59,60,80,42,129,3.4,17.0,-0.56,-1.61,2.62,0.0,-1.81,-2.05,0,c
03-05-78,29:57.0,3.76,126.7,39.5,5.4,359,24,-36,123,76,-110,1.34e+24,23.0,,,,,,,0,c
25-05-78,20:52.2,-0.065,125.289,41.8,5.5,24,73,85,219,17,105,2.22,17.0,-0.84,1.71,1.33,0.68,-0.45,-0.48,0,c
08-09-78,28:40.5,4.013,126.514,35.0,5.54,192,70,-86,1,21,-101,2.49,17.0,1.6,1.82,-1.64,0.48,0.18,0.04,0,c
29-10-78,01:10.6,-0.08,124.88,45.1,5.4,202,23,90,22,67,90,1.62e+24,24.0,,,,,,,0,c
14-12-78,25:59.4,0.547,126.009,43.9,6.12,214,60,106,4,34,64,1.88,18.0,-1.52,-0.62,1.48,-0.67,-0.67,0.05,0,c
20-12-78,51:56.8,3.866,126.735,15.0,5.49,177,63,91,355,27,88,2.1,17.0,-1.47,-1.25,1.91,0.05,0.08,-0.44,0,c
10-04-79,42:23.8,3.083,126.918,37.1,6.97,358,75,104,135,21,49,3.48,19.0,-1.53,2.92,1.83,0.21,0.82,-0.3,0,c
18-05-79,22:27.4,0.668,125.959,36.2,6.26,182,74,114,304,29,35,3.07,18.0,-1.43,-2.37,1.58,-0.6,1.11,-0.14,0,c
24-05-79,35:51.1,0.806,126.031,30.0,5.61,22,62,124,148,43,44,3.2,17.0,-3.04,1.02,2.22,1.3,0.32,0.83,0,c
07-07-79,01:08.9,1.241,126.249,45.0,5.66,206,53,119,343,46,57,3.79,17.0,-3.73,-0.31,3.19,-1.41,-0.32,0.55,0,c
19-10-79,38:23.6,0.576,126.567,49.6,6.04,279,62,-44,34,52,-143,14.25,17.0,-1.14,-8.76,-7.81,5.66,6.16,8.95,0,c
22-10-79,58:51.3,0.707,125.932,38.2,6.52,295,71,52,181,42,150,7.4,18.0,-4.01,-0.03,3.68,-5.25,3.63,0.33,0,c
23-12-79,34:02.1,3.52,127.0,26.6,6.0,110,14,41,340,81,101,1.14e+25,24.0,,,,,,,0,c
30-12-79,19:03.1,1.047,126.042,35.0,5.64,334,63,58,207,41,136,3.53,17.0,-3.75,1.33,2.25,-0.89,0.2,1.5,0,c
29-07-80,23:36.9,2.605,126.63,38.5,5.49,3,57,57,233,45,130,2.08,17.0,-1.53,0.71,1.55,-0.47,-1.1,-0.02,0,c
15-11-80,05:27.6,4.0,126.49,15.0,5.5,107,17,57,321,76,99,2.18e+24,24.0,,,,,,,0,c
15-11-80,05:25.2,3.498,126.695,39.1,5.5,321,76,99,107,17,57,2.18,17.0,-0.2,1.46,0.82,-1.2,0.88,-0.61,0,c
12-11-82,16:09.1,1.515,126.366,39.1,5.39,35,33,84,222,57,94,1.54,17.0,-0.9,-0.41,1.58,-0.48,-0.43,-0.68,0,c
18-12-82,41:18.3,1.739,126.639,44.0,5.67,127,69,37,22,56,154,4.0,17.0,-3.88,-0.54,1.98,1.37,1.85,1.9,0,c
02-01-83,29:44.3,2.034,126.771,24.0,5.46,229,81,114,339,26,22,1.92,17.0,-0.96,-1.16,0.47,-1.17,-0.64,0.5,0,c
02-01-83,29:50.0,2.22,125.89,40.4,5.5,339,26,22,229,81,114,1.92e+24,24.0,,,,,,,0,c
21-08-83,34:46.0,3.788,126.605,34.1,5.83,6,46,92,183,44,88,6.85,17.0,-6.42,0.26,7.23,0.23,-0.42,-0.81,0,c
19-11-83,31:59.6,1.99,126.94,44.7,5.4,356,28,76,192,63,97,1.36e+24,24.0,,,,,,,0,c
21-05-84,51:00.6,2.58,126.72,13.8,5.1,38,44,131,167,59,58,5.36e+23,23.0,,,,,,,0,c
23-07-84,03:43.0,1.378,126.337,35.0,6.33,194,72,81,42,21,116,3.82,18.0,-1.68,-3.0,2.46,-0.46,-0.89,-0.77,0,c
25-07-84,34:53.2,1.25,126.44,33.3,5.85,46,58,115,186,40,57,7.43,17.0,-5.39,0.51,6.45,3.67,-2.53,-1.05,0,c
07-12-84,50:16.0,0.368,125.382,35.0,5.76,24,76,83,233,15,118,5.45,17.0,-1.61,4.43,2.34,1.86,-1.54,-0.73,0,c
13-04-85,00:07.4,1.714,126.364,47.4,6.91,216,58,103,12,34,69,2.82,19.0,-2.08,-0.74,2.57,-1.06,-0.85,-0.49,0,c
02-05-85,56:32.2,1.77,126.27,37.8,5.5,192,35,120,337,60,71,2.66e+24,24.0,,,,,,,0,c
14-12-85,46:14.2,3.726,126.55,30.4,6.16,12,47,88,195,43,92,2.16,18.0,-2.07,0.18,2.1,-0.01,-0.53,-0.02,0,c
21-04-86,36:19.5,2.045,126.49,35.0,5.9,229,66,118,355,36,43,8.82,17.0,-6.15,-1.72,6.05,-5.82,-2.37,0.1,0,c
12-07-86,05:16.2,1.994,126.45,44.8,5.89,209,50,89,31,40,91,8.29,17.0,-6.33,-1.33,7.52,-0.64,-4.33,-1.19,0,c
15-08-86,40:45.6,1.925,126.514,29.1,6.22,35,80,-94,237,11,-68,2.67,18.0,0.43,-2.06,-0.94,-1.42,0.47,0.5,0,c
16-08-86,08:29.3,1.827,126.509,30.2,6.03,94,84,-80,217,11,-147,1.37,18.0,0.02,0.14,-0.31,-1.32,0.21,0.29,0,c
16-08-86,19:23.0,1.897,126.572,20.0,6.41,29,79,-89,205,11,-94,5.11,18.0,1.59,-4.17,-1.62,-2.28,1.09,0.03,0,c
17-08-86,27:43.2,2.328,126.933,36.3,6.42,334,61,115,109,38,52,5.2,18.0,-1.67,3.11,4.3,0.33,2.04,-2.62,0,c
18-08-86,16:22.5,2.2,126.35,23.9,5.8,342,38,95,156,52,86,5.41e+24,24.0,,,,,,,0,c
20-08-86,15:41.1,2.164,126.571,40.6,5.48,201,53,111,348,42,64,2.04,17.0,-1.93,-0.33,1.88,-0.65,-0.13,0.06,0,c
24-08-86,46:53.8,2.32,126.68,17.8,5.5,339,43,111,132,50,72,2.36e+24,24.0,,,,,,,0,c
11-09-86,54:03.5,0.619,125.851,20.0,5.8,188,80,85,35,11,117,6.22,17.0,-2.09,-5.81,1.77,-0.74,-0.89,0.33,0,c
25-09-86,06:12.5,3.777,126.677,29.0,6.02,26,71,123,143,37,32,13.15,17.0,-9.55,6.46,7.07,7.63,2.23,2.48,0,c
11-11-86,02:29.1,2.531,126.741,35.0,5.95,275,85,-18,7,72,-174,10.51,17.0,-2.1,-1.68,0.28,3.14,9.73,1.82,0,c
29-01-87,43:48.7,1.384,126.192,44.8,6.38,220,53,118,358,45,58,4.62,18.0,-4.16,-0.11,3.81,-1.52,-1.78,0.35,0,c
08-02-87,48:53.1,1.729,126.568,32.6,6.2,230,72,135,337,48,25,2.46,18.0,-2.11,-0.55,1.07,-1.3,-0.86,1.04,0,c
16-02-87,38:17.3,1.15,126.46,37.3,5.4,20,43,55,244,56,118,1.47e+24,24.0,,,,,,,0,c
16-02-87,28:14.5,0.886,126.199,36.6,6.2,34,51,91,213,39,89,2.42,18.0,-1.64,0.38,2.33,0.28,-1.15,-0.69,0,c
18-03-87,22:52.3,2.184,126.501,46.2,6.06,215,57,98,20,34,78,1.49,18.0,-1.09,-0.43,1.33,-0.43,-0.6,-0.24,0,c
09-06-87,25:49.6,3.585,126.769,25.0,5.15,176,32,90,355,58,90,6.68,16.0,-6.18,3.02,5.68,-0.26,0.54,0.51,0,c
09-07-87,31:24.2,3.941,126.521,28.4,5.32,127,21,30,9,80,108,1.22,17.0,-0.53,1.06,0.39,0.22,0.29,0.14,0,c
09-08-87,17:51.7,0.591,126.166,41.0,5.27,354,46,64,209,49,114,1.0,17.0,-1.01,0.0,0.86,-0.25,-0.25,0.15,0,c
29-09-87,40:37.4,2.63,126.51,15.0,5.3,331,39,87,155,51,93,1.27e+24,24.0,,,,,,,0,c
14-11-87,20:46.3,0.04,125.93,20.4,5.8,230,24,118,20,69,78,5.79e+24,24.0,,,,,,,0,c
27-11-87,02:10.6,-0.177,125.106,43.0,6.06,17,62,72,232,33,121,1.53,18.0,-0.8,0.88,1.29,-0.06,-0.56,-0.48,0,c
27-11-87,02:14.9,-0.24,125.78,18.6,6.1,232,33,121,17,62,72,1.53e+25,25.0,,,,,,,0,c
28-11-87,03:48.0,-0.243,124.92,40.0,6.26,21,71,75,240,24,126,3.04,18.0,-0.97,2.32,2.05,0.43,-0.86,-1.07,0,c
28-11-87,03:54.0,-0.14,125.68,15.0,6.3,240,24,126,21,71,75,3.04e+25,25.0,,,,,,,0,c
30-11-87,41:41.1,0.032,125.11,41.0,5.62,34,60,83,229,30,103,3.26,17.0,-1.58,1.51,2.91,0.72,-1.25,-1.32,0,c
23-12-87,10:24.5,0.05,125.62,49.3,5.6,229,28,106,31,64,82,3.29e+24,24.0,,,,,,,0,c
23-12-87,10:17.8,-0.155,124.955,24.6,5.62,31,64,82,229,28,106,3.29,17.0,-1.52,1.79,2.63,0.83,-1.28,-1.11,0,c
17-02-88,39:27.2,3.874,126.721,27.0,5.65,17,54,113,160,42,61,3.66,17.0,-3.81,0.74,3.03,0.9,0.07,0.78,0,c
19-04-88,10:49.4,3.875,126.641,30.0,5.63,3,60,89,185,30,91,3.43,17.0,-2.89,1.7,3.04,0.08,-0.2,-0.15,0,c
16-07-88,05:03.1,3.148,126.874,27.1,5.65,234,69,-46,344,47,-152,3.71,17.0,2.43,-0.47,-1.47,3.52,0.62,-0.97,0,c
26-09-88,31:09.2,-0.292,125.102,49.5,5.56,10,61,39,259,57,144,2.69,17.0,-0.66,1.39,1.3,-1.24,-1.69,-0.64,0,c
08-10-88,32:07.6,4.33,126.98,18.1,5.9,10,42,82,200,48,97,9.31e+24,24.0,,,,,,,0,c
08-10-88,32:05.3,4.226,126.475,35.8,5.92,200,48,97,10,42,82,9.31,17.0,-8.53,-0.71,9.31,-1.1,-2.22,-0.77,0,c
09-10-88,16:55.7,4.236,126.589,36.7,5.32,200,42,109,355,51,73,1.19,17.0,-1.26,0.2,1.02,-0.17,-0.18,0.24,0,c
16-11-88,49:43.5,2.11,125.81,15.0,5.4,210,32,2,118,89,122,1.83e+26,24.0,,,,,,,0,c
21-11-88,32:39.4,2.035,126.8,44.7,5.88,318,75,68,195,26,144,8.19,17.0,-4.85,3.26,5.01,-6.51,-0.8,-0.16,0,c
26-11-88,20:31.5,2.66,126.1,18.6,5.2,34,45,116,179,50,66,8.68e+23,23.0,,,,,,,0,c
26-11-88,20:12.9,1.591,126.517,15.0,5.23,34,45,116,179,50,66,8.68,16.0,-8.29,-1.29,7.44,1.86,-2.92,0.85,0,c
10-02-89,56:55.2,2.511,126.737,30.0,5.62,244,65,115,17,35,49,3.31,17.0,-1.71,0.02,2.57,-2.24,-1.16,-0.85,0,c
10-02-89,29:44.2,2.518,126.645,30.0,5.78,231,66,100,28,26,69,5.72,17.0,-2.56,-2.04,4.24,-3.18,-2.17,-1.67,0,c
10-02-89,23:56.4,2.48,126.655,30.0,5.9,43,56,121,176,45,53,8.7,17.0,-6.95,-0.17,7.28,4.48,-2.55,-0.32,0,c
11-02-89,05:19.8,2.423,126.732,15.0,5.54,182,88,106,280,17,9,2.51,17.0,-0.24,-2.4,0.22,-0.13,0.7,0.03,0,c
