% ini datanya
%  stike   dip   rake
   92.0   45.0   -103.0
   49.0   73.0   -174.0
   147.0   72.0   172.0
   90.0   51.0   -48.0
   150.0   49.0   46.0
   41.0   49.0   121.0
   179.0   49.0   59.0
   161.0   37.0   88.0
   90.0   44.0   -91.0
   254.0   50.0   128.0
   116.0   68.0   -21.0
   27.0   38.0   93.0
   80.0   44.0   -141.0
   225.0   31.0   -134.0
   101.0   60.0   171.0
   259.0   31.0   140.0
   120.0   38.0   93.0
   54.0   34.0   135.0
   14.0   35.0   -5.0
   318.0   75.0   51.0
   267.0   38.0   149.0
   221.0   80.0   -2.0
   351.0   45.0   -94.0
   168.0   55.0   37.0
   97.0   62.0   106.0
   140.0   39.0   79.0
   175.0   44.0   121.0
   329.0   25.0   84.0
   114.0   44.0   -110.0
   209.0   46.0   110.0
   166.0   85.0   -2.0
   208.0   30.0   102.0
   177.0   85.0   92.0
   345.0   83.0   176.0
   96.0   33.0   -74.0
   28.0   19.0   95.0
   28.0   19.0   95.0
   234.0   37.0   44.0
   333.0   20.0   71.0
   129.0   82.0   177.0
   67.0   45.0   78.0
   207.0   48.0   63.0
   261.0   53.0   128.0
   105.0   79.0   175.0
   134.0   80.0   8.0
   177.0   63.0   -20.0
   177.0   63.0   -20.0
   230.0   47.0   125.0
   314.0   35.0   35.0
   119.0   29.0   121.0
   258.0   50.0   139.0
   180.0   44.0   103.0
   325.0   79.0   180.0
   250.0   29.0   37.0
   344.0   80.0   176.0
   149.0   84.0   5.0
   40.0   42.0   133.0
   188.0   39.0   83.0
   318.0   69.0   169.0
   318.0   69.0   169.0
   88.0   22.0   96.0
   96.0   22.0   97.0
   128.0   39.0   -62.0
   348.0   66.0   0.0
   161.0   34.0   83.0
   161.0   34.0   83.0
   93.0   43.0   87.0
   108.0   72.0   169.0
   190.0   44.0   72.0
   82.0   76.0   4.0
   62.0   29.0   139.0
   156.0   77.0   -168.0
   73.0   74.0   -178.0
   19.0   87.0   161.0
   236.0   81.0   -148.0
   59.0   40.0   126.0
   80.0   67.0   20.0
   110.0   48.0   -148.0
   110.0   48.0   -148.0
   131.0   45.0   -79.0
   142.0   45.0   -75.0
   334.0   37.0   104.0
   10.0   51.0   -28.0
   300.0   42.0   26.0
   346.0   49.0   -75.0
   17.0   21.0   72.0
   36.0   82.0   -4.0
   12.0   57.0   3.0
   29.0   63.0   75.0
   198.0   40.0   79.0
   110.0   52.0   -16.0
   93.0   29.0   114.0
   157.0   38.0   -58.0
   268.0   27.0   113.0
   11.0   61.0   172.0
   93.0   28.0   91.0
   79.0   45.0   81.0
   224.0   73.0   -155.0
   132.0   81.0   -177.0
   330.0   37.0   37.0
   221.0   78.0   178.0
   146.0   74.0   8.0
   346.0   51.0   53.0
   43.0   75.0   169.0
   166.0   53.0   -8.0
   175.0   33.0   -91.0
   15.0   44.0   179.0
   8.0   43.0   79.0
   249.0   30.0   -134.0
   352.0   29.0   -82.0
   110.0   32.0   -92.0
   144.0   59.0   -3.0
   159.0   48.0   -176.0
   69.0   66.0   16.0
   38.0   81.0   158.0
   125.0   62.0   11.0
   39.0   70.0   173.0
   174.0   19.0   -143.0
   198.0   37.0   128.0
   52.0   43.0   -159.0
   263.0   29.0   -161.0
   52.0   70.0   165.0
   167.0   45.0   -7.0
   94.0   79.0   4.0
   323.0   39.0   90.0
   91.0   47.0   114.0
   81.0   46.0   122.0
   301.0   45.0   53.0
   159.0   38.0   -22.0
   152.0   46.0   115.0
   130.0   65.0   2.0
   260.0   90.0   -3.0
   111.0   72.0   -167.0
   77.0   70.0   1.0
   315.0   26.0   72.0
   304.0   44.0   55.0
   153.0   79.0   -2.0
   53.0   45.0   59.0
   7.0   34.0   56.0
   311.0   27.0   12.0
   145.0   33.0   -48.0
   186.0   44.0   -76.0
   325.0   78.0   170.0
   357.0   23.0   81.0
   111.0   53.0   -14.0
   60.0   60.0   164.0
   136.0   41.0   63.0
   43.0   83.0   -175.0
   342.0   45.0   70.0
   251.0   16.0   72.0
   27.0   68.0   -162.0
   83.0   47.0   124.0
   128.0   70.0   169.0
   323.0   58.0   -152.0
   91.0   20.0   91.0
   18.0   22.0   106.0
   156.0   69.0   -10.0
   332.0   77.0   -177.0
   252.0   79.0   -5.0
   7.0   36.0   84.0
   337.0   27.0   66.0
   354.0   32.0   54.0
   167.0   46.0   46.0
   150.0   14.0   74.0
   353.0   28.0   60.0
   330.0   17.0   59.0
   69.0   43.0   -109.0
   96.0   20.0   95.0
   141.0   46.0   -172.0
   142.0   82.0   6.0
   138.0   41.0   -61.0
   139.0   42.0   -59.0
   138.0   75.0   6.0
   47.0   33.0   60.0
   158.0   40.0   37.0
   19.0   71.0   1.0
   40.0   44.0   -129.0
   293.0   85.0   0.0
   176.0   63.0   21.0
   75.0   70.0   168.0
   126.0   74.0   -5.0
   327.0   53.0   6.0
   143.0   86.0   -1.0
   120.0   67.0   165.0
   87.0   37.0   98.0
   37.0   71.0   -178.0
