value,mean of all data,stdev,mean of ci95 data,stdev of ci95,2.5%,97.5%,half width 95% percentil
Sigma1 Azimuth,100.26033099189537,9.562033503986537,100.45961487855183,4.7308930013631905,87.67749308699707,109.79956220366934,11.061034558336132
Sigma1 Plunge,24.743961211507294,20.036924416283416,23.74421039865,17.57918260715637,1.054541150700508,78.81167451399504,38.87856668164727
Sigma2 Azimuth,274.3446841629392,27.014083790038896,274.05781520562965,20.775222126744833,211.8059539764579,339.5985691090673,63.8963075663047
Sigma2 Plunge,64.08905725077491,19.615363401092257,65.11360888428038,17.01413182518407,9.949983451754568,86.49163476636367,38.270825657304556
Sigma3 Azimuth,9.56051994047681,5.276966500212841,9.681967327486733,4.4281850559945255,356.494792436505,16.778503057644542,10.141855310569754
Sigma3 Plunge,4.122081571246814,3.4034376392871795,3.8897643364987244,2.741726992436031,0.11846139519083433,14.286619274259527,7.084078939534346
SHmax,98.75240270994868,18.989811895701564,99.83671181871466,4.45159837644005,86.92397956511057,107.39589227097528,10.235956352932355
Shape Ratio,0.3393648702495682,0.13908159237786777,0.33849018683103876,0.12267066493744885,0.07317744124369933,0.621499761762671,0.27416116025948584
simpson index,1.6606351297504316,0.13908159237786777,1.661509813168961,0.12267066493744885,1.378500238237329,1.9268225587563006,0.2741611602594858
