#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
124.043 1.089 30.7 0.986161 -0.0733437 -0.912817 0.256443 -0.139555 0.325078 24.0 X Y 52 R
124.023 1.141 34.8 1.52231 -0.429007 -1.0933 -0.0132064 -0.246847 0.69952 25.0 X Y 53 R
126.516 -7.469 25.0 7.65203 -8.19859 0.546567 -3.67646 2.16235 -0.237323 25.0 X Y 54 R
122.4 -7.61 43.7 -0.0266398 -2.93808 2.96472 -0.771837 0.0823234 -5.5224 24.0 X Y 55 SS
126.81 -3.42 33.0 -0.054095 5.01724 -4.96315 -0.563332 0.574463 2.46397 23.0 X Y 56 SS
124.081 1.055 33.6 0.949512 -0.368247 -0.581265 0.0617732 0.293526 0.51926 25.0 X Y 57 R
124.186 1.109 30.0 4.31041 -4.26014 -0.0502657 -1.08828 -0.23082 0.591196 24.0 X Y 58 R
124.117 1.024 32.2 1.03919 -1.04087 0.0016748 0.17464 -0.0812309 0.0570811 25.0 X Y 59 R
124.04 1.1 17.8 6.2016 -5.84205 -0.359541 0.757563 -0.72286 1.53458 24.0 X Y 60 R
119.5 -1.6 31.0 0.402822 3.34117 -3.744 1.16018 -1.39149 -3.9584 23.0 X Y 61 SS
126.65 -3.22 15.0 -0.35255 -3.75907 4.11162 -1.3979 3.5894 5.71643 23.0 X Y 62 SS-N
126.732 -3.088 17.3 -0.404781 -4.31599 4.72077 -1.60501 4.12119 6.56334 23.0 X Y 63 SS-N
120.1 -4.4 25.0 2.23293 -0.321735 -1.91119 0.0347061 0.154894 -0.784607 24.0 X Y 64 R
120.72 -4.06 43.5 1.11911 -0.161249 -0.957865 0.0173943 0.0776309 -0.393235 24.0 X Y 65 R
124.3 -1.0 34.0 1.72346 -1.68586 -0.0375976 6.03326 -0.0737875 0.705805 24.0 X Y 66 R
122.43 2.11 47.9 7.30113 -7.42082 0.119684 -2.81981 -0.969827 0.0956655 23.0 X Y 67 R
122.7 0.5 46.0 -0.557936 0.508021 0.0499149 -0.448008 0.794922 -0.37467 24.0 X Y 68 N
125.0 1.2 36.0 1.12719 -0.0337055 -1.09348 -0.0883203 -3.34398 -0.4069 25.0 X Y 69 R
126.9 -2.56 42.5 -0.164054 -0.95497 1.11902 -0.868604 0.813119 -0.0265138 24.0 X Y 70 SS-N
119.81 -2.97 33.0 0.0407917 0.973951 -1.01474 -0.364405 0.212543 0.301638 24.0 X Y 71 SS
120.8 2.0 39.0 -0.164574 -5.18779 5.35237 -1.42952 0.843648 -1.03606 23.0 X Y 72 SS
120.858 1.965 30.0 -0.0766514 -3.49241 3.56906 -0.920339 0.608513 -0.661481 24.0 X Y 73 SS
121.1 -1.6 50.0 1.16024 6.68198 -7.84222 2.80163 -0.167405 -1.21277 23.0 X Y 74 SS
121.0 -0.25 43.2 1.16024 6.68198 -7.84222 2.80163 -0.167405 -1.21277 23.0 X Y 75 SS
121.3 -2.7 30.0 0.021518 1.46006 -1.48158 0.311906 -0.0663764 1.30985 23.0 X Y 76 SS
121.183 -2.369 35.0 0.095017 6.4472 -6.54222 1.37728 -0.293099 5.78393 23.0 X Y 77 SS
121.93 -1.89 49.0 0.0856646 5.81261 -5.89827 1.24172 -0.264249 5.21463 23.0 X Y 78 SS
125.48 -1.99 33.0 -0.0628584 0.420201 -0.357342 0.00738926 -0.389493 0.976248 24.0 X Y 79 SS
123.61 0.46 33.0 -1.47926 3.20032 -1.72107 0.0221574 2.0873 1.94819 23.0 X Y 80 SS-N
123.473 0.451 47.5 -1.69841 3.67446 -1.97605 0.02544 2.39654 2.23682 23.0 X Y 81 SS-N
122.0 0.6 35.0 -2.14905 0.0285687 2.12048 -0.146924 -0.605729 0.25603 24.0 X Y 82 N
