name,cluster,lon,lat,depth,strike1,dip1,rake1,strike2,dip2,rake2,Mw,down,up,R,type,K,AR
15.35,3.0,120.28048936170211,1.048808510638298,10.0,263.9889231340808,72.58170650748582,93.3779000736047,269.5276878984269,26.26892238539777,-82.70226970675479,4.0,328.70812184163316,24.223084668749323,0.7691136406047657,R,2.0,2.2308863593952344
15.35,4.0,122.73391025641023,1.3337307692307692,10.0,242.2857303161236,62.38120985237973,70.60836958136879,181.14093667993365,18.093161141496623,-161.3123032235539,4.0,344.82253630408337,2.9320881845375197,0.8646003306241273,R-SS,2.0,2.1353996693758726
15.35,6.0,120.18468181818183,-1.2238636363636364,10.0,253.89754436885312,76.72032312358247,-151.24547362522463,134.20982758098057,69.54951508312521,-24.406053458790097,4.0,278.58902388254137,288.4533915101783,0.11048681173386554,SS-N,1.0,1.8895131882661345
15.35,7.0,123.25016666666667,-0.42938888888888893,10.0,54.12775231979788,25.601701762703083,110.17014846860936,197.12986360479883,25.207030102222564,69.5220533838928,4.0,290.73168788684234,321.83515205833436,0.8569490548368227,R,2.0,2.143050945163177
15.4,2.0,120.26638775510202,1.0576326530612246,10.0,266.60305031697555,72.33626170668613,94.20481405355522,273.5404990665156,26.11059117884368,-80.86585681281126,4.0,330.9460615043653,7.542827435351569,0.7749377503111364,R,2.0,2.2250622496888637
15.4,4.0,123.27325,-0.4335,10.0,42.44062419259247,43.35888999668607,107.76164170383824,162.63200398205942,16.40029529677269,42.115702831960085,4.0,108.0342851466947,132.67686590825042,0.8954028258968894,R,2.0,2.1045971741031106
15.4,5.0,122.73364197530863,1.3545802469135801,10.0,239.8761526462389,63.97891035108837,69.9944310301761,182.24054727438408,19.37879865901718,-157.89960452552802,4.0,342.7206589134065,2.178609128605899,0.8572885240412446,R-SS,2.0,2.1427114759587553
15.4,7.0,120.12075806451612,-1.1031451612903227,10.0,142.07189835715317,89.2334713591237,5.684188589962778,76.3402053271288,84.50244948333103,-178.36268271452892,4.0,283.7302805919949,294.7425110517215,0.28260934831597423,SS,1.0,1.7173906516840258
15.4,8.0,121.7535625,-0.8602500000000001,10.0,291.56643291775083,59.13697023183791,-92.52204615914265,114.36940081093329,55.14373448172153,-87.36167288396831,4.0,226.09675270777961,16.6293164387331,0.015256040041326104,N,0.0,0.9847439599586739
15.5,2.0,120.17346575342467,-0.27822602739726027,10.0,255.87752386274832,73.83074249264993,133.55804385476313,299.9963995858636,45.86051680364962,-22.746577128049243,4.0,282.57620930791495,297.8139106197503,0.6302303517628538,R-SS,2.0,2.3697696482371464
15.5,4.0,122.60433962264152,-0.6174716981132076,10.0,134.31457159687926,86.80593102318117,-15.009436332205834,266.098417481835,80.7389272347767,-167.71981639700562,4.0,102.94044097028244,119.54079775478125,0.8327661035421736,SS,1.0,1.1672338964578264
15.5,5.0,122.87561458333333,1.32871875,10.0,266.7900306360903,49.2712193834787,90.07186446624073,86.48511610192733,11.91813178367654,89.73629102840117,4.0,348.1945422017844,6.099304975772668,0.8702333850716535,R,2.0,2.1297666149283465
