name,cluster,lon,lat,depth,strike1,dip1,rake1,strike2,dip2,rake2,Mw,down,up,R,type,K,AR
#before,0.0,120.09158139534883,-1.0489534883720932,10.0,326.38312820111025,84.36329428214508,-15.35556053215586,82.55148820273645,78.46242716408392,-168.3583899374907,4.0,285.42638092292793,301.60021721880497,0.29278147140824834,SS,1.0,1.7072185285917516
#after,0.0,120.18678947368421,-1.2257894736842105,10.0,250.35948863424147,86.63881334467624,-170.6392159722916,128.69667045737094,83.7384696387084,-7.736480252704072,4.0,86.92397956511057,107.39589227097531,0.20539059084144262,SS,1.0,1.7946094091585574
before,0.0,120.12075806451612,-1.1031451612903227,10.0,326.38312820111025,84.36329428214508,-15.35556053215586,82.55148820273645,78.46242716408392,-168.3583899374907,4.0,285.42638092292793,301.60021721880497,0.29278147140824834,SS,1.0,1.7072185285917516
after,0.0,120.12075806451612,-1.1031451612903227,10.0,250.35948863424147,86.63881334467624,-170.6392159722916,128.69667045737094,83.7384696387084,-7.736480252704072,4.0,86.92397956511057,107.39589227097531,0.20539059084144262,SS,1.0,1.7946094091585574
