value,mean of all data,stdev,mean of ci95 data,stdev of ci95,2.5%,97.5%,half width 95% percentil
Sigma1 Azimuth,357.45237153994117,4.666253943154839,357.5487426494096,4.009719846599797,347.0095593047641,5.234000253749059,9.112220474492489
Sigma1 Plunge,19.679391232736496,5.647945569176176,19.541753115581482,4.945466968568203,10.300457150821265,32.8568330662455,11.278187957712117
Sigma2 Azimuth,262.8476333598652,10.847128490136805,263.1987205070674,7.724586835022379,234.8044115744012,274.97508804215187,20.085338233875333
Sigma2 Plunge,13.398213198022127,14.30335464807586,12.263560824801358,11.435293475757172,0.5323502471042965,56.90847158211807,28.188060667506885
Sigma3 Azimuth,153.14254579133558,28.44673563705723,152.80772250312688,24.497011164940577,98.19955180469232,214.52049528472784,58.16047174001776
Sigma3 Plunge,63.645825070038875,12.910921838362382,64.55451328175913,10.277006376368053,24.011889016541872,77.59193307326984,26.790022028363985
SHmax,358.16809326219277,4.512129513079589,358.2454791648563,3.8711408298368326,348.1945422017844,6.099304975772668,8.952381386994148
Shape Ratio,0.8210874451564588,0.09219900913719048,0.8245116697269906,0.07762063563125167,0.6044548282381134,0.9669231566643609,0.18123416421312377
