tau11,tau12,tau13,tau22,tau23,tau33,azimuth sigma 1,plunge sigma 1,azimuth sigma 2,plunge sigma 2,azimuth sigma 3,plunge sigma 3,shape ratio,friction,SHmax,principal strike 1,principal dip 1,principal rake 1,principal strike 2,principal dip 2,principal rake 2
-0.6345595206296467,0.49908176465658716,-0.21369093372119952,-0.14950485501704455,0.23752320717416114,0.7840643756466918,327.2096626673025,9.803559844278993,235.9969905953389,6.982721519078353,111.07501767476862,77.92358061227797,0.6234436368735934,0.5,327.9586498521559,228.198756350922,42.07153696812574,79.54681332578379,72.87130174967432,22.876926703253037,108.22310225700069
-0.473971129190461,0.5170214544062361,-0.4193995133619344,-0.04497033100158632,0.31533460502945887,0.5189414601920485,325.8202190044791,19.037058437830552,234.576414604866,3.5996679484317866,134.2861135491108,70.59962848842372,0.7630822935424028,0.4,326.2662231193911,231.8848659789361,53.26003280629103,85.50639255167431,67.74327144330955,15.438726408812384,103.64165544215055
-0.23748320457207842,0.5748102699338867,-0.34865015773503144,-0.27802716689486123,0.3628380617241691,0.515510371466939,313.9732847445431,18.367790520536317,223.92035945491233,0.15939797944434986,133.4403044809673,71.63146809431403,0.7829647045486203,0.7,313.99008609170124,223.7657407331894,45.87206911732877,89.77793108439256,44.9114120602592,9.13750435966498,91.00378804955508
-0.8051263743229646,0.3867843989310282,-0.19919139086347656,0.128678295538141,0.3338109361449079,0.6764480787848232,338.125958503779,10.45064126877952,243.75148450989002,22.46655927743039,91.39856642808996,64.97534864568486,0.6353187585421485,0.5,340.18073356406813,221.49394219815346,47.512046827993196,58.78719179247635,109.53373594744826,29.984774905771744,139.8749971935689
-0.5350674003145927,0.41071031886665044,-0.411306150482626,-0.06445482376082057,0.47791241152242087,0.5995222240754138,326.0554734626553,20.814735653443947,230.92645910673878,13.233318260384038,110.64901959117735,64.99487358060857,0.5993521456919485,0.4,329.904740979744,221.9884748245429,56.54825463418642,74.07579256903436,96.4002736070836,18.25524764294976,136.95170905830506
-0.514258891524171,0.5299356874911202,-0.3108565729381838,-0.14543042244817686,0.2962963762836867,0.6596893139723493,323.86076689224035,14.38861025810506,232.34908681545915,5.871147963021528,120.7208085171724,74.41143635809627,0.6900866855934316,0.45,324.59378509269385,226.9666031879601,47.62847957460027,82.04135839958191,69.42301325155859,19.30206930721329,108.02670808336673
-0.5966286554760319,0.5097715315037665,-0.2640314784191063,-0.038288051136555534,0.3476280476594732,0.6349167066125871,327.48517623494786,14.061712699787876,233.3316892888201,16.128168057999048,96.59316155812601,68.34291089126629,0.6815407279191243,0.45,329.35339569327493,219.06816604689993,49.567733013077614,68.59575241025547,93.4667133433022,24.16131966339623,132.740269547617
-0.7336303507981701,0.3923240649578789,-0.348823970355745,0.21323542243549598,0.3083065773989719,0.5203949283626735,338.07970257910586,16.09519531755548,241.0742331107039,22.91317482213516,100.10446968135656,61.44806905662007,0.7453511031403657,0.4,340.17607914002076,223.9340839308216,55.114673256913306,61.664932806940094,113.66368646987128,28.019636240648854,145.97282264463234
-0.7733105091396267,0.446114592653522,-0.20647613371109433,0.19443261138505724,0.2571336019993563,0.5788778977545701,337.40092705050887,10.387896240454864,242.5281171559251,24.861838900101404,88.2760130660664,62.77630243742355,0.7565374216622297,0.5,338.6624514233834,218.39450196975264,48.57595674941559,55.89578293101398,111.25447676628731,31.655697333238603,143.23589381176365
-0.23960520791043702,0.5677602537227212,-0.34421540308697,-0.29437064922287626,0.3660676192071665,0.5339758571333139,313.5711412815821,18.136926579654784,223.43300484937797,0.4217003613509718,132.1458880350183,71.85782822268291,0.766168308122977,0.6499999999999999,313.6194000544791,223.0345880442853,46.62696734877025,89.41985839740971,45.740602952643854,10.359124510095786,92.34579283770756
-0.5524293871287743,0.4433765827114303,-0.07153196246689521,-0.3446942000186941,0.3687045617243384,0.8971235871474674,319.25287788429625,9.071926092278417,227.11422765136632,13.154823380304137,82.90604510000256,73.92670262956977,0.46114734649302846,0.55,321.5923167831313,211.8947293279249,41.67828151379967,69.98553114342319,77.41804679038928,24.852854766832827,122.78523879653147
-0.3257808351513788,0.5302198935259322,-0.33660353653448344,-0.22907486083175765,0.4359014252776501,0.5548556959831361,316.0858719691001,19.310242337491715,222.8925776831196,9.033083849693114,109.05509872845397,68.5270101160134,0.704393213729994,0.6499999999999999,317.60531550673187,214.8602218532654,48.686147108901174,77.93437925536847,87.88394532551,12.672773676186129,135.69783402526448
-0.3270011711041291,0.4780848409757417,-0.35590585161607163,-0.31680149926958895,0.45435312962738134,0.6438026703737185,314.0480017038891,19.249240148932174,222.31716618887745,4.94350545628869,118.51070091858796,70.07716018275698,0.6215486619860164,0.6499999999999999,225.30558173666404,217.8511833243777,48.004907620928385,83.34164342837562,70.4270074067476,10.402414225696832,118.50627211714604
-0.5018380981172058,0.40496757062444894,-0.41480931878925953,-0.1883485032444517,0.46826198308077815,0.6901866013616578,322.67846782742254,19.958051916707774,229.70695505801874,8.124242345202248,118.66340210348443,68.3194957861517,0.552285914570943,0.55,325.579593683548,223.12374940989594,51.23175638377032,79.55726025096054,87.23370280880987,13.189498991370042,128.26916699676812
-0.3987340570151478,0.607443670620607,-0.2478374496951853,-0.15696145648436538,0.32700200560082276,0.5556955134995125,319.57623094254603,14.44408427070448,225.77543905232108,14.431975270415805,92.69929918536448,69.35297771678322,0.7823456593542863,0.45,320.62764216857136,213.04618672091237,49.429856296015224,70.84632705933741,83.33028666291183,22.890405317001438,129.8473964609609
-0.6805006029066412,0.3505570765392179,-0.49266444625198047,0.1924922999603493,0.22650676368675157,0.4880083029462912,339.82243300670797,19.964873676943483,247.45074439122328,6.498734388289108,140.26442759944297,68.91738168303483,0.7752666533190534,0.8999999999999999,340.6157558379252,240.79048948407754,44.48448242379077,80.70473333886213,126.34405685502827,7.5783584494700715,149.11520206576142
-0.5888424960591796,0.3970724750969653,-0.19375481110907197,-0.28977342206535067,0.3895709311490312,0.8786159181245298,322.5449608497539,12.091114902151716,230.23597522301208,10.65127486671598,99.96278370289726,73.77832465910917,0.45783559025446374,0.45,325.31800013896043,219.8327225463988,46.164936964669096,75.15328410300512,76.44529486978078,23.066061174386196,118.14844248249682
-0.46371055408234757,0.4609873794675913,-0.47048342861961034,-0.051379595849437486,0.37589216894038296,0.5150901499317851,325.9648019682625,21.61332896864505,233.8263223890081,5.380389723718864,130.57668187398465,67.6608302121027,0.7063200224165189,0.7999999999999999,327.04771416570156,228.89549386423477,47.61574690654521,82.70684430376085,107.41502326106396,6.674926744426032,143.77466920053564
-0.8297929793640699,0.34686804961563233,-0.22045507446642712,0.13873224585462915,0.3298107710022054,0.6910607335094398,340.05600660573583,10.706650344470262,245.81298994085412,21.37119438735104,95.00457702217206,65.85588670828307,0.624296090140943,0.4,342.1933494415065,226.17816035945114,49.34720859676559,61.29338503544212,107.02468403257151,30.707940441160023,135.52861154094145
-0.43212759821285884,0.5761043767903942,-0.118734127483343,-0.35541673346310143,0.20510268657343542,0.7875443316759597,316.4818668867965,7.247694616973078,225.7194399837211,5.9731808877328945,96.58247241418057,80.58759255135547,0.6451186674326007,0.6,316.90448650675336,217.8017890538889,37.21934032030949,80.09341018683573,60.003957038814825,22.979789607656908,105.4590906105809
-0.7972938712958605,0.3846866421374683,-0.2639304189446608,0.15023550154637566,0.23918293655844908,0.6470583697494872,339.23255933523114,11.38279643767595,246.01274638261526,15.588486698888303,103.93183637534764,70.52377987283415,0.7126899264598103,0.7,340.46207547699953,227.85343646634868,41.83390608056968,66.24015444590172,109.76252494847225,21.97151251677363,135.90935592893484
-0.6839253316122078,0.4679133805536741,-0.12045419780629103,-0.1429374002708679,0.36273009317531585,0.8268627318830766,327.9327699346736,9.162322134209461,235.20031729136883,16.46602378499672,85.91237414208774,71.02772677851627,0.5398075946701097,0.45,330.0157932317515,217.98018939245773,44.95399398687836,66.34825539491678,88.51562853533957,28.286249976182628,126.73710123017321
-0.4351885216145695,0.3996688373201781,-0.5496588840973692,-0.045068785803290635,0.40816356746852905,0.48025730741786005,326.80049604239537,24.78261539805554,234.99722967635807,3.8990630589619,136.64210490770176,64.87109481061795,0.6674532905302968,0.4,328.007431184974,232.65230325193133,59.02312668835517,85.45105715943848,77.64734139002185,10.036466026153866,112.96583759326018
-0.6794883271609826,0.4986468794416722,-0.14422599505765069,-0.14003210265787544,0.15994087463972176,0.8195204298188578,328.84837939172195,6.464521661768046,238.26374399473315,5.145713695177022,110.01445773279818,81.72380960339984,0.622884319332731,0.5,329.2049229177771,231.76346667072556,38.500670132535966,81.7163888621851,69.04209245590535,25.712437775787215,101.93054556836535
-0.5735022845829919,0.5140045425685286,-0.2993966990147783,0.11390179857585424,0.4251528850170772,0.459600486007137,328.7319070469647,18.082636789117302,228.12038473447197,29.422274092027656,85.94509991792151,54.47309211020158,0.7169500228073606,0.45,331.88483051869076,208.31989176622,59.00965701081114,55.037388696539345,114.70478452691977,31.57478538544911,159.74844321479213
-0.7892682354900462,0.2590620274012726,-0.25455370990750625,-0.02506805864112103,0.4210302517407097,0.8143362941311667,338.7998334413849,12.45138277135888,244.80612277582912,17.506502119008402,102.45796868552289,68.2779466617979,0.461569470453979,0.55,342.931458786238,227.31067157054358,46.37559600597644,65.44547714283063,108.41053083984545,24.577027294118988,136.3239883362917
-0.7733912865359612,0.4968270743119027,-0.04164670636655946,0.14429571181438328,0.20740186858535706,0.6290955747215775,335.81155881731195,4.316736379087558,243.74234632834037,25.563430747491793,74.723512482801,64.02201968941111,0.7429334618659196,0.6499999999999999,336.3619751808294,210.41524246642587,41.04352811321462,48.91663619596198,108.24885412916085,34.30848039582527,139.9573844197792
-0.7332376179458455,0.5044438920006166,-0.212539643839645,0.22117817941133433,0.1971607045102021,0.5120594385345115,336.00400501422837,10.28396182452488,240.46768252258454,28.000621481521506,84.2057192532256,59.84909678062084,0.859272141601224,0.4,336.705366277771,215.90186648540183,51.97923382968483,53.41969259592612,109.13917708992835,35.301587934983104,144.3329947025628
-0.6752417771909975,0.45243253807274003,-0.30617960348367323,-0.0499791987877106,0.2511644017155444,0.7252209759787084,331.44956604274523,12.706048328039785,239.93853851921926,6.670579406351209,122.84758161661881,75.59711004809412,0.6464887632645399,0.4,332.3222539031946,233.73335109420776,47.25538405051693,80.89908142305634,76.52508475443243,22.278591577111033,107.84261849789722
-0.6218503674437835,0.43245612263683514,-0.4137392574278811,0.1457521591256464,0.3432017379026128,0.4760982083181357,333.6212210158501,19.514868785526204,236.85933067531212,18.377690442544534,106.88468380842664,62.655589344832265,0.756372457903688,0.4,335.7943961352521,224.27965575687494,56.75218556267077,67.85262900504544,109.59343445720634,22.65824369661485,144.92607518268485
-0.49019228283401195,0.4621432359868202,-0.38443419555918523,-0.1747330752814,0.39898381921413323,0.6649253581154109,322.7785016528944,18.2022047241597,230.4918577206476,6.918299445048476,120.52281898911741,70.44016467943452,0.6160236074001996,0.45,324.42239305260205,224.96537936527722,51.560888534933355,81.15374874237138,75.39416065951467,16.075014435099558,115.78628141902084
-0.40937058769467444,0.5093047333679861,-0.35152814480671807,-0.3200524648495286,0.30186910268105516,0.7294230525442037,317.7047946553238,14.992780009903356,47.992772195774464,1.0751580513042,141.999801459086,74.9669054673095,0.6183570388503385,0.6499999999999999,317.50561953244113,229.12618971628507,43.49418324908035,91.56219375196538,43.521225208323095,13.534561105242974,85.4012665447426
-0.6512578329701049,0.3673965971511065,-0.5170133844587733,0.2842670470821522,0.18935572021949493,0.36699078588795314,340.76270678257407,21.936320276143775,249.66849196125287,2.7147683112508645,152.9696471930263,67.87883943412413,0.8877727200621084,0.5,340.9263492939386,247.67436903153367,53.72697919620485,86.63198622882877,85.07090621487923,10.12240240489802,105.63412653148107
-0.7950126778201642,0.4128146731384673,-0.2601057255504944,0.19499391242246525,0.15575820085555392,0.6000187653976984,339.6273050535709,10.552372121884986,247.7836996171455,9.79835231333017,115.8040186337249,75.52251548977398,0.8013051258249453,0.4,340.08656380975,238.06242268774733,45.64496350364285,76.23097314347059,89.2620916586983,25.25162299286817,113.51128606516775
-0.3742624563821741,0.4702322821629004,-0.410371392213671,-0.3024372339532957,0.38765228435666355,0.676699690335471,317.09092866910277,18.60695484748311,226.97169219536832,0.3541570308908746,135.9199055146479,71.38942588174768,0.6070436755926464,0.6499999999999999,317.1836595920801,226.642541779811,47.09640686285084,89.51650665072698,49.004089304120065,9.887024872266768,92.06301056680923
-0.5708162567306286,0.48539448383240547,-0.2769649302275512,-0.21506221246182816,0.30258436418393214,0.7858784691924561,324.0369031369039,12.681861726816322,232.6452606567418,6.159881469537453,117.28651757342425,75.85612689217548,0.5909712988623059,0.55,325.0628991331449,226.16067157623232,43.700636312133234,81.06513785257289,71.0863942306651,18.83874889323367,109.408739532554
-0.6142975212295644,0.514658861570499,-0.34470675646252114,0.09850361891175712,0.24524455603264808,0.5157939023178083,331.68693347132063,15.479610553445553,238.66385654556677,10.781789321652354,115.13401430241751,70.978289472527,0.8261371540357623,0.4,332.35127463797824,229.70064087262392,50.71180160356148,76.0130726715065,88.1090007681193,21.175236471174255,121.19009131696423
-0.3475999341254932,0.54811916197178,-0.34301150268564046,-0.3318996466882536,0.26968260501730473,0.6794995808137476,316.0076601132164,14.491586654945579,47.12331249284504,4.308112351499815,153.28315970766977,74.85457126352472,0.6710779703335348,0.45,315.41026603872507,231.07210176684197,47.56826338057301,95.841520583136,34.36418302161665,18.834476859317263,76.54461864982403
-0.36048708552414094,0.2994242572450162,-0.1522747622528644,-0.5111277370579461,0.43465446376180467,0.8716148225820876,304.9739291310044,14.390478942499726,213.3545036884976,6.2854236464112745,100.37940171304588,74.24200814196205,0.3842173410596458,0.45,307.94008747185546,207.5988162304116,47.68181345918623,81.48522454378659,51.56490192364283,19.41505890968701,109.22978902844778
-0.6676161115732449,0.3497557380788974,-0.45257822713338897,-0.10082041279703272,0.30606226619313,0.7684365243702774,333.1659190128721,17.039613194915276,241.78533423249894,4.494868453100054,137.4882176416821,72.34218365522501,0.5460155940805651,0.4,334.50846890064247,238.17895189506305,51.33467254870642,84.23951942688417,76.15801329656887,17.57252945837848,105.0449992729708
-0.6565627067181053,0.49235766727584956,-0.23528331126407045,-0.0890334659735097,0.2327676061291023,0.7455961726916148,329.2389630725437,10.42714553621093,237.88416149817613,7.3212916468811216,113.40898548876504,77.21179388767607,0.6526214563007641,0.5,329.9782491078075,229.8929152223575,42.74338678231129,79.17812711140074,76.06849761374396,22.376858510244553,109.55652193614691
-0.4066782825501948,0.3844587815416765,-0.2673723165453623,-0.5071857725543475,0.29559792745510605,0.9138640551045434,311.361747691919,12.191715025214123,41.423603595467405,0.28629286563479184,132.74842917343162,77.8048203675673,0.44621381975882934,0.4,311.2764604368632,221.69727225573246,46.29184855180449,90.39605241725016,40.71173393798243,21.909204236982774,89.2327205224897
-0.6995961311943362,0.48942551762792014,-0.1258099299601669,-0.07173422450452203,0.2693038057609936,0.7713303556988576,330.1815864095099,7.813443031504434,238.12850465804908,14.631947136462628,87.45524825127586,73.32947318277203,0.6214269277902467,0.45,331.3386130506716,221.9050579208173,43.0598492687566,68.28555871558339,86.78372210875624,28.565312884298457,121.89021915361892
-0.09048365242392228,0.4935007863922458,-0.2589761186237167,-0.4110692053412594,0.5366467389456113,0.5015528577651814,304.12315388807576,21.435744401825374,210.10167426116539,10.127574226883183,96.36151781229383,66.07376026447564,0.7133834848051167,0.6,306.00290631498933,202.08584179281408,52.021796328777185,77.11008594313283,82.45058048884519,12.713512065929676,143.03453258934218
-0.8142766833643141,0.4292820501518647,-0.10169921595966991,0.12623325859781306,0.23260253901372116,0.6880434247665012,337.9452193748893,6.140207373815002,245.67458044002754,20.218007071996126,84.04013915159766,68.79123963983228,0.6913611132906524,0.55,338.80397854344733,221.147430322965,41.578424390204255,58.61740388902003,103.42925056372184,31.026755400999964,132.10443229069654
-0.5315390735992065,0.5121201993161963,-0.31898446395494884,-0.09584485050669053,0.3480903580497717,0.6273839241058975,325.02840050262427,15.813014091383891,231.93653767531274,10.782528956335653,108.99519380367165,70.69858363849225,0.6863246910936202,0.6499999999999999,326.5220327688125,221.19189327835167,45.60991261511158,74.8230102683632,92.37047698363892,16.364173330354912,131.60712005468525
-0.5089591885689352,0.42547055690619023,-0.4340769943839723,-0.04238925045085044,0.4531510717343145,0.5513484390197845,326.2090191189636,21.55380554048439,231.29306445868508,12.240634842327694,113.7002483399202,64.90218491436838,0.6416576729689693,0.6499999999999999,329.36795149767966,221.40330793958276,51.63238637054383,74.31099407226228,113.38659140002893,13.793240613784327,152.78122419036825
-0.778818732649713,0.41536771909808967,-0.20464702933528586,-0.024951082668749854,0.17677610495067225,0.8037698153184635,335.5513501117134,8.185477007397637,244.64196427405727,6.2963179165016925,117.4894965939659,79.64657588178456,0.6219046957834333,0.4,336.11140301284263,237.7777674717515,42.71277974705066,80.69565594523932,77.38891674874073,26.56779369332787,104.19407141135899
-0.8258623806847722,0.29460867313346006,-0.3204422888480048,0.20536400089487197,0.3115313940267068,0.6204983797899003,342.7256992066215,13.815473001348224,247.26446547621532,21.15747209104346,103.53924720716739,64.35609747412077,0.664899511454418,0.5,345.12870851109625,228.39042022538422,50.10965299770092,61.93913184259608,117.20781069809995,26.82296355036918,143.1183072068177
-0.36360782894023574,0.5272383200452794,-0.3782140384115026,-0.25665529785884184,0.3406984457759612,0.6202631267990778,317.9077574564208,17.441187116972827,47.93043015353536,0.07216678582474856,138.1601343665501,72.55865394239311,0.6852141013910327,0.4,317.8957700712697,227.98775093862895,51.54053275162297,90.09216135655193,47.68924645316343,16.65824575264468,89.7482509353649
-0.6674318578849449,0.47247514680042835,-0.2602865047113172,0.1181794341775657,0.40569808624841847,0.5492524237073795,331.8863572376237,15.194068507556977,233.93013850999634,27.00636567958623,88.05978500020977,58.379024861557966,0.6727301000063761,0.4,334.86970230784453,213.8776535209246,56.06904362804673,56.81894941176797,109.99211545033965,31.563225525671143,150.17074051780202
-0.7900194677111454,0.40639003522780504,-0.27063208600731725,0.16692503071870457,0.1724690452871181,0.6230944369924405,339.2507779014092,10.955206965321992,247.34016963633718,9.77270270595821,116.52329366765284,75.23775313391755,0.7692812088574974,0.4,339.8285585629577,237.77823286416796,46.037196960518294,76.36011978448441,89.15424831170058,24.86831408976233,113.805276412261
-0.5607813109929197,0.5597890450711966,-0.22214034958110887,-0.09021901991432968,0.26649178444626204,0.6510003309072498,325.5029849042165,11.436989282302918,233.12570297838823,11.58689251685432,98.94665914993642,73.60586674417783,0.725513159017606,0.5,326.3985864507675,221.13270137067622,44.61693354001177,73.38325125428454,81.96584264274746,23.0281026209915,120.894099398853
-0.6583247092180688,0.4967272560355975,-0.22914672103140857,0.20264367928291405,0.4578247893076271,0.4556810299351556,331.7516449595065,16.04117719916033,229.5513845837636,36.31583482828735,81.20274692427635,49.19177043095672,0.6519186722999271,0.45,335.45677131861186,205.45624705459446,60.95013612218516,47.354338303377354,118.5169272674449,38.219442462731266,163.18918071520122
-0.3834696428264968,0.3401362666502481,-0.4469760336941116,-0.45858440852582394,0.24631326581666277,0.8420540513523194,315.16976373114,15.736780773621035,47.26603093103883,7.396351791712149,161.62466051869396,72.52924181283238,0.42037884911245854,0.45,401.84950161857427,233.70529220164866,49.175054950362814,99.79486247466907,24.44947146277408,18.508308792644957,66.07563076043273
-0.5074388376310793,0.4655224090449251,-0.357634514114085,-0.11805542039873786,0.43895523806942793,0.6254942580298191,323.6356505861126,18.6384603760347,229.4693893309421,12.155752130798177,108.14057082748558,67.49721940229084,0.6265182541013496,0.45,326.3478770148678,220.1166071374735,52.96646246938316,74.70561755403865,90.06722372001386,18.31475383862847,132.07471939456946
-0.400828452187103,0.5537776325353532,-0.2873351490835446,-0.2728376949868895,0.30952863757637816,0.6736661471739928,317.8247425913422,14.111732767084106,226.8890327358573,3.7166040861143586,122.46168827039514,75.38732786296374,0.6835350221037745,0.55,318.29597326002823,223.14607469325102,44.85817848622469,84.72712412095908,59.26921213788604,16.855752429778327,102.91767336007969
-0.6928334184952574,0.3343126199740556,-0.4144539012784497,0.024527630285730174,0.40492267746070687,0.6683057882095276,334.8482285409367,18.161116385798508,240.08345305560758,14.209928830136207,114.21934308702993,66.62496801731379,0.5777811028239431,0.4,338.50693858168904,229.5492172204782,54.17134094569341,72.37608116426428,101.89961314679775,20.796357805264545,133.7400308442448
-0.6678998998362911,0.5145165507179189,-0.23866043875588377,0.008663485503354943,0.19123110791912867,0.6592364143329379,331.2168671559416,10.290511878931838,239.95547857253266,6.913206572996955,116.61159774196445,77.56063321066236,0.7436466160648578,0.4,331.6619568696429,232.9641767432181,44.888815388428355,80.17996618997988,75.26658622388308,24.662939906068218,106.7653886555301
-0.5364617874197335,0.27846193359428256,-0.6862578715063047,0.25892309001469443,0.12208258115401935,0.27753869740503895,344.5791011328408,28.512721878453405,80.74525632290701,11.184474367871573,189.9458629755727,58.98531711076459,0.7950680251806506,0.4,342.5002566623355,266.3373248625736,63.76432135419614,102.48860415646055,14.946105080429486,12.231064949675915,23.712712471175358
-0.6884567840652175,0.29637782059425727,-0.556304377144184,0.11309610180809095,0.16628060391214475,0.5753606822571267,342.04106837461745,20.227232707168668,72.52793283894648,1.3210704816924874,166.10717459514348,69.7258755935375,0.6763568747687394,0.7999999999999999,341.7583689856021,253.80768140588143,45.91769655400185,91.83920998455072,58.91223993054993,5.594968555974909,76.3215738166686
-0.7408252922287221,0.40379478405568253,-0.3391782103106554,0.08254172360973148,0.2136150305348866,0.6582835686189904,337.0158608870625,13.419766078194783,245.3079731953705,7.12006872632675,128.0480210826071,74.7454072591806,0.7034131616528936,0.4,337.7771235538016,238.85633779781415,48.02713204336637,80.402900642393,83.58268753842766,21.719916055910538,109.56854478707015
-0.4497055970903147,0.5324166600179138,-0.21949321487906,-0.22328093094485946,0.4316481803543464,0.6729865280351753,318.4808334607162,15.070067374355446,224.21443044438314,15.444953437252039,90.66238883395748,68.14950736684344,0.6241844669871419,0.45,321.00224858699755,210.97231665288302,50.33858318623295,69.76100108519041,84.85525945853685,22.98682949912332,132.99574253882048
-0.4114956406467044,0.5300376891407019,-0.3747192951320972,-0.20977104030167407,0.3202071599421246,0.6212666809483794,320.27712750769035,16.908772810743656,230.05833544648354,0.7196936500339177,137.69245987693594,73.07499182675917,0.6937843793528007,0.45,320.38707604101734,229.45010577826258,49.8000943774166,89.05772465680992,52.57050525343279,15.991760832277931,92.61316362439442
-0.5202035095810217,0.4998219329808579,-0.239010928418584,-0.2259641541753815,0.3930657057452994,0.7461676637564022,321.0772391398342,13.923755908864237,228.09904586980198,11.83625144081968,99.13740052768175,71.56740590075273,0.5888489571980425,0.6,323.2007428328597,216.0056257620897,45.00888949819708,73.14013353354606,84.98791845928693,19.245695278969166,128.48273335212835
-0.577895882128488,0.5883566524181606,-0.19292775965609815,-0.03016960996882884,0.20814593231157708,0.6080654920973162,326.9568447058486,9.712040904564205,234.87063690344047,12.00775591757801,94.95527786115206,74.46393695465348,0.7960338432926725,0.45,327.48031319483755,222.21595468404007,44.15390728837531,72.62276936869532,81.03098926970463,25.7542629161297,118.60700068885436
-0.42679555954891996,0.2645508063872236,-0.18483254356612502,-0.44222081767807175,0.42043719256709144,0.8690163772269918,310.4186247434136,14.665326670982822,218.7320346730051,6.416890937226981,105.74516640403648,73.934047699575,0.34440777741780804,0.4,314.1650451416747,213.1555537616377,49.17201760473573,81.50627173194204,56.39555952491218,20.33746562153929,108.75800380013348
-0.5027550367083498,0.5169601226275833,-0.2814835707309659,-0.17445124960281774,0.36863021558393083,0.6772062863111675,322.1370325332278,14.970541410857649,229.21014541144578,10.810888342771207,104.67800706352149,71.38321767950917,0.6471224297273875,0.55,323.8081801940541,218.88780805995418,46.82152148473516,75.09511030122341,83.55992548400441,18.697380637965495,125.810640811897
-0.4436400435700924,0.45037036981584333,-0.4173207676210129,-0.13360313898462237,0.458682069420093,0.5772431825547137,322.0463763309488,21.180705174314525,228.45156637319698,9.191485009529046,116.34762422016323,66.73122808821886,0.6360877251198227,0.5,324.4967867433756,221.6340889859813,53.73589112290746,78.57364325879757,89.9136026805699,13.732977639457394,132.28796994243643
-0.6001333031378558,0.517740027786563,-0.25190724835221845,0.1121763377854239,0.4401828857104484,0.4879569653524324,328.90395330662597,16.581352769383457,228.59234208000632,31.01274819659654,83.01811134008256,53.915161375894755,0.6815484323120387,0.4,332.26209598616936,207.7569172348507,59.38885992163997,53.22632683120077,111.69055907686294,33.98445145917556,157.1833061173308
-0.434928977286746,0.6012937701152548,-0.3101817594291281,-0.097934238686372,0.26768876616262005,0.5328632159731179,322.53573369469984,14.940631004632436,231.26425693165044,4.753631597812941,124.0710098776629,74.28755583650589,0.8246751212161157,0.4,322.82709220681465,227.15724462955595,49.26324666758458,83.72100086631352,64.71874204263626,19.666919097349574,104.25493265553503
-0.6864210264482841,0.49623369573142173,-0.21639159847929337,0.10493858285472013,0.334171927177786,0.5814824435935646,332.3467436332198,12.367441832886044,236.4084854404112,25.25917257825857,86.14544488671915,61.48106950202764,0.7096444817010201,0.4,334.28383111150663,215.25497455598236,52.59007672646415,57.5058675952309,105.33491038454586,32.04142810035331,143.5438681029984
-0.6952669880165492,0.48224916248361566,-0.2144616329134862,0.24231499947779464,0.4504508256770618,0.45295198853875496,333.5429029648844,15.123978530810973,231.29994100658655,38.11825553604468,80.96018577251195,47.92049537458236,0.6445600261310583,0.5,337.09463078460624,204.8107021413817,60.383082716461274,44.76052181450151,121.77119699164783,39.77757044433492,164.75240686125383
-0.623522696659471,0.42623467710416874,-0.3239332549472736,-0.2873241837764262,0.24608674281451065,0.9108468804358983,325.50428759141073,12.005234213102867,235.2672089194055,1.114722793388836,140.04111447831698,77.94158422433303,0.5017639647170303,0.4,325.7616902092454,234.19493619104415,46.11726727685296,88.45331624661395,58.01130054860525,22.118454612408733,92.96170483284288
-0.5095010657494459,0.522958212943603,-0.36218050422288595,-0.05306080370255852,0.3239854675566363,0.5625618694520047,325.7925545918185,17.13218121543892,233.16795198065842,8.449614591101408,117.9469016645986,70.78030023092076,0.7426533365796596,0.45,326.78828189510506,226.19121874497006,50.72823420040882,79.05847060608383,80.98854219963677,17.656277735019888,118.9770986912403
-0.6522845500363545,0.41967987524764494,-0.19619938920680907,-0.22059890665672524,0.3899145575541259,0.8728834566930788,325.9505220756785,11.588832193515913,233.36043446554447,12.427493465885448,97.68682251412474,72.87874683680441,0.48824550662925886,0.4,328.60845834390534,221.60843908190898,47.254156541279684,72.95965682464264,81.1314821556115,25.311931854223758,120.22166814698319
