latitude,longitude,depth,strike,dip,rake
-7.86,125.41,36.4,67,33,-103
-7.76,124.74,44.3,62,29,-89
-7.71,124.88,33,41,37,-56
-7.71,125.14,33,46,32,-76
-7.5,125.2,40,34,28,-77
-7.61,126.02,42.7,34,28,-77
-7.846,124.773,30.5,296,30,-69
-7.81,125.043,15,272,37,-104
-7.616,125.632,30.3,99,46,-108
-7.43,125.85,33,223,39,-49
-7.99,124.77,23.6,108,46,-146
-7.96,125.36,16.3,86,33,-74
-7.97,125.06,13,61,28,-75
-7.916,124.928,10,92,29,-101
-7.96,125.32,17.6,74,43,0
-7.892,125.174,17.5,49,73,174
-7.931,124.716,26.1,227,32,-43
-7.993,124.82,29.6,143,81,-12
-7.98,125.5,25.2,122,40,-135
-7.714,125.568,15,75,47,-134
-7.74,125.84,17.2,55,29,-113
-7.917,125.71,17.3,102,33,-148
-7.984,125.681,16.8,109,59,164
-7.875,125.673,15,74,32,-164
-7.877,125.678,23.1,184,88,-34
-7.809,125.72,15,184,89,-28
-7.81,125.75,16.6,107,45,-117
-7.881,125.734,15,231,62,-90
-7.29,125.67,10,93,43,-87
-7.947,125.741,18.2,122,51,172
-7.447,125.79,17.7,53,45,-59
-7.87,125.8,15.6,11,71,16
-7.5,125.61,17.8,47,33,-60
