latitude,longitude,depth,strike,dip,rake
1.62,122.502,33.2,354,83,20
1.71,123.19,47.6,86,70,173
1.252,122.929,33.6,272,70,-89
1.205,122.879,43.9,265,69,-94
1.093,121.52,35,194,50,98
1.291,122.975,25,268,67,-86
1.9,123.59,31.8,60,38,-41
1.391,123.118,30,278,62,-109
1.34,122.92,40.5,85,48,168
1.182,123.473,30,346,81,43
1.226,123.357,35.3,278,64,-110
1.241,122.932,30.7,298,63,-92
1.54,123.36,41.3,47,18,-70
1.197,123.89,30,227,63,-81
1.19,123.29,15,65,29,-106
1.33,123.36,33,119,12,-109
1.164,122.849,30.5,57,29,-66
1.336,123.501,28,224,76,-82
1.94,123.01,15,72,29,-49
1.132,123.019,30.4,72,29,-49
1.086,121.436,30.9,196,62,105
1.338,123.089,29.3,75,26,-80
1.252,123.024,34.9,275,71,-92
1.66,123.42,33,74,26,-61
1.37,123.14,18.1,94,21,-84
1.3,123.88,24.9,296,36,-75
1.42,123.62,33,122,9,-106
1.177,122.962,23.7,291,67,-98
1.147,123.065,31.2,69,31,-58
1.56,122.74,15,321,63,-150
1.261,122.551,27.2,115,38,-115
1.088,122.542,30,273,65,-92
1.397,122.755,25,93,40,-80
1.238,122.098,30,286,66,-108
1.37,123.08,47.9,39,29,-138
1.277,122.613,34.2,258,78,-82
1.372,123.357,34.6,307,75,-110
1.256,123.575,35,53,33,-56
1.34,123.44,15,295,42,-117
1.1,123,29,74,37,-59
1.61,122.8,17.7,116,44,-133
1.4,123.9,0,333,29,-65
1.245,123.394,25,109,13,-93
1.32,121.72,17.8,185,37,93
1.241,121.618,28,9,53,87
1.381,122.869,32.8,301,72,-102
1.3,122.6,40,98,21,-93
1.281,123.465,41.6,66,18,-45
1.53,122.88,41.6,66,18,-45
1.46,123.4,29,138,60,176
1.087,121.917,27.5,105,23,-95
1.322,122.822,34.8,281,72,-96
1.54,122.62,34.4,147,39,-143
1.25,121.832,36.6,240,28,98
1.205,121.836,24.4,69,63,97
1.28,121.79,46.3,85,37,-90
1.421,122.926,18.9,92,29,-101
1.305,122.723,25,275,72,-89
1.264,122.727,39.5,271,69,-88
1.336,121.888,30,119,29,-121
1.34,123.494,19.3,106,18,-97
1.351,122.295,29.2,270,74,-88
1.66,122.21,15,96,22,-97
1.06,123.27,34.7,266,26,103
0.972,121.779,27,110,48,148
1.4,121.57,20.5,354,42,100
1.28,122.12,45,105,22,-99
1.198,122.131,35,276,67,-87
1.82,122.2,38.8,93,28,-91
1.45,122.21,10,102,20,-101
1.446,122.285,21,278,68,-87
1.407,122.363,21.2,105,19,-98
1.93,122.97,16.7,110,32,92
1.52,122.89,27.8,101,21,-96
1.19,121.77,44.4,98,36,-91
1.43,121.52,22.6,186,44,76
1.16,122.16,46.4,93,39,-92
1.58,123.46,29,85,34,-61
1.6,121.98,28,91,20,-91
1.56,121.92,28.1,96,20,-95
1.3,122.05,40.2,2,53,-35
