latitude,longitude,depth,strike,dip,rake
3.787,126.87,20,12,66,-100
-0.073,125.12,35,34,72,-104
0.533,126.014,43.7,201,62,-68
3.07,126.72,20.1,83,18,-123
3.72,126.86,44.9,134,34,-42
1.396,126.279,44.4,197,58,-85
2.19,126.63,34.7,107,12,-116
-0.31,124.08,46.1,97,83,175
1.687,126.455,50,212,59,-60
3.76,126.7,39.5,359,24,36
-0.065,125.289,41.8,24,73,-85
4.013,126.514,35,192,70,86
-0.08,124.88,45.1,202,23,-90
0.547,126.009,43.9,214,60,-106
3.866,126.735,15,177,63,-91
3.083,126.918,37.1,358,75,-104
0.668,125.959,36.2,182,74,-114
0.806,126.031,30,22,62,-124
1.241,126.249,45,206,53,-119
0.576,126.567,49.6,279,62,44
0.707,125.932,38.2,295,71,-52
3.52,127,26.6,110,14,-41
1.047,126.042,35,334,63,-58
2.605,126.63,38.5,3,57,-57
4,126.49,15,107,17,-57
3.498,126.695,39.1,321,76,-99
1.515,126.366,39.1,35,33,-84
1.739,126.639,44,127,69,-37
2.034,126.771,24,229,81,-114
2.22,125.89,40.4,339,26,-22
3.788,126.605,34.1,6,46,-92
1.99,126.94,44.7,356,28,-76
2.58,126.72,13.8,38,44,-131
1.378,126.337,35,194,72,-81
1.25,126.44,33.3,46,58,-115
0.368,125.382,35,24,76,-83
1.714,126.364,47.4,216,58,-103
1.77,126.27,37.8,192,35,-120
3.726,126.55,30.4,12,47,-88
2.045,126.49,35,229,66,-118
1.994,126.45,44.8,209,50,-89
1.925,126.514,29.1,35,80,94
1.827,126.509,30.2,94,84,80
1.897,126.572,20,29,79,89
2.328,126.933,36.3,334,61,-115
2.2,126.35,23.9,342,38,-95
2.164,126.571,40.6,201,53,-111
2.32,126.68,17.8,339,43,-111
0.619,125.851,20,188,80,-85
3.777,126.677,29,26,71,-123
2.531,126.741,35,275,85,18
1.384,126.192,44.8,220,53,-118
1.729,126.568,32.6,230,72,-135
1.15,126.46,37.3,20,43,-55
0.886,126.199,36.6,34,51,-91
2.184,126.501,46.2,215,57,-98
3.585,126.769,25,176,32,-90
3.941,126.521,28.4,127,21,-30
0.591,126.166,41,354,46,-64
2.63,126.51,15,331,39,-87
0.04,125.93,20.4,230,24,-118
-0.177,125.106,43,17,62,-72
-0.24,125.78,18.6,232,33,-121
-0.243,124.92,40,21,71,-75
-0.14,125.68,15,240,24,-126
0.032,125.11,41,34,60,-83
0.05,125.62,49.3,229,28,-106
-0.155,124.955,24.6,31,64,-82
3.874,126.721,27,17,54,-113
3.875,126.641,30,3,60,-89
3.148,126.874,27.1,234,69,46
-0.292,125.102,49.5,10,61,-39
4.33,126.98,18.1,10,42,-82
4.226,126.475,35.8,200,48,-97
4.236,126.589,36.7,200,42,-109
2.11,125.81,15,210,32,-2
2.035,126.8,44.7,318,75,-68
2.66,126.1,18.6,34,45,-116
1.591,126.517,15,34,45,-116
2.511,126.737,30,244,65,-115
2.518,126.645,30,231,66,-100
2.48,126.655,30,43,56,-121
2.423,126.732,15,182,88,-106
2.438,126.564,30,23,47,-72
2.33,126.77,15,4,19,-54
3.21,126.95,36.9,16,39,-66
0.484,126.329,15,345,58,-63
2.411,126.873,42.2,161,82,-84
-0.053,124.924,35,11,74,-77
1.166,126.181,34.9,222,46,-101
2.46,126.72,24.3,232,47,-134
3.07,126.43,33.3,163,22,-56
-0.04,126.09,33,355,17,-85
0.053,126.672,35,355,17,-85
2.81,126.49,15,323,27,-69
2.644,126.788,35,315,80,-57
0.96,126,36,222,32,-97
1,126.54,39.4,334,72,-4
1.032,126.052,45.8,24,59,-121
2.099,126.562,49,206,59,-110
4.91,126.57,46.7,47,55,-140
4.77,126.42,48.4,207,33,-111
3.635,126.806,15.7,195,51,-177
0.91,125.53,45.6,213,20,-102
0.93,126.92,15,157,68,14
0.39,126.107,36.9,1,53,-53
0.579,126.042,40,355,49,-63
2.134,126.834,35,295,88,-85
2.56,126.58,39.9,32,36,-92
0.606,126.111,45.2,223,52,-114
1.642,126.354,20,11,41,87
2.74,126.64,38.5,28,32,-102
3.599,126.678,15,7,25,-133
3.517,126.456,25.4,350,14,-106
2.43,126.88,31.4,1,39,-52
3.22,126.96,19,197,6,-121
-0.331,125.89,48.7,85,78,-96
-0.05,125.64,45.8,223,23,-98
1.104,125.991,42.7,43,30,-136
2.614,126.641,40,205,80,-81
1.01,125.7,15.5,343,13,126
1.69,126.43,43.8,180,28,-76
0.098,124.891,45,28,61,-82
-0.13,125.29,49.2,224,30,-103
2.83,126.87,47.4,51,44,-82
0.63,125.71,16.6,35,11,-122
0.62,125.785,17.2,183,81,-84
0.591,125.898,20,173,80,-79
0.358,125.81,25,181,64,-103
0.359,125.88,25,209,57,-102
1.19,125.87,15,334,44,85
0.513,126.176,46.7,334,44,85
1.996,126.454,28.7,206,78,83
2.23,125.92,15,356,13,119
0.592,126.072,35,213,69,-132
1.7,126.1,38,34,36,-74
2.44,126.32,44.5,34,36,-74
-0.4,124.1,35,180,38,-12
2.26,126.74,39,66,46,-115
1.64,126.505,40.8,66,46,-115
1.38,126.17,49.3,330,57,-31
2.557,126.841,46.3,153,63,-83
3.17,126.98,38.3,207,17,-136
4.254,126.722,43.9,26,54,-96
