longitude,latitude,depth,strike,dip,rake,magnitude
120.24,1.036,25.0,262.0,76.0,95.0,6.56
120.26,0.86,0.0,63.0,14.0,71.0,6.0
120.35,1.27,21.0,63.0,14.0,71.0,6.5
120.458,1.027,28.4,264.0,77.0,96.0,6.98
120.561,1.161,28.1,70.0,25.0,68.0,5.38
120.5,0.9,33.0,70.0,25.0,68.0,5.6
120.219,0.971,28.6,256.0,75.0,95.0,5.93
120.2,1.0,33.0,57.0,16.0,71.0,6.3
120.35,1.36,20.0,57.0,16.0,71.0,5.9
120.97,1.79,33.0,47.0,24.0,38.0,5.1
125.078,-0.108,47.4,31.0,65.0,79.0,6.0
125.1,0.3,28.0,145.0,50.0,-47.0,6.4
124.995,-0.184,41.6,270.0,56.0,-129.0,5.67
120.197,1.008,27.3,40.0,21.0,50.0,5.26
120.26,1.69,43.4,40.0,21.0,50.0,5.3
120.453,0.332,28.5,200.0,63.0,-102.0,5.66
120.243,1.02,34.3,257.0,74.0,97.0,5.79
120.32,1.43,18.0,52.0,17.0,66.0,5.8
120.109,1.026,29.5,95.0,21.0,82.0,5.17
120.58,1.75,33.0,95.0,21.0,82.0,5.2
126.461,0.902,33.0,59.0,32.0,111.0,5.32
120.668,1.194,30.0,267.0,88.0,93.0,5.59
126.312,0.379,40.0,24.0,49.0,88.0,5.74
119.2,0.8,31.0,142.0,57.0,175.0,4.8
125.3,-0.2,31.0,235.0,18.0,123.0,5.6
126.352,3.976,40.9,213.0,40.0,106.0,5.13
126.9,4.17,40.9,213.0,40.0,106.0,5.1
126.3,0.4,35.0,187.0,34.0,41.0,4.6
126.53,0.54,29.8,187.0,34.0,41.0,5.3
126.364,4.02,29.8,278.0,18.0,-128.0,5.31
125.31,-0.02,37.3,208.0,19.0,80.0,5.3
117.58,-7.978,28.5,229.0,68.0,9.0,5.1
125.411,0.398,50.0,29.0,73.0,82.0,5.75
120.33,-1.95,42.1,287.0,46.0,-59.0,5.4
121.7,-0.9,36.0,322.0,86.0,2.0,5.2
124.4,-1.13,35.3,313.0,65.0,27.0,5.1
126.5,2.5,33.0,23.0,35.0,89.0,4.9
126.529,2.195,41.5,205.0,55.0,91.0,6.02
119.7,-3.9,33.0,13.0,40.0,110.0,6.0
126.2,2.4,33.0,294.0,62.0,169.0,5.1
124.61,-1.19,34.5,206.0,81.0,175.0,5.5
124.02,-0.883,49.4,297.0,85.0,9.0,5.52
122.498,1.229,25.0,275.0,69.0,89.0,7.02
122.6,1.3,40.0,98.0,21.0,93.0,6.5
122.71,1.37,29.4,98.0,21.0,93.0,7.0
126.5,2.8,33.0,32.0,26.0,122.0,5.6
126.56,2.42,47.9,81.0,18.0,44.0,5.4
125.56,-2.24,31.5,109.0,66.0,22.0,5.3
126.97,3.9,27.7,251.0,69.0,166.0,5.1
119.563,0.268,30.0,207.0,72.0,28.0,6.61
126.13,1.67,34.8,244.0,21.0,105.0,5.3
120.99,1.8,38.3,268.0,69.0,-3.0,5.0
124.06,-6.1,46.0,37.0,27.0,89.0,5.1
126.45,1.69,37.3,215.0,19.0,100.0,5.2
125.4,-2.9,8.0,181.0,29.0,130.0,5.0
126.23,-2.761,30.0,181.0,29.0,130.0,5.22
122.7,-0.6,34.0,166.0,56.0,147.0,4.8
124.5,4.85,36.8,201.0,33.0,129.0,5.3
125.019,-0.086,50.0,34.0,63.0,78.0,6.11
126.3,3.94,15.0,307.0,37.0,73.0,5.1
126.332,3.819,17.5,313.0,30.0,74.0,6.12
119.8,-0.3,33.0,359.0,34.0,41.0,6.0
120.1,-0.8,28.0,355.0,31.0,35.0,5.5
120.55,0.32,30.3,355.0,31.0,35.0,6.0
125.2,-7.5,40.0,34.0,28.0,77.0,5.2
126.02,-7.61,42.7,34.0,28.0,77.0,5.4
123.154,-3.493,25.0,222.0,53.0,-102.0,5.61
125.848,0.902,35.0,148.0,84.0,13.0,6.49
125.8,0.4,10.0,48.0,69.0,-165.0,5.0
126.113,0.797,41.8,327.0,54.0,16.0,5.01
126.472,1.696,43.4,239.0,65.0,90.0,5.51
126.51,2.51,33.6,59.0,25.0,90.0,5.5
124.818,-1.924,25.0,196.0,65.0,-150.0,7.71
126.174,1.331,35.3,201.0,37.0,77.0,6.55
125.9,0.4,0.0,183.0,65.0,22.0,5.1
126.6,3.0,0.0,78.0,28.0,168.0,5.1
126.72,1.58,25.1,78.0,28.0,168.0,5.2
126.153,1.184,30.0,126.0,87.0,88.0,5.56
126.106,1.241,39.2,165.0,66.0,47.0,6.13
126.081,1.221,21.7,190.0,37.0,67.0,5.17
123.713,-1.274,25.0,332.0,86.0,5.0,5.92
126.91,4.4,44.0,185.0,29.0,67.0,5.3
126.68,2.94,47.2,31.0,27.0,89.0,5.4
119.568,0.295,36.8,15.0,87.0,-16.0,5.47
126.5,-2.79,15.0,149.0,41.0,142.0,5.7
123.4,-4.5,45.0,308.0,51.0,-25.0,5.0
126.84,3.33,48.4,177.0,28.0,74.0,5.4
120.0,1.2,16.0,49.0,19.0,56.0,5.0
123.1,-0.5,45.0,226.0,29.0,67.0,5.4
121.496,-0.381,42.0,93.0,58.0,-31.0,5.44
126.61,4.09,24.6,149.0,19.0,28.0,5.3
124.21,0.97,39.4,227.0,30.0,70.0,5.3
126.49,4.09,17.2,298.0,23.0,45.0,5.5
126.52,2.44,36.1,259.0,34.0,82.0,5.0
122.578,-1.715,25.0,216.0,86.0,-170.0,6.13
122.606,-1.761,24.2,145.0,74.0,21.0,5.53
126.49,2.73,31.3,22.0,39.0,-1.0,5.2
126.96,2.97,41.8,76.0,51.0,152.0,5.2
125.46,0.31,41.3,231.0,29.0,141.0,5.1
126.2,0.3,28.0,248.0,55.0,135.0,5.0
125.997,0.632,40.0,189.0,53.0,85.0,5.97
121.1,-0.6,0.0,265.0,43.0,-93.0,5.7
126.0,0.3,35.0,87.0,8.0,-169.0,4.8
126.165,0.551,25.0,18.0,77.0,-93.0,5.66
120.736,-7.931,25.0,88.0,50.0,118.0,5.74
122.83,-7.03,33.0,234.0,40.0,70.0,5.1
121.28,-7.7,41.1,234.0,40.0,70.0,5.6
126.212,1.359,37.2,23.0,30.0,104.0,5.43
126.76,-0.28,12.0,23.0,30.0,104.0,5.1
126.38,1.52,37.2,23.0,30.0,104.0,5.4
126.81,-1.25,12.0,21.0,42.0,90.0,5.1
126.248,0.955,23.4,21.0,42.0,90.0,5.45
120.84,1.219,30.0,45.0,37.0,-76.0,5.31
120.76,-0.27,33.0,45.0,37.0,-76.0,5.1
124.71,4.64,28.0,203.0,58.0,-168.0,5.2
120.165,1.033,15.0,262.0,76.0,97.0,5.52
123.551,-1.12,30.0,319.0,83.0,26.0,7.53
123.59,-1.29,18.6,225.0,64.0,172.0,7.5
123.1,-1.54,33.0,219.0,77.0,175.0,4.7
123.376,-1.212,30.0,310.0,85.0,13.0,5.69
122.471,-2.608,45.0,15.0,85.0,166.0,5.54
121.879,-2.668,38.0,213.0,70.0,-158.0,5.19
123.409,-1.437,30.0,336.0,58.0,48.0,5.55
123.197,-4.34,20.0,16.0,64.0,70.0,6.24
123.57,-1.41,21.0,223.0,67.0,-178.0,4.3
118.31,1.3,21.0,68.0,16.0,64.0,4.4
118.392,1.065,17.8,68.0,16.0,64.0,5.41
121.53,0.29,33.0,5.0,63.0,-19.0,5.5
126.53,0.02,33.0,295.0,22.0,3.0,5.8
123.312,-1.373,15.0,218.0,80.0,153.0,5.51
123.344,-5.809,15.0,261.0,18.0,89.0,5.17
122.84,-5.3,33.0,261.0,18.0,89.0,5.0
126.38,1.454,32.7,193.0,28.0,68.0,5.09
126.33,1.16,33.0,193.0,28.0,68.0,4.4
124.0,-1.62,33.0,42.0,77.0,178.0,5.5
121.45,-0.99,33.0,124.0,8.0,-49.0,5.1
121.88,-1.01,33.0,124.0,8.0,-49.0,5.4
119.95,-0.49,20.0,108.0,54.0,-150.0,4.5
120.25,-0.62,27.2,108.0,54.0,-150.0,5.4
126.22,1.85,33.0,4.0,28.0,31.0,4.9
126.52,2.835,38.1,10.0,71.0,98.0,5.48
125.76,0.83,33.0,165.0,20.0,66.0,4.7
123.465,1.281,41.6,66.0,18.0,45.0,5.28
122.88,1.53,41.6,66.0,18.0,45.0,5.3
126.265,1.428,35.0,32.0,49.0,100.0,7.04
126.48,0.63,33.0,197.0,42.0,78.0,4.5
126.42,1.55,42.8,197.0,42.0,78.0,7.0
126.218,1.574,35.0,65.0,59.0,127.0,5.75
126.444,1.645,30.0,50.0,55.0,131.0,6.18
126.308,1.325,38.5,211.0,42.0,98.0,5.4
