date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1980-05-15,18:58:29.50,-6.58,125.78,21.5,6.4,35.0,73.0,2.0,305.0,88.0,163.0,5.019999999999999e+25,25.0,,,,,,
1980-06-11,08:10:15.10,-6.98,125.46,539.5,6.0,168.0,43.0,-150.0,55.0,70.0,-51.0,1.17e+25,24.0,,,,,,
1980-07-29,22:23:41.50,2.45,126.45,38.5,5.5,233.0,45.0,130.0,3.0,57.0,57.0,2.08e+24,24.0,,,,,,
1980-08-31,16:29:35.50,-0.31,123.14,75.4,5.7,202.0,55.0,44.0,83.0,56.0,135.0,4.52e+24,24.0,,,,,,
1980-10-08,09:17:38.10,-0.16,123.23,132.9,5.8,79.0,27.0,98.0,251.0,63.0,86.0,6.12e+24,24.0,,,,,,
1981-06-22,10:21:07.00,2.38,124.43,286.3,5.5,244.0,59.0,167.0,341.0,79.0,32.0,2.58e+24,24.0,,,,,,
1981-08-14,06:24:50.60,2.71,126.84,20.5,5.7,121.0,46.0,40.0,1.0,63.0,128.0,5.3e+24,24.0,,,,,,
1981-10-11,00:39:19.10,0.47,120.55,66.0,5.6,142.0,7.0,-180.0,52.0,90.0,-83.0,3.13e+24,24.0,,,,,,
1981-10-17,20:04:16.80,4.56,122.7,594.1,6.0,227.0,14.0,-48.0,4.0,79.0,-100.0,1.2599999999999999e+25,25.0,,,,,,
1982-03-29,21:33:55.80,0.01,123.29,164.6,6.0,305.0,31.0,134.0,77.0,68.0,67.0,1.2399999999999998e+25,24.0,,,,,,
1982-04-27,08:06:26.99,-4.018,119.058,38.7,5.65,207.0,66.0,86.0,38.0,24.0,100.0,3.67,17.0,-1.99,-2.23,2.57,-1.03,-1.44,-0.58
1982-06-04,15:21:40.60,4.11,124.5,332.2,6.0,213.0,9.0,-102.0,45.0,81.0,-88.0,1.0899999999999998e+25,24.0,,,,,,
1982-06-22,04:18:55.30,-7.28,125.99,473.4,7.4,354.0,41.0,-140.0,232.0,65.0,-56.0,1.7700000000000003e+27,27.0,,,,,,
1982-06-23,23:23:36.70,3.91,124.61,325.2,5.5,134.0,47.0,-114.0,347.0,48.0,-67.0,2.24e+24,24.0,,,,,,
1982-07-09,10:43:15.30,1.86,126.46,57.8,5.5,14.0,33.0,82.0,204.0,57.0,95.0,2.39e+24,24.0,,,,,,
