% ini datanya
%  stike   dip   rake
   296   30   69
   68   16   64
   272   30   -7
   351   45   48
   219   77   175
   180   42   -155
   225   27   143
   217   16   119
   30   40   88
   30   40   88
   36   82   -4
   110   52   -16
   221   78   178
   8   43   79
   293   85   0
   61   69   2
   230   39   26
   161   37   88
   62   29   139
   79   45   81
   15   44   179
   323   39   90
   342   45   70
   18   22   106
   40   44   -129
   144   59   -3
   111   72   -167
   88   22   96
   91   47   114
   181   29   130
   308   51   -25
   261   18   89
   45   71   3
   318   41   83
   49   73   -174
   105   79   175
   134   80   8
   82   76   4
   69   66   16
   209   46   110
   357   23   81
   101   60   171
   229   68   9
   37   27   89
   234   40   70
   345   41   121
   225   31   -134
   345   83   176
   129   82   177
   77   70   1
   71   62   -21
   344   80   176
   334   37   104
   261   18   89
   90   51   -48
   114   44   -110
   2   46   56
   134   38   -140
   359   29   76
   142   74   16
   24   81   178
   299   10   74
   149   84   5
   93   29   114
   142   45   -75
   359   29   76
   279   33   101
   103   59   -14
   58   17   57
   203   43   91
   274   24   -138
   280   70   -5
   109   66   22
   185   72   -172
   167   36   -163
   81   46   122
   354   32   54
   103   59   -14
   207   48   63
   223   26   92
   14   28   70
   14   28   70
   97   44   9
   277   19   -160
   46   44   126
   319   53   8
   120   38   93
   40   42   133
   156   77   -168
   132   81   -177
   27   68   -162
   252   79   -5
   120   67   165
   68   16   64
   46   44   126
   297   62   3
   131   45   -79
   171   76   -162
   25   71   161
   40   35   57
   309   15   146
   203   43   91
   5   63   -19
   128   70   169
   87   37   98
   145   74   21
   122   72   20
   258   61   111
   187   61   100
   126   56   66
   318   75   51
   87   83   171
   38   24   100
   234   40   70
   198   37   128
   101   76   17
   325   78   170
   332   77   -177
   88   50   118
   261   53   128
   260   90   -3
   97   62   106
   14   83   -1
   6   78   7
   327   53   6
   69   83   -14
   13   40   110
   94   79   4
   110   22   -22
   221   80   -2
   216   86   -170
   236   81   -148
   246   79   -13
   235   69   21
   327   83   -20
   67   45   78
   305   88   163
   179   49   59
   83   45   139
   194   74   90
   43   83   -175
   41   49   121
