Site,Lon,Lat,94,96,97,98,99,0,1,2,3,4,V_lon,V_lat,S_lon,S_lat,Corr,V_up
KAMB,120.904,-1.908,,X,X,X,,,,,,,2.88,8.93,2.18,1.46,-0.02,false
LUWU,122.772,-1.04,,X,X,X,,S,S,,,,-2.62,15.94,2.71,1.52,0.006,false
AMPA,121.436,-1.01,X,X,X,X,X,S,S,,,,-5.03,13.96,1.98,1.22,0.073,false
