Long,Lat,Vlon,Vlat,dVlon,dVlat,Corr,Site
120.904,-1.908,3510.182730825016,-4234.638305719262,2.18,1.46,-0.02,KAMB
122.772,-1.04,2806.38566297685,-5744.161656595459,2.71,1.52,0.006,LUWU
121.436,-1.01,2786.622763259177,-4662.041556187364,1.98,1.22,0.073,AMPA
