Site,Lon,Lat,94,96,97,98,99,0,1,2,3,4,V_lon,V_lat,S_lon,S_lat,Corr,V_up
GORO,123.029,0.605,X,,,,,,X,X,,,17.37,10.35,0.36,0.29,-0.122,false
GT06,123.102,0.541,X,,,,,,X,X,,,18.04,8.93,0.48,0.34,-0.041,false
GT08,123.189,0.528,X,,,,,X,X,X,,,18.92,5.67,0.74,0.45,0.017,false
GT10,123.248,0.51,X,,,,,,X,X,,,21.32,5.94,0.74,0.42,-0.009,false
KEMA,125.064,1.331,,,,,,X,X,X,X,,23.18,-7.99,1.74,1.43,0.079,false
MANA,125.064,1.331,X,X,X,,,,,,,,20.97,-6.37,2.56,1.43,0.036,false
