x,y,east_velocity,north_velocity,east_sigma,north_sigma,correlation_EN,SITE
121.04,-2.39,8.4,5.71,0,0,0,
127.23,0.48,-58.354,24.093,0,0,0,
121.26,-1,-9.324,27.473,0,0,0,
124.54,-8.15,35.48,49.742,0,0,0,
124.55,1.32,20.309,4.901,0,0,0,
128.1,-3.41,11.227,36.793,0,0,0,
120.3,0.31,-26.653,64.841,0,0,0,
119.25,-5.08,30.04,2.37,0,0,0,
121.29,-4.35,21.963,8.746,0,0,0,
126,-2.03,-19.473,31.352,0,0,0,
