date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster,corepoint
14-07-89,42:48.4,-7.86,125.41,36.4,6.6,67,33,103,232,58,82,1.08e+26,25.0,,,,,,,6,c
19-05-94,41:47.7,-7.71,124.88,33.0,5.3,41,37,56,261,60,113,1.09e+24,23.0,,,,,,,6,c
20-05-94,38:37.6,-7.71,125.14,33.0,5.5,46,32,76,242,59,98,1.95e+24,24.0,,,,,,,6,c
22-10-98,13:25.8,-7.5,125.2,40.0,5.2,34,28,77,229,62,97,,,,,,,,,6,c
22-10-98,13:29.2,-7.61,126.02,42.7,5.4,34,28,77,229,62,97,1.38e+24,24.0,,,,,,,6,c
27-02-03,40:29.9,-7.81,125.043,15.0,5.28,272,37,104,75,54,80,1.04,17.0,0.01,0.19,0.97,0.28,-0.11,-0.99,6,c
08-06-03,15:36.0,-7.616,125.632,30.3,5.19,99,46,108,255,47,73,0.77,17.0,0.05,-0.16,0.73,-0.01,-0.05,-0.78,6,c
25-06-04,00:47.0,-7.43,125.85,33.0,5.1,223,39,49,91,62,118,,,,,,,,,6,c
12-11-04,52:44.4,-7.96,125.36,16.3,5.1,86,33,74,285,58,100,6.62e+23,23.0,,,,,,,6,c
13-11-04,34:14.1,-7.97,125.06,13.0,5.2,61,28,75,258,63,98,7.71e+23,23.0,,,,,,,6,c
18-11-04,42:02.3,-7.916,124.928,10.0,5.38,92,29,101,259,62,84,1.46,17.0,0.19,-0.19,1.12,-0.77,-0.14,-1.31,6,c
28-11-04,22:22.4,-7.96,125.32,17.6,5.3,74,43,0,164,90,-133,1.0999999999999999e+24,24.0,,,,,,,6,c
21-12-04,01:19.6,-7.892,125.174,17.5,5.11,49,73,-174,317,84,-17,5.82,16.0,-5.74,-2.03,0.56,0.51,-0.49,5.18,6,c
27-08-05,43:35.1,-7.98,125.5,25.2,4.7,122,40,135,240,63,60,1.66e+23,23.0,,,,,,,6,c
12-09-05,51:03.8,-7.714,125.568,15.0,5.14,75,47,134,200,58,53,6.4,16.0,-1.92,-2.21,4.43,0.4,-4.76,-2.51,6,c
19-04-08,27:33.1,-7.74,125.84,17.2,4.9,55,29,113,209,63,78,2.59e+23,23.0,,,,,,,6,c
19-04-08,50:46.4,-7.917,125.71,17.3,5.04,102,33,148,220,73,61,4.49,16.0,0.87,-2.55,2.05,-1.91,-1.93,-2.93,6,c
19-04-08,51:18.7,-7.984,125.681,16.8,5.09,109,59,-164,11,76,-32,5.42,16.0,2.81,-2.3,-1.19,-1.68,-3.91,-1.62,6,c
19-04-08,53:41.9,-7.875,125.673,15.0,5.4,74,32,164,177,82,59,1.59,17.0,-0.63,-1.3,0.34,-0.06,-0.8,0.3,6,c
19-04-08,21:14.6,-7.877,125.678,23.1,5.94,184,88,34,93,56,177,1.0,18.0,-0.03,-0.53,0.17,-0.17,-0.84,-0.13,6,c
19-04-08,12:26.0,-7.809,125.72,15.0,6.08,184,89,28,93,62,178,1.61,18.0,-0.04,-0.74,0.31,-0.28,-1.42,-0.26,6,c
20-04-08,09:31.5,-7.81,125.75,16.6,4.9,107,45,117,199,88,45,3.19e+23,23.0,,,,,,,6,c
20-04-08,01:22.4,-7.881,125.734,15.0,5.6,231,62,90,51,28,90,3.09,17.0,-0.82,-1.11,2.31,-1.35,-1.59,-1.48,6,c
12-03-16,25:59.6,-7.947,125.741,18.2,5.21,122,51,-172,27,84,-39,8.35,16.0,5.22,-3.79,-0.41,-4.41,-3.7,-4.81,6,c
18-09-18,25:29.9,-7.447,125.79,17.7,4.97,53,45,59,273,53,117,3.63,16.0,-0.09,1.18,3.21,-0.83,-1.07,-3.11,6,c
02-04-20,13:13.5,-7.87,125.8,15.6,5.5,11,71,-16,106,75,-161,2.02e+24,24.0,,,,,,,6,c
30-10-21,11:45.4,-7.5,125.61,17.8,5.5,47,33,60,262,62,108,2.14e+24,24.0,,,,,,,6,c
