latitude,longitude,depth,strike,dip,rake
4.95,125.27,29.8,19,26,-133
4.406,125.158,45.8,344,49,-62
4.93,125.37,16,331,28,-78
4.78,125.65,10,329,25,-84
4.97,125.38,10,340,20,-91
4.905,125.28,17.8,340,20,-91
4.95,125.22,10,315,27,-80
4.971,125.312,15,164,62,-92
4.722,125.331,15,28,22,-100
4.9,125.38,10,337,85,4
4.61,125.02,22.3,330,76,-174
4.55,124.95,10,11,61,-172
4.727,125.194,15,19,63,-172
4.67,125.01,15.1,10,71,4
4.732,125.153,13.4,102,89,163
4.659,125.004,26.1,50,75,-175
4.85,125.12,32.3,192,39,-78
4.72,125.3,21.2,352,21,-91
