lon,lat,Vlon,Vlat,dVlon,dVlat,Corr.,site,block
128.116999999999990,-3.775000000000000,13.779999999999999,19.750000000000000,1.830000000000000,0.890000000000000,0.005000000000000,AMBO,Banda
122.795000000000002,-5.471000000000000,25.699999999999999,6.430000000000000,4.070000000000001,4.050000000000000,-0.042000000000000,BAUB,Makassar
119.581000000000003,-5.154000000000000,27.739999999999998,-5.860000000000000,0.730000000000000,0.510000000000000,-0.024000000000000,UJPD,Makassar
121.489000000000004,-4.582000000000000,26.780000000000001,-0.090000000000000,0.520000000000000,0.360000000000000,0.001000000000000,TOAR,Makassar
122.736000000000004,-4.227000000000001,24.120000000000001,8.289999999999999,5.090000000000000,2.780000000000000,0.054000000000000,KEND,Makassar
119.650000000000006,-3.978000000000000,25.390000000000001,-7.810000000000000,0.250000000000000,0.160000000000000,-0.030000000000000,PARE,Makassar
120.367000000000004,-3.539000000000000,23.829999999999998,-4.310000000000000,0.930000000000000,0.670000000000000,0.005000000000000,REDO,Makassar
120.905000000000001,-2.595000000000000,19.949999999999999,-0.580000000000000,1.110000000000000,0.620000000000000,-0.058000000000000,MALI,Makassar
119.382000000000005,-1.855000000000000,12.130000000000001,-0.540000000000000,3.980000000000000,3.330000000000000,-0.042000000000000,LARA,Makassar
120.010000000000005,-1.512000000000000,15.470000000000001,-1.500000000000000,1.840000000000000,1.480000000000000,0.105000000000000,SUNG,Makassar
119.459999999999994,-1.427000000000000,22.270000000000000,-8.660000000000000,0.820000000000000,0.580000000000000,-0.031000000000000,BARA,Makassar
119.587000000000003,-0.874000000000000,21.570000000000000,-4.570000000000000,0.470000000000000,0.360000000000000,0.001000000000000,WATA,North Sula
119.635000000000005,-0.795000000000000,22.059999999999999,-4.610000000000000,1.090000000000000,0.570000000000000,-0.019000000000000,PL02,North Sula
119.680999999999997,-0.727000000000000,21.149999999999999,-3.320000000000000,1.070000000000000,0.560000000000000,-0.018000000000000,PL03,North Sula
119.719999999999999,-0.708000000000000,20.270000000000000,-2.390000000000000,1.090000000000000,0.560000000000000,-0.017000000000000,PL04,North Sula
119.787999999999997,-0.770000000000000,20.160000000000000,1.840000000000000,1.190000000000000,0.590000000000000,-0.017000000000000,LOLI,North Sula
119.837000000000003,-0.906000000000000,22.120000000000001,2.510000000000000,1.040000000000000,0.550000000000000,-0.021000000000000,PL14,North Sula
119.837000000000003,-0.906000000000000,22.129999999999999,1.840000000000000,1.470000000000000,0.700000000000000,-0.021000000000000,P14P,North Sula
119.866000000000000,-0.758000000000000,17.949999999999999,6.520000000000000,1.070000000000000,0.560000000000000,-0.018000000000000,PL09,North Sula
119.867000000000004,-0.908000000000000,18.350000000000001,4.640000000000000,1.200000000000000,0.600000000000000,-0.022000000000000,PL18,North Sula
119.879999999999995,-0.867000000000000,22.590000000000000,7.000000000000000,1.050000000000000,0.550000000000000,-0.022000000000000,PL08,North Sula
119.879999999999995,-0.735000000000000,17.980000000000000,8.869999999999999,1.060000000000000,0.550000000000000,-0.018000000000000,PL10,North Sula
119.896000000000001,-0.742000000000000,19.270000000000000,10.380000000000001,1.210000000000000,0.600000000000000,-0.019000000000000,PL11,North Sula
119.947999999999993,-0.716000000000000,18.050000000000001,14.930000000000000,1.000000000000000,0.530000000000000,-0.019000000000000,PL12,North Sula
119.971000000000004,-0.718000000000000,19.800000000000001,16.030000000000001,3.440000000000000,1.320000000000000,-0.019000000000000,PL19,North Sula
119.994000000000000,-0.722000000000000,18.160000000000000,31.190000000000001,1.420000000000000,0.670000000000000,-0.018000000000000,PL17,North Sula
120.016000000000005,-0.723000000000000,19.820000000000000,15.890000000000001,1.760000000000000,0.790000000000000,-0.016000000000000,SLBY,North Sula
120.043999999999997,-0.719000000000000,17.039999999999999,22.140000000000001,1.600000000000000,0.730000000000000,-0.025000000000000,PL16,North Sula
120.094999999999999,-0.709000000000000,17.270000000000000,21.879999999999999,0.800000000000000,0.460000000000000,-0.017000000000000,TOBP,North Sula
120.094999999999999,-0.709000000000000,16.750000000000000,22.120000000000001,0.850000000000000,0.480000000000000,-0.019000000000000,TOBO,North Sula
120.903999999999996,-1.908000000000000,2.880000000000000,8.930000000000000,2.180000000000000,1.460000000000000,-0.020000000000000,KAMB,East Sula
120.316000000000003,-1.424000000000000,12.460000000000001,8.480000000000000,0.510000000000000,0.380000000000000,-0.007000000000000,WUAS,North Sula
122.772000000000006,-1.040000000000000,-2.620000000000000,15.940000000000000,2.710000000000000,1.520000000000000,0.006000000000000,LUWU,East Sula
121.436000000000007,-1.010000000000000,-5.030000000000000,13.960000000000001,1.980000000000000,1.220000000000000,0.073000000000000,AMPA,East Sula
120.427999999999997,-1.007000000000000,17.070000000000000,25.730000000000000,1.860000000000000,1.590000000000000,-0.011000000000000,SULI,North Sula
120.004999999999995,-0.248000000000000,15.070000000000000,23.149999999999999,2.070000000000000,1.460000000000000,-0.045000000000000,DONG,North Sula
120.122000000000000,0.127000000000000,12.590000000000000,27.930000000000000,4.540000000000000,3.590000000000000,0.021000000000000,SGTI,North Sula
120.849999999999994,0.453000000000000,17.920000000000002,28.800000000000001,0.690000000000000,0.470000000000000,-0.031000000000000,TOMI,North Sula
120.433999999999997,0.482000000000000,18.980000000000000,28.260000000000002,2.400000000000000,1.670000000000000,-0.013000000000000,PALA,North Sula
120.793999999999997,1.121000000000000,22.829999999999998,31.100000000000001,0.300000000000000,0.170000000000000,-0.020000000000000,TOLI,North Sula
122.617000000000004,0.625000000000000,21.280000000000001,17.530000000000001,0.610000000000000,0.400000000000000,-0.006000000000000,GT03,North Sula
