date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
1985-03-01,12:52:07.45,-2.034,119.625,20.0,5.53,51.0,78.0,-130.0,307.0,41.0,-19.0,2.43,17.0,-0.98,-1.93,-0.68,-0.78,-0.31,1.67,-1
1985-03-01,17:11:19.92,-2.036,119.61,20.0,6.39,312.0,72.0,-28.0,52.0,63.0,-159.0,4.74,18.0,-3.26,-1.38,-1.99,0.61,-0.37,5.26,-1
1985-03-01,22:22:11.78,-2.14,119.625,20.0,5.89,153.0,88.0,53.0,61.0,37.0,176.0,8.32,17.0,-5.68,-6.98,0.68,0.64,-1.42,5,-1
1985-03-02,15:47:35.64,-1.989,119.729,45.0,6.65,14.0,87.0,-174.0,283.0,84.0,-3.0,1.15,19.0,-0.6,-0.15,0.19,0.06,1.01,0.42,-1
1985-03-02,15:47:40.20,-1.32,119.38,43.9,6.6,283.0,84.0,-3.0,14.0,87.0,-174.0,1.15e+26,26.0,,,,,,,-1
1985-03-10,05:01:43.20,-0.17,123.38,43.9,5.5,348.0,77.0,-7.0,79.0,83.0,-167.0,2.17e+24,24.0,,,,,,,-1
1985-08-13,00:25:21.90,-2.3,125.64,13.6,5.5,309.0,15.0,146.0,71.0,82.0,77.0,2.49e+24,24.0,,,,,,,-1
1987-07-07,10:36:02.77,4.406,125.158,45.8,5.68,344.0,49.0,62.0,203.0,48.0,119.0,4.04,17.0,-4.12,0.11,3.45,-1.25,-0.28,0.67,-1
1987-07-22,08:03:16.38,4.054,125.596,31.7,5.58,187.0,61.0,100.0,347.0,30.0,73.0,2.92,17.0,-2.63,-1.5,2.3,-0.35,0.13,0.33,-1
1987-12-06,00:48:22.42,3.724,125.428,19.9,5.25,359.0,29.0,76.0,196.0,62.0,98.0,9.42,16.0,-8.5,-4.9,6.94,-1.71,-1.6,1.57,-1
1987-12-06,00:48:25.50,3.63,124.88,34.4,5.2,359.0,29.0,76.0,196.0,62.0,98.0,9.42e+23,23.0,,,,,,,-1
1988-03-08,15:38:27.61,-2.033,125.3,30.0,5.92,69.0,83.0,-14.0,161.0,76.0,-173.0,9.37,17.0,6.64,-0.13,-1.8,-2.06,7.04,-4.84,-1
1988-08-17,23:09:37.20,1.51,125.21,29.6,5.1,56.0,60.0,8.0,322.0,83.0,149.0,6.46e+23,23.0,,,,,,,-1
1988-10-28,10:37:54.79,-0.297,122.141,20.0,5.52,176.0,87.0,9.0,85.0,81.0,177.0,2.37,17.0,-0.3,-0.37,-0.07,0.19,-2.31,0.38,-1
1989-05-24,08:05:48.84,-3.759,123.266,19.9,5.82,330.0,73.0,69.0,204.0,27.0,140.0,6.57,17.0,-4.52,4.08,3.39,-3.11,0.3,1.14,-1
1989-07-31,17:07:38.90,-7.94,121.18,30.4,6.6,83.0,45.0,139.0,205.0,62.0,53.0,1.0699999999999999e+26,25.0,,,,,,,-1
1989-11-03,14:08:49.30,4.91,126.57,46.7,5.3,47.0,55.0,140.0,163.0,59.0,43.0,1.02e+24,23.0,,,,,,,-1
1990-01-12,15:28:15.10,4.77,126.42,48.4,5.7,207.0,33.0,111.0,2.0,59.0,77.0,4.66e+24,24.0,,,,,,,-1
1990-02-03,04:43:38.68,-2.946,126.311,25.0,5.12,61.0,62.0,29.0,316.0,64.0,148.0,6.13,16.0,3.46,3.09,2.38,0.26,1.46,-5.84,-1
1990-02-03,04:43:39.70,-2.36,126.03,34.6,5.1,61.0,62.0,29.0,316.0,64.0,148.0,6.13e+23,23.0,,,,,,,-1
1990-02-03,22:27:31.15,-2.134,125.162,22.1,5.12,71.0,62.0,-21.0,171.0,72.0,-150.0,5.93,16.0,2.88,2.32,-1.38,-2.52,4.21,-1.5,-1
1990-03-01,16:06:00.30,-7.909,121.154,25.0,5.59,87.0,83.0,171.0,178.0,81.0,7.0,2.98,17.0,-0.6,-0.2,0.69,0.35,-2.93,-0.08,-1
1990-04-04,09:07:27.60,-0.47,122.68,33.0,5.1,229.0,41.0,-156.0,121.0,74.0,-51.0,5.57e+23,23.0,,,,,,,-1
