date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster,corepoint
26-09-78,07:46.7,1.125,120.308,36.9,5.63,85,83,-41,181,49,-171,3.45,17.0,0.4,0.11,-0.53,-2.22,2.6,0.13,2,c
08-03-79,49:55.1,0.993,120.383,30.5,6.36,263,82,90,81,8,88,4.25,18.0,-0.03,-0.51,1.16,-4.06,-0.16,-1.13,2,c
26-07-83,14:52.5,0.58,119.91,45.0,5.3,344,18,6,248,88,108,1.13e+24,24.0,,,,,,,2,c
25-10-83,36:24.8,1.196,120.8,28.3,6.45,290,79,104,58,18,39,5.9,18.0,0.62,2.11,2.18,-4.87,-0.39,-2.8,2,c
27-10-83,43:50.4,1.181,120.798,27.7,6.45,290,74,125,41,38,27,5.8,18.0,3.02,0.53,2.43,-3.73,-1.29,-5.45,2,c
16-04-89,50:26.6,1.076,120.139,29.0,5.52,260,69,114,28,31,43,2.37,17.0,-0.36,0.07,1.44,-1.66,-1.08,-1.08,2,c
22-04-90,51:54.1,0.964,120.09,29.6,5.23,16,21,21,266,83,110,8.88,16.0,0.77,-0.83,1.69,-8.0,-3.31,-2.46,2,c
03-01-93,23:34.5,-1.562,119.699,25.0,5.67,160,83,19,68,72,173,3.93,17.0,-3.38,-1.0,1.51,0.13,-2.71,1.88,2,c
03-01-93,23:41.8,-1.17,120.08,48.4,5.7,68,72,173,160,83,19,3.93e+24,24.0,,,,,,,2,c
08-08-93,31:08.5,0.802,120.356,37.2,5.43,285,56,-18,25,75,-145,1.75,17.0,-0.68,-1.01,-0.44,0.01,1.04,1.13,2,c
19-05-95,29:58.5,-1.1,120.2,30.0,5.8,129,29,-58,274,65,-160,,,,,,,,,2,c
01-01-96,42:00.8,0.722,119.965,35.0,5.43,165,72,161,261,72,19,1.75,17.0,0.6,-0.76,0.04,-0.49,1.4,-0.65,2,c
03-01-96,23:43.7,0.66,119.88,26.7,5.5,53,57,-8,147,83,-147,1.95e+24,24.0,,,,,,,2,c
08-01-96,55:09.8,0.937,120.169,36.7,5.28,148,20,124,292,74,79,10.48,16.0,-2.97,2.37,6.08,-8.38,2.7,-3.11,2,c
06-02-96,58:57.9,0.945,120.162,21.6,5.7,257,77,95,55,14,69,4.41,17.0,0.0,-0.85,1.78,-3.86,-0.87,-1.77,2,c
07-02-96,57:19.9,1.05,120.158,14.9,6.02,257,76,94,61,14,75,1.32,18.0,0.07,-0.25,0.53,-1.13,-0.27,-0.61,2,c
03-04-96,26:39.7,1.072,120.373,29.9,5.44,58,22,66,264,70,100,1.8,17.0,0.32,-0.13,0.96,-1.34,-0.49,-1.28,2,c
16-07-96,07:41.6,0.86,120.26,0.0,6.0,63,14,71,262,76,95,,,,,,,,,2,c
16-07-96,07:42.4,1.27,120.35,21.0,6.5,63,14,71,262,76,95,8.4e+25,25.0,,,,,,,2,c
16-07-96,07:37.7,1.036,120.24,25.0,6.56,262,76,95,63,14,71,8.4,18.0,0.02,-0.89,3.7,-7.38,-1.23,-3.72,2,c
