% ini datanya
%  stike   dip   rake
   296   30   69
   223   67   -178
   211   42   98
   318   41   83
   68   16   64
   272   30   -7
   351   45   48
   165   72   161
   219   77   175
   233   56   141
   100   37   -165
   147   39   143
   24   35   17
   80   44   -141
   122   40   135
   39   70   173
   6   64   173
   111   53   -14
   129   72   5
   176   63   21
   126   74   -5
   24   81   178
   142   57   175
   166   56   147
   180   42   -155
   269   28   139
   225   27   143
   217   16   119
   30   40   88
   30   40   88
   250   62   -161
   36   82   -4
   110   52   -16
   221   78   178
   346   51   53
   166   53   -8
   8   43   79
   52   70   165
   186   44   -76
   351   58   -167
   141   46   -172
   293   85   0
   100   76   -2
   224   62   154
   61   69   2
   230   39   26
   105   41   -53
   161   37   88
   85   37   90
   166   85   -2
   55   29   113
   107   45   117
   318   69   169
   62   29   139
   12   57   3
   330   76   174
   79   45   81
   146   74   8
   175   33   -91
   15   44   179
   147   32   54
   323   39   90
   98   36   91
   301   45   53
   152   46   115
   304   44   55
   87   49   -8
   60   60   164
   342   45   70
   18   22   106
   115   32   -7
   7   36   84
   69   43   -109
   40   44   -129
   144   59   -3
   111   72   -167
   53   45   59
   88   22   96
   91   47   114
   109   57   -24
   268   69   -3
   181   29   130
   308   51   -25
   261   18   89
   228   11   142
   170   50   12
   9   20   49
   281   23   -84
   45   71   3
   318   41   83
   108   46   146
   49   73   -174
   150   49   46
   89   75   -170
   14   35   -5
   21   43   107
   175   44   121
   105   79   175
   134   80   8
   190   44   72
   82   76   4
   354   42   -100
   268   27   113
   69   66   16
   125   62   11
   167   45   -7
   8   68   175
   55   22   -29
   192   39   78
   95   32   -13
   158   40   37
   37   71   -178
   108   72   169
   110   48   -148
   109   57   -24
   102   33   148
   230   47   125
   178   52   51
   249   30   -134
   91   74   -175
   209   46   110
   119   29   121
   357   23   81
   36   43   21
   96   33   -74
   101   60   171
   109   59   -164
   56   60   8
   61   62   29
   229   41   -156
   212   82   -178
   68   72   173
   266   31   154
   39   73   -3
   47   24   38
   229   68   9
   313   65   27
   37   27   89
   234   40   70
   23   30   104
   45   37   -76
   124   8   -49
   318   47   -35
   199   50   -5
   199   50   -5
   91   74   -175
   345   41   121
   223   39   49
   86   33   74
   225   31   -134
   168   55   37
   331   28   78
