% ini datanya
%  stike   dip   rake
   85.0   83.0   -41.0
   263.0   82.0   90.0
   344.0   18.0   6.0
   278.0   79.0   99.0
   290.0   79.0   104.0
   290.0   74.0   125.0
   319.0   21.0   -56.0
   260.0   69.0   114.0
   16.0   21.0   21.0
   285.0   56.0   -18.0
   252.0   85.0   94.0
   36.0   6.0   54.0
   165.0   72.0   161.0
   53.0   57.0   -8.0
   148.0   20.0   124.0
   235.0   86.0   34.0
   257.0   77.0   95.0
   257.0   76.0   94.0
   58.0   22.0   66.0
   262.0   76.0   95.0
   63.0   14.0   71.0
   63.0   14.0   71.0
   264.0   77.0   96.0
   70.0   25.0   68.0
   70.0   25.0   68.0
   256.0   75.0   95.0
   57.0   16.0   71.0
   57.0   16.0   71.0
   40.0   21.0   50.0
   257.0   74.0   97.0
   52.0   17.0   66.0
   95.0   21.0   82.0
   267.0   88.0   93.0
   207.0   72.0   28.0
   15.0   87.0   -16.0
   49.0   19.0   56.0
   45.0   37.0   -76.0
   262.0   76.0   97.0
   100.0   37.0   -165.0
   84.0   71.0   -141.0
   281.0   75.0   83.0
   272.0   16.0   -59.0
   44.0   18.0   61.0
   116.0   68.0   -21.0
   351.0   45.0   -94.0
   262.0   68.0   92.0
   87.0   24.0   96.0
   87.0   24.0   96.0
   43.0   18.0   63.0
   330.0   37.0   37.0
   159.0   48.0   -176.0
   174.0   19.0   -143.0
   64.0   17.0   84.0
   63.0   36.0   79.0
   311.0   27.0   12.0
   60.0   60.0   164.0
   60.0   15.0   82.0
   47.0   19.0   77.0
   66.0   10.0   83.0
