date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
20-04-08,09:31.5,-7.81,125.75,16.6,4.9,107,45,117,199,88,45,3.19e+23,23.0,,,,,,,-1
18-10-09,21:59.6,-7.38,126.05,20.3,4.9,318,69,169,52,79,21,3.35e+23,23.0,,,,,,,-1
18-11-10,08:04.0,-5.93,122.05,11.0,4.9,62,29,139,188,72,67,,,,,,,,,-1
21-04-12,23:36.0,1.84,121.0,10.0,4.9,12,57,3,280,88,147,,,,,,,,,-1
14-10-12,42:23.0,4.61,125.02,22.3,4.9,330,76,174,61,85,14,2.93e+23,23.0,,,,,,,-1
09-11-12,07:50.6,-7.96,117.55,20.7,4.9,79,45,81,272,46,99,2.49e+23,23.0,,,,,,,-1
30-06-13,04:20.8,-0.64,119.8,28.2,4.9,330,38,-19,75,79,-126,2.78e+23,23.0,,,,,,,-1
06-08-13,45:05.1,-1.15,120.95,20.2,4.9,146,74,8,53,82,164,2.88e+23,23.0,,,,,,,-1
27-08-13,31:35.4,-3.28,123.33,15.2,4.9,175,33,-91,357,57,-89,2.41e+23,23.0,,,,,,,-1
02-10-13,53:01.9,-4.45,124.1,15.6,4.9,15,44,179,106,89,46,3.12e+23,23.0,,,,,,,-1
15-07-14,38:00.6,-0.17,120.02,39.7,4.9,147,32,54,8,65,110,3.23e+23,23.0,,,,,,,-1
05-06-16,38:30.1,-2.95,125.4,19.1,4.9,323,39,90,143,51,90,2.86e+23,23.0,,,,,,,-1
30-06-16,46:17.1,1.19,121.77,44.4,4.9,98,36,91,278,54,90,2.8e+23,23.0,,,,,,,-1
18-07-16,16:33.5,-2.4,126.28,22.9,4.9,301,45,53,168,55,121,3.23e+23,23.0,,,,,,,-1
16-10-16,23:21.1,-2.65,126.69,17.1,4.9,152,46,115,298,49,66,2.61e+23,23.0,,,,,,,-1
31-05-17,42:05.4,-1.01,120.69,17.9,4.9,130,65,2,39,88,154,3.13e+23,23.0,,,,,,,-1
27-02-18,20:44.3,-2.65,126.85,14.4,4.9,304,44,55,168,55,119,3.28e+23,23.0,,,,,,,-1
21-09-18,20:33.3,-0.78,119.67,30.2,4.9,7,34,56,226,62,111,2.52e+23,23.0,,,,,,,-1
14-11-18,31:25.9,-2.79,119.58,12.7,4.9,87,49,-8,182,84,-139,3.21e+23,23.0,,,,,,,-1
13-03-19,51:18.0,0.12,119.67,22.5,4.9,60,60,164,158,76,31,2.43e+23,23.0,,,,,,,-1
12-04-19,15:08.8,-1.63,122.65,19.3,4.9,342,45,70,189,49,109,2.47e+23,23.0,,,,,,,-1
13-04-20,44:26.3,3.87,125.29,24.4,4.9,18,22,106,182,69,84,3.32e+23,23.0,,,,,,,-1
15-06-20,36:32.9,-2.68,122.16,12.0,4.9,115,32,-7,210,86,-121,3.24e+23,23.0,,,,,,,-1
13-09-20,00:01.4,-1.92,119.27,31.1,4.9,7,36,84,194,54,95,3.15e+23,23.0,,,,,,,-1
04-02-21,58:05.9,-2.59,122.51,29.2,4.9,69,43,-109,275,50,-73,2.48e+23,23.0,,,,,,,-1
14-01-22,43:27.3,-7.74,118.72,12.0,4.9,40,44,-129,268,57,-59,2.69e+23,23.0,,,,,,,-1
22-05-14,40:00.6,-4.314,122.858,15.0,4.96,144,59,-3,236,87,-149,3.52,16.0,-2.4,0.13,-1.23,2,-0.7,3.62,-1
09-08-17,30:18.1,-7.634,121.899,20.9,4.96,111,72,-167,17,78,-19,3.5,16.0,2.47,-0.69,-0.86,-0.72,-2.6,-1.61,-1
18-09-18,25:29.9,-7.447,125.79,17.7,4.97,53,45,59,273,53,117,3.63,16.0,-0.09,1.18,3.21,-0.83,-1.07,-3.11,-1
11-11-09,01:15.1,-7.998,118.877,17.6,4.98,88,22,96,262,68,88,3.74,16.0,0.21,-0.41,2.49,-2.64,-0.27,-2.71,-1
07-07-16,55:55.2,-7.932,126.766,25.6,4.99,91,47,114,239,48,67,3.86,16.0,0.03,-1.07,3.54,0.22,-1.03,-3.58,-1
13-09-95,15:58.7,0.46,123.61,33.0,5.0,109,57,-24,212,70,-145,4.62e+23,23.0,,,,,,,-1
24-07-98,51:50.1,1.8,120.99,38.3,5.0,268,69,-3,359,87,-159,4.41e+23,23.0,,,,,,,-1
02-08-98,11:26.7,-2.9,125.4,8.0,5.0,181,29,130,317,68,71,,,,,,,,,-1
12-03-99,31:19.7,-4.5,123.4,45.0,5.0,308,51,-25,53,71,-139,,,,,,,,,-1
26-08-00,55:36.3,-5.3,122.84,33.0,5.0,261,18,89,82,72,90,,,,,,,,,-1
01-07-01,40:57.5,-3.9,123.39,33.0,5.0,228,11,142,355,83,82,,,,,,,,,-1
30-11-01,22:05.7,-1.0,119.0,33.0,5.0,170,50,12,72,81,140,,,,,,,,,-1
30-05-02,45:12.8,-0.92,119.39,21.0,5.0,9,20,49,232,75,104,,,,,,,,,-1
05-11-03,02:46.5,-2.88,121.27,33.0,5.0,281,23,-84,95,67,-93,4.26e+23,23.0,,,,,,,-1
30-06-04,37:25.3,0.81,124.65,33.0,5.0,45,71,3,315,88,161,,,,,,,,,-1
08-08-04,40:30.0,4.8,120.43,25.0,5.0,318,41,83,147,49,96,3.87e+23,23.0,,,,,,,-1
12-11-04,59:51.8,-7.99,124.77,23.6,5.0,108,46,146,223,6,49,4.71e+23,23.0,,,,,,,-1
21-12-04,01:24.0,-6.6,124.8,33.0,5.0,49,73,-174,317,84,-17,,,,,,,,,-1
05-02-05,38:02.5,-0.2,123.9,14.9,5.0,150,49,46,26,57,129,,,,,,,,,-1
03-01-06,00:17.3,-0.24,119.94,12.0,5.0,89,75,-170,356,80,-15,4.02e+23,23.0,,,,,,,-1
07-02-06,56:04.3,-0.64,124.05,13.9,5.0,14,35,-5,108,87,-125,3.42e+23,23.0,,,,,,,-1
23-07-06,45:22.0,-0.41,123.23,45.0,5.0,21,43,107,179,49,75,,,,,,,,,-1
21-08-06,28:36.0,-2.86,126.21,21.0,5.0,175,44,121,314,53,63,,,,,,,,,-1
30-04-08,02:13.2,-7.98,121.8,21.2,5.0,105,79,175,196,85,11,3.51e+23,23.0,,,,,,,-1
18-05-08,25:42.6,4.66,118.28,12.0,5.0,134,80,8,42,82,170,4.2e+23,23.0,,,,,,,-1
11-11-10,34:06.0,1.54,125.5,30.0,5.0,190,44,72,35,49,107,,,,,,,,,-1
18-11-10,05:38.1,-4.76,126.56,19.0,5.0,82,76,4,351,86,166,3.77e+23,23.0,,,,,,,-1
23-11-11,05:57.3,1.4,121.57,20.5,5.0,354,42,-100,187,48,-81,4.06e+23,23.0,,,,,,,-1
05-10-12,44:04.7,-0.16,123.72,10.0,5.0,268,27,113,62,66,79,,,,,,,,,-1
28-11-14,42:06.7,2.4,121.55,43.5,5.0,69,66,16,332,75,155,3.49e+23,23.0,,,,,,,-1
03-12-14,33:20.9,-2.8,122.56,27.4,5.0,125,62,11,30,80,152,3.44e+23,23.0,,,,,,,-1
12-09-15,39:17.1,-0.66,122.25,17.6,5.0,167,45,-7,262,85,-135,4.28e+23,23.0,,,,,,,-1
08-11-18,40:15.2,-2.81,119.52,12.0,5.0,8,68,175,99,86,22,4.01e+23,23.0,,,,,,,-1
15-11-18,55:03.4,-2.99,119.33,15.0,5.0,55,22,-29,171,80,-110,4.07e+23,23.0,,,,,,,-1
18-10-19,18:43.3,4.85,125.12,32.3,5.0,192,39,78,27,52,99,3.45e+23,23.0,,,,,,,-1
03-01-21,14:00.4,-2.66,122.25,13.2,5.0,95,32,-13,196,83,-122,3.8e+23,23.0,,,,,,,-1
08-11-21,06:01.9,-0.72,123.62,36.2,5.0,158,40,37,38,67,124,4.57e+23,23.0,,,,,,,-1
05-07-22,27:12.7,0.92,126.93,25.3,5.0,143,86,-1,233,89,-176,4.49e+23,23.0,,,,,,,-1
29-07-22,31:18.2,-2.35,122.69,12.0,5.0,37,71,-178,307,88,-19,4.58e+23,23.0,,,,,,,-1
03-11-10,11:31.6,-7.613,126.494,20.0,5.01,108,72,169,202,80,19,4.14,16.0,2.3,-1.46,0.38,0.22,-2.94,-2.68,-1
01-07-11,38:46.1,0.972,121.779,27.0,5.02,110,48,-148,357,67,-47,4.23,16.0,1.88,-2.24,-2.23,-1.11,-2.71,0.35,-1
13-09-95,16:05.3,0.451,123.473,47.5,5.04,109,57,-24,212,70,-145,4.62,16.0,-1.85,1.59,-2.29,0.51,2.63,4.15,-1
19-04-08,50:46.4,-7.917,125.71,17.3,5.04,102,33,148,220,73,61,4.49,16.0,0.87,-2.55,2.05,-1.91,-1.93,-2.93,-1
21-08-08,30:46.2,-0.338,119.63,35.0,5.04,230,47,125,4,53,58,4.59,16.0,-3.46,1.15,3.77,-1.41,-2.16,-0.32,-1
30-06-06,49:00.7,-0.448,123.31,36.2,5.05,178,52,51,51,52,129,4.76,16.0,-3.46,-1.09,3.73,2.43,-1.82,-0.27,-1
