#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
120.486 -1.909 35.0 0.0596545 1.67428 -1.73394 0.339797 0.285448 0.726069 25.0 X Y 0 SS
120.653 -0.808 35.0 -3.56715 -2.85986 6.42701 3.80046 -0.127369 -2.62985 24.0 X Y 1 N-SS
120.24 -2.17 10.6 -0.721763 1.79527 -1.07351 -1.04243 -1.2148 0.03588 24.0 X Y 2 N-SS
119.38 -1.32 43.9 -0.108813 4.45703 -4.34822 0.263987 -1.13226 8.9026 25.0 X Y 3 SS
119.5 -1.6 31.0 0.402822 3.34117 -3.744 1.16018 -1.39149 -3.9584 23.0 X Y 4 SS
119.699 -1.562 25.0 0.317188 2.39224 -2.70942 0.871173 -1.03674 -2.79323 24.0 X Y 5 SS
120.08 -1.17 48.4 0.319973 2.65399 -2.97396 0.921562 -1.1053 -3.14427 24.0 X Y 6 SS
120.2 -1.1 30.0 -4.53775 4.32617 0.211581 4.04395 0.488205 -1.88227 24.0 X Y 7 N
120.33 -1.95 42.1 -1.35769 1.56998 -0.212291 -0.120445 -0.556121 0.107191 24.0 X Y 8 N
120.1 -0.8 28.0 1.13377 0.155399 -1.28917 -1.5134 -0.737546 -0.831716 24.0 X Y 9 R-SS
119.8 -0.3 33.0 0.765788 0.0183089 -0.784097 -0.782168 -0.323098 -0.517616 25.0 X Y 10 R-SS
119.95 -0.49 20.0 -3.36648 0.129553 3.23693 -2.15391 -3.08931 -5.00217 22.0 X Y 11 N-SS
120.25 -0.62 27.2 -0.753661 0.0290032 0.724658 -0.4822 -0.691611 -1.11985 24.0 X Y 12 N-SS
121.12 -1.09 33.0 3.49436 -0.635184 -2.85917 -0.125395 0.503816 -1.38754 22.0 X Y 13 R
119.901 -1.161 38.3 1.51786 1.85404 -3.3719 4.63659 0.545788 -4.96011 23.0 X Y 14 SS-R
120.51 -1.34 38.3 1.62641 1.98664 -3.61305 4.96819 0.584822 -5.31486 23.0 X Y 15 SS-R
120.215 -1.776 23.0 0.324959 4.05538 -4.38034 -1.72599 1.16398 0.428705 23.0 X Y 16 SS-R
119.41 -1.11 35.0 -0.351429 0.0599926 0.291437 -0.0899783 -1.09061 -0.831699 23.0 X Y 17 N-SS
119.39 -0.92 21.0 1.93129 -0.323305 -1.60798 -2.78414 -1.88935 -1.14797 23.0 X Y 18 R
119.61 -1.545 35.8 4.42433 -0.740649 -3.68368 -6.3781 -4.32824 -2.62986 23.0 X Y 19 R
120.45 -0.95 15.0 -1.03256 1.02958 0.00298305 -0.415141 0.120626 -0.0944352 24.0 X Y 20 N
120.191 -1.485 15.0 -1.06885 1.06576 0.00308789 -0.429729 0.124865 -0.0977539 24.0 X Y 21 N
