% ini datanya
%  stike   dip   rake
   34   72   104
   24   73   85
   202   23   90
   17   62   72
   21   71   75
   34   60   83
   31   64   82
   10   61   39
   11   74   77
   28   61   82
   224   30   103
   202   28   78
   31   65   79
   270   56   -129
   235   18   123
   208   19   80
   34   63   78
   278   29   113
   96   54   20
   14   32   99
   19   73   68
   248   36   125
   256   39   138
   351   32   73
   16   81   68
   147   32   112
   24   71   65
   22   72   56
   246   30   119
   255   26   86
   81   63   110
   223   33   56
   213   26   54
   238   34   82
   244   33   119
   36   65   75
   249   35   116
   244   32   58
   267   28   90
   244   32   58
   267   28   90
   86   80   101
   227   29   87
   236   29   108
   33   61   77
   227   36   90
   90   60   28
   242   29   113
   248   33   117
   33   64   68
   264   37   141
   252   45   121
   250   33   122
   28   66   66
   32   65   72
   237   35   116
   27   41   129
   33   63   71
   250   33   123
   247   32   116
   195   13   14
   220   32   92
   255   33   123
   241   32   107
   239   33   108
   247   32   119
   257   49   148
