date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
27-04-90,42:34.5,2.12,123.97,33.0,5.3,58,17,57,272,76,99,1.31e+24,24.0,,,,,,,-1
09-05-90,46:42.8,-2.84,119.57,15.0,5.2,264,55,-15,3,78,-144,8.21e+23,23.0,,,,,,,-1
21-05-91,00:21.8,-7.469,126.516,25.0,6.57,283,59,106,74,34,65,8.7,18.0,1.61,1.71,6.83,-3.68,-0.07,-8.45,-1
04-07-91,08:37.8,-7.76,124.74,44.3,5.6,62,29,89,244,61,91,3.53e+24,24.0,,,,,,,-1
18-07-91,54:56.7,-7.61,122.4,43.7,5.8,14,83,-1,104,89,-173,5.39e+24,24.0,,,,,,,-1
23-12-91,57:39.1,-3.42,126.81,33.0,5.1,212,82,-178,122,88,-8,6.19e+23,23.0,,,,,,,-1
28-01-93,51:48.7,-3.22,126.65,15.0,5.2,72,61,-3,164,87,-151,9.05e+23,23.0,,,,,,,-1
28-01-93,51:54.0,-3.088,126.732,17.3,5.24,72,61,-3,164,87,-151,9.05,16.0,4.84,4.13,-0.65,-1.43,6.49,-4.19,-1
08-04-93,49:35.3,-4.06,120.72,43.5,5.3,203,43,91,22,47,89,1.23e+24,24.0,,,,,,,-1
08-04-93,49:26.3,-4.4,120.1,25.0,5.5,203,43,91,22,47,89,,,,,,,,,-1
30-05-93,33:58.4,-1.0,124.3,34.0,5.8,309,10,127,91,82,84,,,,,,,,,-1
07-12-93,27:22.5,0.5,122.7,46.0,5.3,274,24,-138,144,74,-71,,,,,,,,,-1
09-12-93,38:35.4,1.2,125.0,36.0,6.3,35,11,122,183,81,84,,,,,,,,,-1
19-05-94,41:47.7,-7.71,124.88,33.0,5.3,41,37,56,261,60,113,1.09e+24,23.0,,,,,,,-1
26-09-94,31:27.1,-2.56,126.9,42.5,5.4,42,41,-6,136,86,-131,1.52e+24,24.0,,,,,,,-1
07-12-94,08:33.0,-2.97,119.81,33.0,5.3,216,68,177,308,87,22,1.13e+24,24.0,,,,,,,-1
08-12-94,30:27.4,2.0,120.8,39.0,5.1,39,73,-3,130,88,-163,,,,,,,,,-1
08-12-94,30:27.6,1.965,120.858,30.0,5.65,130,88,-163,39,73,-3,3.62,17.0,3.52,0.63,-0.27,-0.86,-0.69,-3.26,-1
01-05-95,29:37.5,-1.6,121.1,50.0,5.2,142,74,16,47,74,163,,,,,,,,,-1
01-05-95,29:44.1,-0.25,121.0,43.2,5.2,142,74,16,47,74,163,7.02e+23,23.0,,,,,,,-1
12-06-95,16:38.5,-2.7,121.3,30.0,4.8,24,81,178,114,88,9,,,,,,,,,-1
12-06-95,16:48.5,-1.89,121.93,49.0,5.2,24,81,178,114,88,9,8.9e+23,23.0,,,,,,,-1
12-06-95,16:46.4,-2.369,121.183,35.0,5.23,24,81,178,114,88,9,8.9,16.0,-6.54,-0.23,-0.04,1.46,5.82,6.59,-1
25-07-95,32:53.1,-1.99,125.48,33.0,5.3,280,70,-5,11,85,-160,1.3e+24,24.0,,,,,,,-1
13-09-95,15:58.7,0.46,123.61,33.0,5.0,109,57,-24,212,70,-145,4.62e+23,23.0,,,,,,,-1
13-09-95,16:05.3,0.451,123.473,47.5,5.04,109,57,-24,212,70,-145,4.62,16.0,-1.85,1.59,-2.29,0.51,2.63,4.15,-1
01-01-96,41:58.5,1.0,119.3,33.0,4.7,165,72,161,261,72,19,,,,,,,,,-1
07-03-96,32:49.5,-2.006,124.734,35.2,5.44,297,62,3,205,87,152,1.82,17.0,-1.21,-0.68,-0.06,-0.56,1.02,1.27,-1
31-03-96,35:11.7,-3.913,127.039,36.2,5.25,279,33,101,87,58,83,9.49,16.0,1.66,0.59,7.67,4.14,0.48,-9.33,-1
12-08-96,44:52.3,1.79,120.97,33.0,5.1,47,24,38,281,75,110,5.2e+23,23.0,,,,,,,-1
01-11-96,44:57.9,0.8,119.2,31.0,4.8,142,57,175,235,86,34,,,,,,,,,-1
03-03-97,06:40.1,-7.978,117.58,28.5,5.1,229,68,9,136,82,158,5.61,16.0,4.66,-1.61,1.06,1.04,0.54,-5.72,-1
14-08-97,47:38.4,-0.9,121.7,36.0,5.2,322,86,2,231,88,176,,,,,,,,,-1
30-08-97,02:53.3,-1.13,124.4,35.3,5.1,313,65,27,211,65,152,5.72e+23,23.0,,,,,,,-1
28-09-97,38:28.8,-3.9,119.7,33.0,6.0,13,40,110,167,53,74,,,,,,,,,-1
18-10-97,40:06.2,-1.19,124.61,34.5,5.5,206,81,175,297,85,9,2.33e+24,24.0,,,,,,,-1
03-12-97,42:02.9,-2.24,125.56,31.5,5.3,109,66,22,9,70,154,9.6e+23,23.0,,,,,,,-1
24-07-98,51:50.1,1.8,120.99,38.3,5.0,268,69,-3,359,87,-159,4.41e+23,23.0,,,,,,,-1
31-07-98,17:33.3,-6.1,124.06,46.0,5.1,37,27,89,217,63,90,5.3e+23,23.0,,,,,,,-1
02-08-98,11:26.7,-2.9,125.4,8.0,5.0,181,29,130,317,68,71,,,,,,,,,-1
02-08-98,13:06.4,-2.761,126.23,30.0,5.22,181,29,130,317,68,71,8.59,16.0,-5.61,3.53,5.7,-4.92,2.3,-0.09,-1
23-08-98,32:57.1,4.85,124.5,36.8,5.3,201,33,129,336,65,67,1.3e+24,24.0,,,,,,,-1
10-10-98,32:29.4,0.32,120.55,30.3,6.0,355,31,35,235,73,116,1.2e+25,24.0,,,,,,,-1
27-10-98,38:53.4,-3.493,123.154,25.0,5.61,222,53,-102,62,39,-74,3.17,17.0,0.78,0.73,-2.59,0.41,2.16,1.8,-1
26-12-98,39:08.8,-1.274,123.713,25.0,5.92,332,86,5,242,85,176,9.37,17.0,-8.15,0.38,0.85,-0.81,-5.22,7.3,-1
01-03-99,51:02.7,-2.79,126.5,15.0,5.7,149,41,142,270,66,56,4e+24,24.0,,,,,,,-1
12-03-99,31:19.7,-4.5,123.4,45.0,5.0,308,51,-25,53,71,-139,,,,,,,,,-1
13-05-99,54:42.5,-0.381,121.496,42.0,5.44,93,58,-31,201,64,-144,1.84,17.0,-0.15,0.87,-0.84,-0.38,1.28,1,-1
12-08-99,45:00.4,-1.715,122.578,25.0,6.13,216,86,-170,126,80,-4,1.95,18.0,-1.98,0.44,0.32,0.04,0.58,1.66,-1
13-08-99,12:21.6,-1.761,122.606,24.2,5.53,145,74,21,49,70,163,2.4,17.0,-2.01,-0.22,-0.01,1.31,-0.49,2.02,-1
25-11-99,00:04.5,-0.6,121.1,0.0,5.7,265,43,-93,89,47,-87,,,,,,,,,-1
23-01-00,02:55.0,-7.03,122.83,33.0,5.1,234,40,70,80,53,106,,,,,,,,,-1
23-01-00,03:06.9,-7.7,121.28,41.1,5.6,234,40,70,80,53,106,2.71e+24,24.0,,,,,,,-1
23-01-00,08:23.9,-7.931,120.736,25.0,5.74,88,50,118,228,48,61,4.99,17.0,-0.56,-1.82,4.54,0.9,-1.66,-3.97,-1
19-02-00,02:12.5,-0.27,120.76,33.0,5.1,45,37,-76,208,55,-100,,,,,,,,,-1
21-02-00,51:24.0,4.64,124.71,28.0,5.2,203,58,-168,107,80,-33,6.84e+23,23.0,,,,,,,-1
05-05-00,24:24.4,-1.54,123.1,33.0,4.7,219,77,175,310,85,13,,,,,,,,,-1
05-05-00,24:27.9,-1.212,123.376,30.0,5.69,310,85,13,219,77,175,4.24,17.0,-3.72,0.18,-0.61,-1.19,0.72,4.34,-1
07-05-00,33:28.8,-2.668,121.879,38.0,5.19,213,70,-158,115,70,-22,7.64,16.0,-4.86,3.4,-1.62,-0.87,3.48,6.47,-1
07-05-00,21:15.8,-2.608,122.471,45.0,5.54,15,85,166,106,76,5,2.55,17.0,-1.44,0.52,0.32,0.27,2.11,1.13,-1
14-05-00,47:43.9,-1.437,123.409,30.0,5.55,336,58,48,215,51,137,2.61,17.0,-2.78,0.4,1.73,-0.87,-0.33,1.05,-1
14-05-00,08:34.0,-4.34,123.197,20.0,6.24,16,64,70,235,32,125,2.85,18.0,-1.65,1.58,1.92,0.26,-1.59,-0.26,-1
16-05-00,16:16.5,-1.41,123.57,21.0,4.3,223,67,-178,132,88,-23,,,,,,,,,-1
16-06-00,08:29.8,1.3,118.31,21.0,4.4,68,16,64,275,75,97,,,,,,,,,-1
16-06-00,08:30.8,1.065,118.392,17.8,5.41,68,16,64,275,75,97,1.65,17.0,-0.31,0.24,0.97,-1.42,-0.16,-0.65,-1
03-08-00,53:19.6,0.29,121.53,33.0,5.5,5,63,-19,104,73,-152,,,,,,,,,-1
20-08-00,38:30.0,-1.373,123.312,15.0,5.51,218,80,153,313,64,12,2.29,17.0,-2.07,-0.5,0.23,-1.01,0.35,1.84,-1
26-08-00,55:36.3,-5.3,122.84,33.0,5.0,261,18,89,82,72,90,,,,,,,,,-1
