date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
2010-05-16,08:40:21.000,-1.23,120.01,13.65,3.9,147,83,24,54,66,173,0,B,0,0,0,0,0,0
2010-05-17,16:19:06.000,-1.23,119.97,12.41,3.9,228,46,138,350,61,52,0,B,0,0,0,0,0,0
2010-01-08,08:15:26.000,-0.62,119.94,14.01,5.13,179,58,-3,270,88,-148,0,C,0,0,0,0,0,0
2016-07-12,01:37:15.000,-0.98,119.96,6.48,3.83,292,36,78,126,55,98,0,D,0,0,0,0,0,0
2010-10-08,17:57:47.000,-1.28,119.96,8.91,3.98,133,34,-92,315,56,-89,0,D,0,0,0,0,0,0
2011-07-24,05:26:29.000,-1.44,119.93,9.07,3.98,171,62,44,56,52,144,0,C,0,0,0,0,0,0
2010-07-25,06:22:43.000,-1.29,120.03,9.96,3.98,55,82,58,313,33,166,0,D,0,0,0,0,0,0
2015-12-08,18:18:51.000,-1.53,120.09,6.73,3.9,259,80,-167,167,77,-10,0,C,0,0,0,0,0,0
2015-12-10,05:13:47.000,-1.56,120.1,8.28,3.83,55,33,-59,200,62,-108,0,D,0,0,0,0,0,0
2016-02-22,06:08:35.000,-1.55,120.08,5.73,3.9,175,46,45,50,60,126,0,C,0,0,0,0,0,0
2010-05-14,04:44:20.000,-1.26,120.03,6.97,3.83,61,45,-176,328,87,-45,0,B,0,0,0,0,0,0
2010-10-31,09:21:33.000,-1.33,120.07,8.53,3.98,109,74,117,222,31,33,0,C,0,0,0,0,0,0
2010-07-30,14:26:28.000,-0.35,119.95,6.2,4.12,113,81,166,206,76,9,0,B,0,0,0,0,0,0
2010-03-18,16:16:15.000,-1.64,120.6,14.18,4.73,202,76,170,295,80,15,0,B,0,0,0,0,0,0
2010-03-26,09:12:49.000,-1.34,120.31,8.14,4.63,44,80,-169,312,80,-11,0,A,0,0,0,0,0,0
2010-07-24,23:51:12.000,-1.43,120.63,45.35,5.23,328,60,-7,62,84,-150,0,C,0,0,0,0,0,0
2010-12-22,12:40:42.000,-1.22,120.23,8.23,4.22,348,90,-42,78,42,-180,0,D,0,0,0,0,0,0
2011-05-23,06:50:43.000,-1.46,120.34,9.95,4.83,302,53,-75,98,40,-108,0,B,0,0,0,0,0,0
2016-02-29,14:10:54.000,-1.42,120.42,13.71,4.63,251,89,138,341,48,1,0,B,0,0,0,0,0,0
2017-07-19,14:56:16.000,-0.37,119.94,36.67,4.12,181,67,-1,271,89,-157,0,B,0,0,0,0,0,0
2017-10-06,09:23:41.000,-0.47,119.87,10.93,4.93,159,55,-24,263,71,-143,0,B,0,0,0,0,0,0
2018-01-17,04:25:51.000,-0.46,119.86,8.32,4.33,101,34,-93,284,56,-88,0,B,0,0,0,0,0,0
2018-03-01,06:11:10.000,-0.15,119.79,30.31,4.43,51,71,56,296,38,149,0,A,0,0,0,0,0,0
2018-09-28,09:11:14.000,-0.38,119.87,9.31,4.63,161,83,42,65,49,171,0,D,0,0,0,0,0,0
2010-07-25,05:26:27.000,-1.32,120.52,25.43,4.12,335,50,-73,130,43,-109,0,D,0,0,0,0,0,0
2010-07-25,13:04:49.000,-1.3,120.49,38.49,4.43,299,54,-15,38,78,-143,0,C,0,0,0,0,0,0
2010-08-20,07:37:13.000,-1.36,120.44,11.78,4.22,337,81,-170,246,80,-9,0,B,0,0,0,0,0,0
2010-08-20,07:52:56.000,-1.33,120.5,7.3,4.63,61,30,87,245,60,92,0,C,0,0,0,0,0,0
2011-12-27,10:33:40.000,-1.5,120.48,31.94,4.93,205,62,-172,111,83,-28,0,B,0,0,0,0,0,0
2012-01-09,05:13:53.000,-1.5,120.48,8.52,4.83,238,79,165,331,75,12,0,B,0,0,0,0,0,0
2016-12-21,22:32:45.000,-1.02,120.19,8.24,4.12,31,39,-101,225,52,-81,0,C,0,0,0,0,0,0
