tau11,tau12,tau13,tau22,tau23,tau33,azimuth sigma 1,plunge sigma 1,azimuth sigma 2,plunge sigma 2,azimuth sigma 3,plunge sigma 3,shape ratio,friction,SHmax,principal strike 1,principal dip 1,principal rake 1,principal strike 2,principal dip 2,principal rake 2
-0.04007974853666549,0.6249434184785005,0.4273122894031543,0.1304443652652378,-0.44330037423476265,-0.09036461672857327,137.6608515552662,34.03767854941856,331.193456238791,55.21019440871547,231.9731846063566,6.352057932049902,0.783779756283592,0.8499999999999999,48.88449565116297,162.4615207260564,82.26909140283665,-34.02599911175619,300.37129660614505,70.40555491089214,-150.66063225750958
-0.0743308534257908,0.6048999381258369,0.44229719066614104,0.17161331626242946,-0.44359526016740425,-0.09728246283663759,139.23124917962372,34.68172867167821,335.74458000898215,54.18089051348039,234.71428117629617,7.862092716184108,0.7913428218798226,0.9499999999999998,50.74562501820676,163.64986631273456,84.3311738526376,-35.427096346922,304.54805328158255,69.50233919695759,-149.96018905216022
-0.08295622285091366,0.6232571769115703,0.425712493256525,0.1502112391260078,-0.4415285533284704,-0.06725501627509323,138.77210303383507,33.234246624161074,336.82965292032065,55.42613365538454,234.36529448120308,8.460566130783533,0.7880574262819607,0.9499999999999998,50.297527273967354,163.60257308003446,85.35331091438445,-34.298753815848116,303.8309541243036,69.42679498236758,-151.58034571736184
-0.03593103668962917,0.6036941862955613,0.4350786776959532,0.14276188051253114,-0.4575434945009142,-0.10683084382290121,137.69954959857492,35.185821400227674,333.82046717699967,53.72465200956899,233.18144121958724,7.716311703232748,0.7941193446648943,0.7999999999999999,49.209318391422535,163.99764507300404,82.61130543449029,-35.61650174827508,300.8821458992621,68.24534868789189,-150.22734363252016
-0.08658747964118553,0.6121805517886003,0.4256123620178399,0.18710780205824978,-0.45276979003343615,-0.10052032241706461,139.2526467196359,34.49050921406628,339.99759855427425,53.69645574706751,236.17761197388865,9.95358564166952,0.7720893681353289,0.8499999999999999,51.30040447715133,166.3322463940299,85.36574299954437,-36.046960711042715,304.23037861234207,66.76088548116121,-151.28853750785555
0.0014832175243815575,0.5915162656819778,0.4497723973763367,0.12787392857427576,-0.4558325115618726,-0.12935714609865542,137.0763159853786,36.3099553760612,327.21596742728235,53.25867102537504,230.6646272612881,4.868175180591578,0.8041532335396625,0.8499999999999999,48.0490663873268,160.70280562866122,80.12378778801902,-35.570693137682966,299.74733766823346,70.99974354984478,-147.9429107736524
-0.07968178481899807,0.5883758700723316,0.4662654307682201,0.1993211357974548,-0.4300749232510527,-0.11963935097845672,140.4756576671162,35.73238267794269,332.9589969299576,53.6153473510222,234.7936552430083,5.974539348765859,0.7968828350153969,0.8499999999999999,51.66914761485764,164.8945868909081,81.33538962926406,-35.47717798123935,303.6185352402144,70.14761670587602,-148.86145855180422
-0.08038196245568863,0.6161931118633038,0.4280992562247704,0.16555715144509567,-0.44702157671806264,-0.08517518898940682,138.92915879809732,33.973106117813266,337.77648166394283,54.54908313476676,235.01336585817734,8.9391435279381,0.7829228167680965,0.8999999999999999,50.64293703569716,164.69058147889226,85.10106410039715,-35.15479125198237,303.85121738379667,68.32832411507142,-151.23169447755004
-0.004247595171877211,0.5834667675597235,0.45183382004350264,0.12917145454273393,-0.4615525154902586,-0.12492385937085616,137.14470483658312,36.399588218779726,329.23097233119245,52.98497406641262,231.45686464141968,5.823304684902709,0.8135832702667828,0.7999999999999999,48.26123895660264,162.1004869577161,80.46716572896545,-35.9374359043653,299.68317221462,69.60397927434694,-148.41735424038856
-0.08077339580600752,0.5861181725011256,0.4535098062180206,0.18432654864604084,-0.4492747430850949,-0.1035531528400317,139.70082822455697,35.37415284900651,338.0566334453382,53.20184260792837,236.04601888414365,8.847821762407293,0.803648346671233,0.8999999999999999,51.37151126743076,165.38752803036286,84.54762639742613,-36.448607185835264,305.2026984649811,67.9119937866458,-149.78859903628023
