% ini datanya			
%	strike	dip	rake
	12	66	100
	34	72	104
	201	62	68
	83	18	123
	134	34	42
	197	58	85
	107	12	116
	97	83	-175
	212	59	60
	359	24	-36
	24	73	85
	192	70	-86
	202	23	90
	214	60	106
	177	63	91
	358	75	104
	182	74	114
	22	62	124
	206	53	119
	279	62	-44
	295	71	52
	110	14	41
	334	63	58
	3	57	57
	107	17	57
	321	76	99
	35	33	84
	127	69	37
	229	81	114
	339	26	22
	6	46	92
	356	28	76
	38	44	131
	194	72	81
	46	58	115
	24	76	83
	216	58	103
	192	35	120
	12	47	88
	229	66	118
	209	50	89
	35	80	-94
	94	84	-80
	29	79	-89
	334	61	115
	342	38	95
	201	53	111
	339	43	111
	188	80	85
	26	71	123
	275	85	-18
	220	53	118
	230	72	135
	20	43	55
	34	51	91
	215	57	98
	176	32	90
	127	21	30
	354	46	64
	331	39	87
	230	24	118
	17	62	72
	232	33	121
	21	71	75
	240	24	126
	34	60	83
	229	28	106
	31	64	82
	17	54	113
	3	60	89
	234	69	-46
	10	61	39
	10	42	82
	200	48	97
	200	42	109
	210	32	2
	318	75	68
	34	45	116
	34	45	116
	244	65	115
	231	66	100
	43	56	121
	182	88	106
	23	47	72
	4	19	54
	16	39	66
	345	58	63
	161	82	84
	11	74	77
	222	46	101
	232	47	134
	163	22	56
	355	17	85
	355	17	85
	323	27	69
	315	80	57
	222	32	97
	334	72	4
	24	59	121
	206	59	110
	47	55	140
	207	33	111
	195	51	177
	213	20	102
	157	68	-14
	1	53	53
	355	49	63
	295	88	85
	32	36	92
	223	52	114
	11	41	-87
	28	32	102
	7	25	133
	350	14	106
	1	39	52
	197	6	121
	85	78	96
	223	23	98
	43	30	136
	205	80	81
	343	13	-126
	180	28	76
	28	61	82
	224	30	103
	51	44	82
	35	11	122
	183	81	84
	173	80	79
	181	64	103
	209	57	102
	334	44	-85
	334	44	-85
	206	78	-83
	356	13	-119
	213	69	132
	34	36	74
	34	36	74
	180	38	12
	66	46	115
	66	46	115
	330	57	31
	153	63	83
	207	17	136
	26	54	96
	196	37	82
	151	41	54
	218	48	114
	14	48	116
	18	26	139
	349	59	82
	202	28	78
	17	69	92
	206	74	101
	354	24	43
	221	65	95
	30	26	80
	200	36	109
	357	56	77
	31	65	79
	270	56	-129
	145	50	-47
	59	32	111
	24	49	88
	235	18	123
	213	40	106
	213	40	106
	187	34	41
	187	34	41
	278	18	-128
	208	19	80
	29	73	82
	23	35	89
	205	55	91
	294	62	169
	297	85	9
	32	26	122
	81	18	44
	251	69	166
	244	21	105
	215	19	100
	34	63	78
	307	37	73
	313	30	74
	148	84	13
	48	69	-165
	327	54	16
	59	25	90
	239	65	90
	201	37	77
	78	28	168
	183	65	22
	78	28	168
	126	87	88
	165	66	47
	190	37	67
	185	29	67
	31	27	89
	177	28	74
	149	19	28
	298	23	45
	259	34	82
	22	39	-1
	76	51	152
	248	55	135
	231	29	141
	189	53	85
	87	8	-169
	18	77	-93
	23	30	104
	23	30	104
	23	30	104
	21	42	90
	295	22	3
	193	28	68
	193	28	68
	4	28	31
	165	20	66
	10	71	98
	197	42	78
	65	59	127
	50	55	131
	211	42	98
	225	29	90
	68	30	171
	269	28	139
	197	34	67
	44	60	105
	28	63	91
	349	80	-11
	43	60	157
	174	49	56
	175	24	51
	4	45	77
	202	46	103
	4	45	77
	346	46	41
	313	11	-177
	278	29	113
	177	72	59
	357	37	37
	202	59	75
	177	27	59
	35	36	121
	222	30	-21
	168	84	-72
	228	23	108
	175	20	79
	14	34	109
	180	21	102
	175	8	90
	184	11	66
	184	11	66
	170	34	24
	170	34	24
	170	34	24
	196	36	44
	20	43	90
	16	31	83
	353	48	50
	353	48	50
	9	39	90
	330	39	43
	265	36	-178
	199	50	-5
	170	25	55
	221	38	91
	193	30	58
	215	75	-95
	51	39	123
	191	58	66
	51	39	123
	183	21	77
	246	27	117
	176	36	89
	91	74	-175
	44	43	113
	44	43	113
	127	15	45
	96	54	20
	63	39	165
	14	32	99
	14	32	99
	61	26	134
	2	43	70
	298	84	85
	111	87	-85
	1	54	80
	28	36	107
	132	86	-3
	211	54	88
	19	73	68
	97	52	5
	354	43	44
	8	35	78
	227	58	-2
	273	35	-109
	105	41	-53
	141	18	37
	248	36	125
	256	39	138
	204	22	-158
	147	72	172
	141	86	93
	169	37	53
	150	49	46
	351	32	73
	351	32	73
	354	54	119
	358	9	48
	342	72	14
	4	62	83
	202	32	107
	254	50	128
	204	52	88
	54	44	134
	51	40	148
	326	58	-3
	167	74	58
	180	45	106
	16	81	68
	201	35	113
	147	32	112
	339	36	90
	44	44	140
	16	73	180
	342	58	16
	197	54	91
	255	38	-125
	259	31	140
	24	71	65
	54	34	135
	14	35	-5
	123	48	45
	283	68	-42
	171	8	73
	22	72	56
	267	38	149
	179	63	49
	246	30	119
	32	36	103
	255	26	86
	81	63	110
	223	33	56
	213	26	54
	238	34	82
	9	43	83
	217	42	109
	11	42	87
	170	25	69
	9	36	96
	6	42	101
	67	49	-60
	153	40	-98
	158	57	33
	23	33	88
	23	33	88
	203	49	81
	39	45	101
	49	42	124
	216	43	106
	159	44	73
	212	42	112
	140	36	72
	181	77	88
	200	31	86
	208	30	102
	208	30	102
	188	56	82
	211	29	113
	47	55	108
	358	12	70
	358	12	70
	339	38	-63
	20	43	83
	20	43	83
	299	25	-86
	184	25	79
	177	85	92
	20	41	101
	348	35	53
	170	46	52
	22	49	121
	12	47	80
	75	74	-173
	213	46	116
	213	46	116
	237	40	107
	99	88	-90
	17	42	82
	165	88	33
	19	42	87
	10	81	84
	69	29	124
	319	73	31
	333	20	71
	13	82	4
	13	82	4
	210	41	90
	40	26	113
	207	44	37
	244	33	119
	241	34	116
	36	65	75
	341	61	26
	22	38	129
	40	41	89
	165	67	27
	206	39	96
	243	46	135
	353	53	44
	275	58	-35
	258	50	139
	21	66	123
	188	46	104
	19	52	132
	140	40	51
	155	40	71
	161	36	59
	2	50	93
	14	62	103
	22	75	111
	346	52	77
	22	77	115
	13	63	116
	35	47	130
	180	44	103
	14	43	95
	180	44	103
	148	33	30
	175	25	58
	270	11	166
	62	82	151
	213	37	110
	163	38	53
	225	57	146
	171	45	55
	342	64	12
	336	52	59
	164	47	47
	346	48	60
	175	28	86
	338	45	73
	194	13	122
	123	9	52
	207	45	112
	262	70	163
	158	71	71
	33	69	129
	164	46	36
	335	56	37
	183	37	109
	12	51	98
	263	7	180
	263	7	180
	25	44	113
	25	44	113
	7	88	87
	249	35	116
	86	51	25
	16	28	98
	130	28	23
	80	28	117
	188	39	83
	214	39	116
	204	36	109
	9	40	56
	24	38	70
	12	37	78
	352	40	79
	192	28	92
	27	35	108
	58	53	152
	244	32	58
	267	28	90
	244	32	58
