value,mean of all data,stdev,mean of ci95 data,stdev of ci95,2.5%,97.5%,half width 95% percentil
Sigma1 Azimuth,293.62387020740965,2.9377177157547525,293.6122419074307,2.5076752736944266,287.63316228825516,299.4697662978803,5.918302004812574
Sigma1 Plunge,6.824390450803987,5.04884596625801,6.589476118681138,4.387213040989603,0.3144195877853047,18.407370451843025,9.04647543202886
Sigma2 Azimuth,182.08182160072104,42.67659661246484,181.44696335842252,39.60459731277944,118.26593197909416,262.9705120409191,72.35229003091249
Sigma2 Plunge,79.63324494658114,4.90695090874203,79.79732561888231,4.249965365016893,67.8809558223602,86.89725436741931,9.50814927252955
Sigma3 Azimuth,24.217192768290396,2.7806997979669585,24.207397264305193,2.4151977034998873,18.83196117232896,29.594166631400807,5.3811027295359235
Sigma3 Plunge,6.74143557799608,3.607915968208846,6.6300548244313315,3.0708983625403663,0.6422578757316818,15.011869256219853,7.184805690244086
SHmax,293.91494420903,2.824435046773836,293.9034121252848,2.4300419232025576,288.3351631022904,299.62566107176207,5.645248984735844
Shape Ratio,0.5452013322852156,0.10737150880278644,0.5483612660838663,0.09248623887251943,0.298281726140219,0.7196180973690196,0.21066818561440032
simpson index,1.4547986677147846,0.10737150880278643,1.4516387339161336,0.09248623887251943,1.2803819026309804,1.7017182738597811,0.21066818561440037
