date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
1979-05-12,09:09:31.30,-2.12,121.26,36.4,5.2,2.0,46.0,56.0,226.0,53.0,120.0,8.28e+23,23.0,,,,,,,5
1980-11-05,18:15:02.63,-2.704,122.014,20.0,6.07,221.0,82.0,-110.0,110.0,22.0,-22.0,1.56,18.0,-0.31,1.09,-0.36,0.9,0.35,0.68,5
1982-08-27,23:30:06.70,-2.22,121.31,26.3,5.6,20.0,59.0,-146.0,271.0,61.0,-36.0,3.49e+24,24.0,,,,,,,5
1995-06-12,00:16:38.50,-2.7,121.3,30.0,4.8,24.0,81.0,178.0,114.0,88.0,9.0,,,,,,,,,5
1995-06-12,00:16:46.38,-2.369,121.183,35.0,5.23,24.0,81.0,178.0,114.0,88.0,9.0,8.9,16.0,-6.54,-0.23,-0.04,1.46,5.82,6.59,5
2000-05-07,17:21:15.75,-2.608,122.471,45.0,5.54,15.0,85.0,166.0,106.0,76.0,5.0,2.55,17.0,-1.44,0.52,0.32,0.27,2.11,1.13,5
2000-05-07,20:33:28.79,-2.668,121.879,38.0,5.19,213.0,70.0,-158.0,115.0,70.0,-22.0,7.64,16.0,-4.86,3.4,-1.62,-0.87,3.48,6.47,5
2001-11-03,21:50:24.79,-2.963,122.236,35.2,5.27,104.0,24.0,12.0,3.0,85.0,114.0,10.07,16.0,-3.74,9.08,0.67,-1.21,3.89,3.08,5
2011-02-15,13:33:53.49,-2.446,121.487,20.0,6.07,19.0,87.0,161.0,110.0,71.0,3.0,1.6,18.0,-0.84,0.43,-0.14,0.35,1.15,0.98,5
2012-04-16,02:17:50.00,-2.59,121.85,10.0,5.7,118.0,44.0,1.0,27.0,89.0,134.0,,,,,,,,,5
2012-04-16,18:01:15.50,-2.65,121.94,15.0,5.3,121.0,59.0,4.0,29.0,86.0,149.0,1.26e+24,24.0,,,,,,,5
2012-04-27,10:29:39.50,-2.63,121.87,16.4,5.2,129.0,54.0,8.0,34.0,83.0,144.0,7.87e+23,23.0,,,,,,,5
2012-05-01,13:59:40.74,-2.618,121.939,15.0,5.3,111.0,54.0,-3.0,203.0,88.0,-144.0,1.11,17.0,-0.59,0.61,-0.06,0.24,0.65,0.65,5
2012-05-17,23:50:05.00,-2.67,122.02,10.0,5.1,132.0,68.0,-2.0,223.0,88.0,-158.0,,,,,,,,,5
2012-06-01,13:59:42.20,-2.63,122.02,12.0,5.3,111.0,54.0,-3.0,203.0,88.0,-144.0,1.11e+24,24.0,,,,,,,5
2014-12-03,00:27:05.64,-2.928,122.383,19.8,5.63,38.0,81.0,158.0,131.0,69.0,10.0,3.48,17.0,-3.47,0.7,0.6,1.01,0.57,2.87,5
2014-12-03,02:33:20.90,-2.8,122.56,27.4,5.0,125.0,62.0,11.0,30.0,80.0,152.0,3.44e+23,23.0,,,,,,,5
2015-01-01,22:20:03.00,-2.09,120.95,19.9,4.7,39.0,70.0,173.0,131.0,84.0,20.0,1.58e+23,23.0,,,,,,,5
2017-05-24,09:10:17.00,-2.76,122.15,16.0,5.7,119.0,41.0,-8.0,215.0,85.0,-131.0,4.34e+24,24.0,,,,,,,5
2017-06-17,14:23:48.80,-2.62,121.81,15.7,5.3,129.0,45.0,-3.0,221.0,88.0,-135.0,1.01e+24,24.0,,,,,,,5
2019-03-04,18:13:04.30,-2.43,121.47,16.7,4.7,111.0,53.0,-14.0,209.0,79.0,-142.0,1.62e+23,23.0,,,,,,,5
2019-06-28,13:21:55.10,-2.6,121.65,12.0,4.7,129.0,72.0,5.0,38.0,85.0,162.0,1.62e+23,23.0,,,,,,,5
2020-06-15,23:36:32.90,-2.68,122.16,12.0,4.9,115.0,32.0,-7.0,210.0,86.0,-121.0,3.24e+23,23.0,,,,,,,5
2021-01-03,19:14:00.40,-2.66,122.25,13.2,5.0,95.0,32.0,-13.0,196.0,83.0,-122.0,3.8e+23,23.0,,,,,,,5
2021-02-04,09:58:05.90,-2.59,122.51,29.2,4.9,69.0,43.0,-109.0,275.0,50.0,-73.0,2.48e+23,23.0,,,,,,,5
2022-04-22,19:49:29.50,-2.72,122.34,12.0,4.8,100.0,76.0,-2.0,190.0,88.0,-166.0,1.69e+23,23.0,,,,,,,5
2022-07-29,16:31:18.20,-2.35,122.69,12.0,5.0,37.0,71.0,-178.0,307.0,88.0,-19.0,4.58e+23,23.0,,,,,,,5
