date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
28-12-00,06:46.5,-0.49,119.95,20.0,4.5,108,54,-150,359,66,-40,,,,,,,,,1
30-04-21,34:30.5,-1.52,120.19,17.2,4.7,87,42,-82,257,48,-97,1.42e+23,23.0,,,,,,,1
05-04-05,43:31.0,-1.04,120.62,28.1,4.8,90,44,-91,270,46,-90,1.72e+23,23.0,,,,,,,1
08-01-10,15:25.1,-0.5,120.0,19.9,4.8,73,65,-179,343,89,-25,2.25e+23,23.0,,,,,,,1
20-04-17,54:01.5,-1.14,120.08,21.0,4.8,63,67,-159,324,71,-24,1.73e+23,23.0,,,,,,,1
14-02-18,28:55.1,-1.34,120.48,26.8,4.8,275,38,-97,104,53,-85,2.04e+23,23.0,,,,,,,1
02-11-18,06:31.2,-1.24,120.46,14.4,4.8,120,37,-80,287,54,-98,1.91e+23,23.0,,,,,,,1
02-11-04,48:17.2,-0.96,119.57,26.5,4.9,351,63,-21,91,71,-151,2.87e+23,23.0,,,,,,,1
30-06-13,04:20.8,-0.64,119.8,28.2,4.9,330,38,-19,75,79,-126,2.78e+23,23.0,,,,,,,1
31-05-17,42:05.4,-1.01,120.69,17.9,4.9,130,65,2,39,88,154,3.13e+23,23.0,,,,,,,1
02-06-17,59:17.0,-1.25,120.48,18.1,4.9,139,59,-29,245,66,-146,2.6e+23,23.0,,,,,,,1
02-11-17,02:15.4,-1.29,120.23,14.8,4.9,268,30,-143,145,72,-65,3.1e+23,23.0,,,,,,,1
21-09-18,20:33.3,-0.78,119.67,30.2,4.9,7,34,56,226,62,111,2.52e+23,23.0,,,,,,,1
29-09-18,32:51.7,-1.51,120.19,22.3,4.9,52,76,-176,321,86,-14,2.48e+23,23.0,,,,,,,1
08-10-18,15:55.2,-0.87,120.04,27.0,4.9,145,33,-48,278,66,-114,2.38e+23,23.0,,,,,,,1
03-03-19,45:07.0,-1.48,120.29,19.7,4.9,109,41,-54,245,58,-117,3.03e+23,23.0,,,,,,,1
28-09-18,24:01.2,-1.44,120.22,12.0,5.0,127,59,4,35,87,149,4.35e+23,23.0,,,,,,,1
29-09-18,40:10.9,-1.51,120.15,14.7,5.0,101,38,-69,254,54,-106,3.45e+23,23.0,,,,,,,1
02-11-18,33:36.3,-1.25,120.41,13.1,5.0,124,44,-60,264,53,-116,3.81e+23,23.0,,,,,,,1
25-11-17,14:50.9,-1.328,119.94,20.0,5.02,64,74,-179,334,89,-16,4.32,16.0,-2.82,-0.91,-0.83,0.72,-2.62,3.65,1
14-02-02,14:26.9,-1.776,120.215,23.0,5.05,221,64,175,313,86,26,4.7,16.0,-3.87,0.7,-0.57,-2.26,0.29,4.45,1
25-11-17,11:24.6,-1.314,120.013,19.1,5.07,67,84,178,157,88,6,5.0,16.0,-2.98,-0.41,-1.18,0.61,-3.44,4.16,1
12-05-10,07:53.0,-1.25,120.09,11.0,5.1,336,68,-16,73,75,-157,,,,,,,,,1
29-09-18,30:17.9,-1.43,120.19,12.0,5.1,116,37,-56,256,60,-112,5.78e+23,23.0,,,,,,,1
30-09-18,38:43.3,-1.25,120.24,26.1,5.1,111,35,-86,286,55,-93,6.58e+23,23.0,,,,,,,1
22-10-18,07:48.8,-1.65,120.23,22.1,5.1,47,72,-165,312,76,-18,6.05e+23,23.0,,,,,,,1
06-11-21,56:20.8,-1.29,120.65,16.1,5.1,234,60,-157,131,70,-32,5.73e+23,23.0,,,,,,,1
30-11-01,22:07.5,-1.161,119.901,38.3,5.18,170,50,12,72,81,140,7.49,16.0,-3.43,-1.96,0.16,6.02,-3.98,3.27,1
30-11-01,22:08.8,-1.34,120.51,38.3,5.2,170,50,12,72,81,140,7.49e+23,23.0,,,,,,,1
30-05-02,45:17.3,-1.545,119.61,35.8,5.24,9,20,49,232,75,104,9.18,16.0,-3.76,-4.31,4.5,-6.36,-2.79,-0.74,1
23-01-05,59:43.7,-1.101,120.043,15.0,5.26,76,52,-151,327,68,-42,0.99,17.0,-0.31,-0.36,-0.53,0.15,-0.6,0.84,1
07-09-16,32:40.0,-0.952,120.418,18.1,5.27,159,38,-22,267,76,-126,1.01,17.0,-0.21,-0.05,-0.37,0.69,-0.6,0.59,1
01-07-02,11:07.8,-0.95,120.45,15.0,5.3,271,34,-97,99,56,-86,1.15e+24,24.0,,,,,,,1
08-01-11,15:13.0,-0.85,119.78,23.0,5.3,73,74,-178,343,88,-16,,,,,,,,,1
01-07-02,11:05.5,-1.485,120.191,15.0,5.31,271,34,-97,99,56,-86,1.15,17.0,-0.03,0.12,-1.03,-0.44,-0.1,1.07,1
01-10-18,46:40.5,-0.695,119.867,24.2,5.34,349,38,-3,81,88,-128,1.27,17.0,-0.32,-0.05,-0.07,-1,-0.72,0.4,1
28-12-00,06:54.2,-0.62,120.25,27.2,5.4,108,54,-150,359,66,-40,1.42e+24,24.0,,,,,,,1
23-02-14,06:52.2,-1.097,120.248,24.8,5.4,114,28,-79,282,63,-96,1.56,17.0,0.03,-0.14,-1.22,0.9,-0.41,1.18,1
02-10-18,59:26.1,-1.44,119.95,15.0,5.4,115,13,6,19,89,103,1.54e+24,24.0,,,,,,,1
10-10-98,32:23.4,-0.8,120.1,28.0,5.5,355,31,35,235,73,116,,,,,,,,,1
24-03-19,32:03.0,-1.77,120.53,12.3,5.5,136,41,63,350,54,112,2e+24,24.0,,,,,,,1
02-03-09,03:41.5,-1.105,119.843,20.0,5.56,309,50,-87,125,40,-93,2.7,17.0,0.77,-0.32,-2.47,0.3,-1.56,1.7,1
03-01-93,23:34.5,-1.562,119.699,25.0,5.67,160,83,19,68,72,173,3.93,17.0,-3.38,-1,1.51,0.13,-2.71,1.88,1
03-01-93,23:41.8,-1.17,120.08,48.4,5.7,68,72,173,160,83,19,3.93e+24,24.0,,,,,,,1
19-05-95,29:58.5,-1.1,120.2,30.0,5.8,129,29,-58,274,65,-160,,,,,,,,,1
01-10-18,39:03.9,-0.52,119.89,12.0,5.8,258,76,167,351,78,14,1.99e+23,23.0,,,,,,,1
28-03-20,43:20.2,-1.68,120.18,18.9,5.8,36,86,177,126,87,4,7.31e+24,25.0,,,,,,,1
09-07-05,59:14.3,-1.227,119.998,10.0,5.88,320,64,-53,80,44,-141,0.8,18.0,-0.19,-0.31,-0.49,0.16,-0.42,0.69,1
18-08-12,41:53.0,-1.21,120.08,10.0,6.2,339,83,-5,70,85,-173,,,,,,,,,1
23-01-05,10:12.9,-1.19,120.013,10.0,6.24,321,61,-59,90,41,-133,2.8,18.0,-0.22,-1.1,-1.9,0.51,-1.62,2.13,1
29-05-17,35:23.2,-1.297,120.427,16.8,6.58,277,57,-98,111,34,-78,0.94,19.0,-0.11,-0.01,-0.77,0.38,-0.26,0.89,1
