"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Grovudalen Foliations
"// Partial data set of 625 strike and dips of foliations in gneisses, "
"// Grovudalen, Western Gneiss Region, Norway (Vollmer, 1985)."
"// "
"// Vollmer, F.W., 1985, A structural study of the Grovudal fold-nappe, western "
"// Norway: PhD thesis, University of Minnesota, Minneapolis, Advisor P.J. "
"// Hudleston, 233 p. "
"// "
// -------------------------------------------------------------------------------------
Easting,Northing,Strike,Dip,Type
922.000,255.000,288.0,66.0,S
924.000,258.000,272.0,68.0,S
920.000,259.000,262.0,57.0,S
929.000,261.000,264.0,63.0,S
920.000,264.000,276.0,69.0,S
928.000,268.000,301.0,74.0,S
921.000,272.000,251.0,78.0,S
921.000,279.000,245.0,69.0,S
929.000,282.000,254.0,79.0,S
921.000,293.000,85.0,70.0,S
923.000,295.000,271.0,58.0,S
934.000,156.000,250.0,13.0,S
931.000,160.000,278.0,23.0,S
936.000,160.000,265.0,30.0,S
933.000,167.000,91.0,52.0,S
939.000,168.000,66.0,59.0,S
937.000,168.000,89.0,61.0,S
933.000,171.000,278.0,33.0,S
930.000,171.000,338.0,11.0,S
935.000,174.000,305.0,25.0,S
939.000,174.000,284.0,35.0,S
939.000,177.000,3.0,26.0,S
939.000,180.000,343.0,32.0,S
932.000,184.000,359.0,22.0,S
938.000,185.000,352.0,23.0,S
938.000,186.000,19.0,27.0,S
931.000,191.000,21.0,42.0,S
938.000,195.000,25.0,40.0,S
934.000,200.000,9.0,38.0,S
931.000,201.000,5.0,20.0,S
937.000,203.000,353.0,19.0,S
934.000,204.000,9.0,25.0,S
939.000,206.000,32.0,40.0,S
934.000,209.000,329.0,17.0,S
930.000,210.000,316.0,20.0,S
934.000,213.000,54.0,6.0,S
936.000,213.000,339.0,22.0,S
938.000,217.000,330.0,25.0,S
938.000,219.000,307.0,20.0,S
931.000,220.000,323.0,27.0,S
939.000,222.000,315.0,24.0,S
939.000,224.000,345.0,28.0,S
934.000,228.000,323.0,36.0,S
934.000,230.000,290.0,45.0,S
938.000,233.000,328.0,44.0,S
934.000,234.000,280.0,35.0,S
937.000,236.000,270.0,51.0,S
936.000,245.000,320.0,47.0,S
938.000,245.000,303.0,40.0,S
932.000,258.000,310.0,87.0,S
935.000,262.000,259.0,75.0,S
938.000,262.000,348.0,80.0,S
930.000,264.000,271.0,56.0,S
936.000,269.000,334.0,70.0,S
932.000,269.000,24.0,76.0,S
932.000,269.000,20.0,82.0,S
939.000,273.000,46.0,71.0,S
935.000,275.000,240.0,80.0,S
937.000,280.000,274.0,81.0,S
933.000,283.000,254.0,88.0,S
935.000,286.000,260.0,85.0,S
944.000,151.000,222.0,17.0,S
947.000,153.000,228.0,16.0,S
944.000,154.000,215.0,6.0,S
944.000,163.000,76.0,87.0,S
940.000,170.000,295.0,42.0,S
941.000,177.000,269.0,45.0,S
942.000,177.000,357.0,21.0,S
949.000,182.000,344.0,16.0,S
949.000,185.000,352.0,24.0,S
947.000,186.000,10.0,24.0,S
946.000,189.000,352.0,26.0,S
948.000,189.000,350.0,30.0,S
941.000,194.000,359.0,20.0,S
943.000,202.000,14.0,35.0,S
949.000,210.000,349.0,32.0,S
947.000,214.000,319.0,26.0,S
944.000,214.000,310.0,24.0,S
946.000,215.000,325.0,22.0,S
941.000,217.000,327.0,22.0,S
948.000,220.000,331.0,40.0,S
941.000,223.000,336.0,25.0,S
947.000,224.000,301.0,42.0,S
940.000,225.000,324.0,30.0,S
941.000,231.000,329.0,31.0,S
942.000,236.000,338.0,41.0,S
943.000,237.000,315.0,58.0,S
942.000,242.000,351.0,45.0,S
945.000,243.000,7.0,56.0,S
946.000,245.000,317.0,63.0,S
949.000,247.000,340.0,69.0,S
946.000,247.000,333.0,62.0,S
940.000,248.000,286.0,73.0,S
947.000,248.000,109.0,85.0,S
943.000,249.000,325.0,76.0,S
949.000,251.000,305.0,73.0,S
942.000,252.000,276.0,90.0,S
946.000,252.000,310.0,54.0,S
949.000,253.000,313.0,89.0,S
943.000,255.000,316.0,90.0,S
947.000,255.000,66.0,73.0,S
943.000,257.000,281.0,75.0,S
949.000,257.000,250.0,82.0,S
949.000,258.000,136.0,87.0,S
944.000,260.000,341.0,88.0,S
946.000,263.000,202.0,90.0,S
940.000,264.000,355.0,86.0,S
942.000,267.000,352.0,66.0,S
947.000,268.000,199.0,82.0,S
949.000,269.000,254.0,90.0,S
947.000,271.000,359.0,79.0,S
942.000,272.000,9.0,70.0,S
947.000,274.000,49.0,74.0,S
942.000,274.000,28.0,72.0,S
944.000,274.000,4.0,67.0,S
942.000,285.000,74.0,86.0,S
943.000,287.000,73.0,78.0,S
947.000,287.000,63.0,77.0,S
948.000,293.000,80.0,70.0,S
958.000,150.000,204.0,27.0,S
956.000,153.000,219.0,31.0,S
951.000,154.000,204.0,26.0,S
958.000,156.000,236.0,24.0,S
956.000,166.000,256.0,66.0,S
955.000,167.000,260.0,49.0,S
954.000,169.000,262.0,55.0,S
953.000,171.000,261.0,76.0,S
953.000,173.000,74.0,88.0,S
954.000,175.000,84.0,87.0,S
954.000,177.000,49.0,36.0,S
952.000,177.000,34.0,37.0,S
952.000,181.000,30.0,35.0,S
951.000,182.000,11.0,35.0,S
956.000,186.000,73.0,20.0,S
959.000,191.000,29.0,45.0,S
957.000,192.000,23.0,30.0,S
951.000,192.000,350.0,26.0,S
957.000,196.000,34.0,40.0,S
959.000,197.000,24.0,42.0,S
952.000,199.000,22.0,46.0,S
954.000,204.000,9.0,37.0,S
958.000,206.000,14.0,56.0,S
954.000,206.000,348.0,30.0,S
958.000,206.000,12.0,48.0,S
952.000,208.000,22.0,31.0,S
955.000,210.000,351.0,38.0,S
959.000,210.000,351.0,48.0,S
958.000,212.000,6.0,45.0,S
953.000,213.000,315.0,45.0,S
950.000,216.000,341.0,31.0,S
959.000,219.000,356.0,42.0,S
955.000,219.000,320.0,36.0,S
955.000,225.000,356.0,54.0,S
959.000,225.000,331.0,47.0,S
957.000,231.000,296.0,57.0,S
959.000,236.000,302.0,75.0,S
959.000,239.000,301.0,76.0,S
958.000,241.000,297.0,61.0,S
959.000,245.000,281.0,73.0,S
