// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		-7.8600	125.4100	67.00	33.00	141.61	32.05	Rev	-103.00	
2		-7.7600	124.7400	62.00	29.00	153.14	29.00	Rev	-89.00	
3		-7.7100	124.8800	41.00	37.00	171.18	29.93	Rev	-56.00	
4		-7.7100	125.1400	46.00	32.00	152.38	30.94	Rev	-76.00	
5		-7.5000	125.2000	34.00	28.00	138.65	27.22	Rev	-77.00	
6		-7.6100	126.0200	34.00	28.00	138.65	27.22	Rev	-77.00	
7		-7.8460	124.7730	296.00	30.00	49.91	27.83	Rev	-69.00	
8		-7.8100	125.0430	272.00	37.00	344.66	35.73	Rev	-104.00	
9		-7.6160	125.6320	99.00	46.00	163.93	43.17	Rev	-108.00	
10		-7.4300	125.8500	223.00	39.00	1.20	28.36	Rev	-49.00	
11		-7.9900	124.7700	108.00	46.00	133.11	23.72	Dex	-146.00	
12		-7.9600	125.3600	86.00	33.00	194.88	31.57	Rev	-74.00	
13		-7.9700	125.0600	61.00	28.00	167.88	26.97	Rev	-75.00	
14		-7.9160	124.9280	92.00	29.00	169.47	28.42	Rev	-101.00	
15		-7.9600	125.3200	74.00	43.00	74.00	0.00	Sin	0.00	
16		-7.8920	125.1740	49.00	73.00	227.24	5.74	Dex	174.00	
17		-7.9310	124.7160	227.00	32.00	8.66	21.19	Sin	-43.00	
18		-7.9930	124.8200	143.00	81.00	321.10	11.85	Sin	-12.00	
19		-7.9800	125.5000	122.00	40.00	159.45	27.03	Rev	-135.00	
20		-7.7140	125.5680	75.00	47.00	110.23	31.74	Rev	-134.00	
21		-7.7400	125.8400	55.00	29.00	119.11	26.50	Rev	-113.00	
22		-7.9170	125.7100	102.00	33.00	129.66	16.78	Dex	-148.00	
23		-7.9840	125.6810	109.00	59.00	280.60	13.67	Dex	164.00	
24		-7.8750	125.6730	74.00	32.00	87.67	8.40	Dex	-164.00	
25		-7.8770	125.6780	184.00	88.00	2.65	33.98	Sin	-34.00	
26		-7.8090	125.7200	184.00	89.00	3.47	28.00	Sin	-28.00	
27		-7.8100	125.7500	107.00	45.00	161.22	39.05	Rev	-117.00	
28		-7.8810	125.7340	231.00	62.00	321.00	62.00	Rev	-90.00	
29		-7.2900	125.6700	93.00	43.00	187.10	42.93	Rev	-87.00	
30		-7.9470	125.7410	122.00	51.00	296.95	6.21	Dex	172.00	
31		-7.4470	125.7900	53.00	45.00	183.36	37.31	Rev	-59.00	
32		-7.8700	125.8000	11.00	71.00	16.33	15.11	Sin	16.00	
33		-7.5000	125.6100	47.00	33.00	171.54	28.14	Rev	-60.00	
