// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		-2.7040	122.0140	221.00	82.00	20.07	68.52	Nor	110.00	
2		-2.6680	121.8790	213.00	70.00	25.13	20.61	Dex	158.00	
3		-2.6080	122.4710	15.00	85.00	16.24	13.95	Dex	-166.00	
4		-2.9630	122.2360	104.00	24.00	273.01	4.85	Sin	-12.00	
5		-2.6500	121.9400	121.00	59.00	298.94	3.43	Sin	-4.00	
6		-2.5900	121.8500	118.00	44.00	297.28	0.69	Sin	-1.00	
7		-2.6300	121.8700	129.00	54.00	304.28	6.46	Sin	-8.00	
8		-2.6180	121.9390	111.00	54.00	112.76	2.43	Sin	3.00	
9		-2.6700	122.0200	132.00	68.00	132.75	1.85	Sin	2.00	
10		-2.6300	122.0200	111.00	54.00	112.76	2.43	Sin	3.00	
11		-2.8000	122.5600	125.00	62.00	299.79	9.70	Sin	-11.00	
12		-2.9280	122.3830	38.00	81.00	41.62	21.72	Dex	-158.00	
13		-2.7600	122.1500	119.00	41.00	125.05	5.24	Sin	8.00	
14		-2.6200	121.8100	129.00	45.00	131.12	2.12	Sin	3.00	
15		-2.6000	121.6500	129.00	72.00	307.45	4.75	Sin	-5.00	
16		-2.6800	122.1600	115.00	32.00	120.94	3.70	Sin	7.00	
17		-2.6600	122.2500	95.00	32.00	106.08	6.85	Sin	13.00	
18		-2.5900	122.5100	69.00	43.00	184.21	40.15	Nor	109.00	
19		-2.7200	122.3400	100.00	76.00	100.48	1.94	Sin	2.00	
