// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		1.6200	122.5020	354.00	83.00	356.54	19.84	Sin	20.00	
2		1.7100	123.1900	86.00	70.00	263.60	6.58	Dex	173.00	
3		1.2520	122.9290	272.00	70.00	4.92	69.98	Rev	-89.00	
4		1.2050	122.8790	265.00	69.00	343.96	68.64	Rev	-94.00	
5		1.0930	121.5200	194.00	50.00	296.33	49.34	Nor	98.00	
6		1.2910	122.9750	268.00	67.00	8.15	66.67	Rev	-86.00	
7		1.9000	123.5900	60.00	38.00	205.59	23.82	Sin	-41.00	
8		1.3910	123.1180	278.00	62.00	331.74	56.60	Rev	-109.00	
9		1.3400	122.9200	85.00	48.00	256.91	8.89	Dex	168.00	
10		1.1820	123.4730	346.00	81.00	354.30	42.35	Sin	43.00	
11		1.2260	123.3570	278.00	64.00	328.30	57.63	Rev	-110.00	
12		1.2410	122.9320	298.00	63.00	23.60	62.93	Rev	-92.00	
13		1.5400	123.3600	47.00	18.00	157.94	16.88	Rev	-70.00	
14		1.1970	123.8900	227.00	63.00	336.23	61.65	Rev	-81.00	
15		1.1900	123.2900	65.00	29.00	136.85	27.78	Rev	-106.00	
16		1.3300	123.3600	119.00	12.00	189.61	11.34	Rev	-109.00	
17		1.1640	122.8490	57.00	29.00	173.98	26.29	Rev	-66.00	
18		1.3360	123.5010	224.00	76.00	344.15	73.92	Rev	-82.00	
19		1.9400	123.0100	72.00	29.00	206.82	21.46	Rev	-49.00	
20		1.1320	123.0190	72.00	29.00	206.82	21.46	Rev	-49.00	
21		1.0860	121.4360	196.00	62.00	315.72	58.52	Nor	105.00	
22		1.3380	123.0890	75.00	26.00	176.10	25.58	Rev	-80.00	
23		1.2520	123.0240	275.00	71.00	358.88	70.90	Rev	-92.00	
24		1.6600	123.4200	74.00	26.00	195.66	22.54	Rev	-61.00	
25		1.3700	123.1400	94.00	21.00	190.42	20.88	Rev	-84.00	
26		1.3000	123.8800	296.00	36.00	44.33	34.59	Rev	-75.00	
27		1.4200	123.6200	122.00	9.00	195.81	8.65	Rev	-106.00	
28		1.1770	122.9620	291.00	67.00	1.22	65.72	Rev	-98.00	
29		1.1470	123.0650	69.00	31.00	195.09	25.90	Rev	-58.00	
30		1.5600	122.7400	321.00	63.00	335.69	26.46	Dex	-150.00	
31		1.2610	122.5510	115.00	38.00	174.38	33.92	Rev	-115.00	
32		1.0880	122.5420	273.00	65.00	358.28	64.93	Rev	-92.00	
33		1.3970	122.7550	93.00	40.00	195.96	39.27	Rev	-80.00	
34		1.2380	122.0980	286.00	66.00	337.38	60.32	Rev	-108.00	
35		1.3700	123.0800	39.00	29.00	77.22	18.93	Dex	-138.00	
