date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,corepoint
1983-03-30,00:49:11.80,1.62,122.502,33.2,5.56,354.0,83.0,-20.0,86.0,70.0,-173.0,2.71,17.0,-0.38,-0.96,-0.12,-0.27,-2.48,0.5,c
1983-03-30,00:49:18.00,1.71,123.19,47.6,5.6,86.0,70.0,-173.0,354.0,83.0,-20.0,2.71e+24,24.0,,,,,,,c
1983-08-21,08:34:45.98,3.788,126.605,34.1,5.83,6.0,46.0,92.0,183.0,44.0,88.0,6.85,17.0,-6.42,0.26,7.23,0.23,-0.42,-0.81,c
1983-11-19,04:31:59.60,1.99,126.94,44.7,5.4,356.0,28.0,76.0,192.0,63.0,97.0,1.36e+24,24.0,,,,,,,c
1984-05-21,01:51:00.60,2.58,126.72,13.8,5.1,38.0,44.0,131.0,167.0,59.0,58.0,5.36e+23,23.0,,,,,,,c
1984-07-23,16:03:42.96,1.378,126.337,35.0,6.33,194.0,72.0,81.0,42.0,21.0,116.0,3.82,18.0,-1.68,-3,2.46,-0.46,-0.89,-0.77,c
1984-07-25,19:34:53.16,1.25,126.44,33.3,5.85,46.0,58.0,115.0,186.0,40.0,57.0,7.43,17.0,-5.39,0.51,6.45,3.67,-2.53,-1.05,c
1985-03-05,13:40:11.82,1.252,122.929,33.6,6.13,272.0,70.0,89.0,94.0,20.0,91.0,1.92,18.0,0.58,0.06,0.91,-1.48,0.1,-1.5,c
1985-03-10,05:01:43.20,-0.17,123.38,43.9,5.5,348.0,77.0,-7.0,79.0,83.0,-167.0,2.17e+24,24.0,,,,,,,c
1985-03-25,18:58:55.19,1.205,122.879,43.9,5.61,265.0,69.0,94.0,75.0,21.0,81.0,3.23,17.0,0.24,-0.16,1.98,-2.42,-0.41,-2.22,c
1985-04-13,03:00:07.39,1.714,126.364,47.4,6.91,216.0,58.0,103.0,12.0,34.0,69.0,2.82,19.0,-2.08,-0.74,2.57,-1.06,-0.85,-0.49,c
1985-05-02,15:56:32.20,1.77,126.27,37.8,5.5,192.0,35.0,120.0,337.0,60.0,71.0,2.66e+24,24.0,,,,,,,c
1985-08-20,13:43:17.44,-0.993,126.981,27.5,5.31,343.0,24.0,69.0,186.0,67.0,99.0,11.63,16.0,-8.44,-7.96,8.14,-1.53,0.86,0.3,c
1985-12-14,06:46:14.18,3.726,126.55,30.4,6.16,12.0,47.0,88.0,195.0,43.0,92.0,2.16,18.0,-2.07,0.18,2.1,-0.01,-0.53,-0.02,c
