% ini datanya
%  stike   dip   rake
   201   62   68
   214   60   106
   354   46   64
   1   53   53
   355   49   63
   223   52   114
   173   80   79
   334   44   -85
   213   69   132
   218   48   114
   189   53   85
   18   77   -93
   2   43   70
   8   35   78
   227   58   -2
   342   72   14
   9   40   56
   24   38   70
   196   44   72
   175   64   55
   216   35   81
   5   39   75
   16   42   74
   14   50   47
   44   18   134
   342   51   35
   344   79   11
   60   34   95
   354   50   51
   11   53   2
   182   10   -81
