% ini datanya
%  stike   dip   rake
   135.0   88.0   -14.0
   19.0   26.0   133.0
   344.0   49.0   62.0
   203.0   58.0   -168.0
   315.0   27.0   80.0
   340.0   20.0   91.0
   340.0   20.0   91.0
   329.0   25.0   84.0
   331.0   28.0   78.0
   164.0   62.0   92.0
   28.0   22.0   100.0
   337.0   85.0   -4.0
   330.0   76.0   174.0
   11.0   61.0   172.0
   19.0   63.0   172.0
   10.0   71.0   -4.0
   102.0   89.0   -163.0
   50.0   75.0   175.0
   192.0   39.0   78.0
   352.0   21.0   91.0
