#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
119.699 -1.562 25.0 0.317188 2.39224 -2.70942 0.871173 -1.03674 -2.79323 24.0 X Y 0 SS
120.08 -1.17 48.4 0.319973 2.65399 -2.97396 0.921562 -1.1053 -3.14427 24.0 X Y 1 SS
120.2 -1.1 30.0 -4.53775 4.32617 0.211581 4.04395 0.488205 -1.88227 24.0 X Y 2 N
120.1 -0.8 28.0 1.13377 0.155399 -1.28917 -1.5134 -0.737546 -0.831716 24.0 X Y 3 R-SS
119.95 -0.49 20.0 -3.36648 0.129553 3.23693 -2.15391 -3.08931 -5.00217 22.0 X Y 4 N-SS
120.25 -0.62 27.2 -0.753661 0.0290032 0.724658 -0.4822 -0.691611 -1.11985 24.0 X Y 5 N-SS
119.901 -1.161 38.3 1.51786 1.85404 -3.3719 4.63659 0.545788 -4.96011 23.0 X Y 6 SS-R
120.51 -1.34 38.3 1.62641 1.98664 -3.61305 4.96819 0.584822 -5.31486 23.0 X Y 7 SS-R
120.215 -1.776 23.0 0.324959 4.05538 -4.38034 -1.72599 1.16398 0.428705 23.0 X Y 8 SS-R
119.61 -1.545 35.8 4.42433 -0.740649 -3.68368 -6.3781 -4.32824 -2.62986 23.0 X Y 9 R
120.45 -0.95 15.0 -1.03256 1.02958 0.00298305 -0.415141 0.120626 -0.0944352 24.0 X Y 10 N
120.191 -1.485 15.0 -1.06885 1.06576 0.00308789 -0.429729 0.124865 -0.0977539 24.0 X Y 11 N
119.57 -0.96 26.5 -0.817122 0.744457 0.0726645 -1.08696 -0.773231 -2.35591 23.0 X Y 12 SS-N
120.043 -1.101 15.0 -4.59701 7.48995 -2.89295 0.160906 -5.3831 -4.86776 23.0 X Y 13 N-SS
120.013 -1.19 10.0 -2.09646 2.10105 -0.00459059 0.264772 -1.47126 -1.29543 25.0 X Y 14 N-SS
120.62 -1.04 28.1 -1.99374 1.99374 -2.96236e-18 0.069623 -0.0250489 -0.0241895 23.0 X Y 15 N
119.998 -1.227 10.0 -5.23457 6.59352 -1.35895 0.947837 -4.54338 -3.35878 24.0 X Y 16 N-SS
119.843 -1.105 20.0 -2.70867 1.74392 0.964744 0.312864 -0.372577 -1.30178 24.0 X Y 17 N
120.0 -0.5 19.9 -0.0266753 1.03544 -1.00877 0.225095 -0.81281 -1.49148 23.0 X Y 18 SS-N
120.09 -1.25 11.0 -1.07674 3.90274 -2.826 -1.39639 -1.84222 -3.75374 23.0 X Y 19 SS-N
119.78 -0.85 23.0 -0.0207505 0.621729 -0.600978 0.05861 -0.305285 -0.887815 24.0 X Y 20 SS
120.08 -1.21 10.0 -0.0529628 1.66871 -1.61574 -0.208577 -0.3076 -1.86345 25.0 X Y 21 SS
119.8 -0.64 28.2 -0.89032 1.64341 -0.753092 -1.92957 -0.857717 -1.20584 23.0 X Y 22 N-SS
120.248 -1.097 24.8 -1.2898 1.18193 0.10787 0.903369 -0.109923 -0.384253 24.0 X Y 23 N
120.418 -0.952 18.1 -0.367688 0.433605 -0.0659169 0.722854 0.179281 -0.552138 24.0 X Y 24 N-SS
120.08 -1.14 21.0 -0.514355 1.79553 -1.28118 -0.112142 -0.874001 -0.79979 23.0 X Y 25 SS-N
120.427 -1.297 16.8 -8.44273 8.05381 0.388918 3.81714 0.244025 -2.07818 25.0 X Y 26 N
120.69 -1.01 17.9 0.0753482 2.46977 -2.54512 0.813591 0.87124 0.480385 23.0 X Y 27 SS-R
