// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		-0.9000	121.7000	322.00	86.00	141.86	2.00	Sin	-2.00	
2		-0.9900	121.4500	124.00	8.00	172.72	6.03	Nor	49.00	
3		-1.0100	121.8800	124.00	8.00	172.72	6.03	Nor	49.00	
4		-0.9300	121.8800	318.00	47.00	343.53	24.80	Sin	35.00	
5		-0.7330	122.0180	327.00	40.00	67.40	39.53	Nor	98.00	
6		-0.8700	121.9500	294.00	46.00	51.65	42.53	Nor	110.00	
7		-1.2600	121.8000	24.00	35.00	189.94	9.65	Sin	-17.00	
8		-0.5600	121.8700	166.00	85.00	166.17	1.99	Sin	2.00	
9		-0.9700	121.7700	110.00	48.00	267.31	23.19	Dex	148.00	
10		-0.6420	121.9290	10.00	51.00	28.50	21.40	Sin	28.00	
11		-1.0300	121.3900	346.00	51.00	126.13	38.36	Rev	-53.00	
12		-0.9120	121.6170	43.00	75.00	45.88	10.62	Dex	-169.00	
13		-0.9070	121.3630	249.00	30.00	27.11	21.08	Nor	134.00	
14		-0.6400	121.9500	138.00	41.00	191.70	35.02	Nor	61.00	
15		-0.6800	121.9700	139.00	42.00	190.04	35.00	Nor	59.00	
16		-0.7300	121.5200	138.00	75.00	316.44	5.79	Sin	-6.00	
