,cluster,best seed,mean stdev
0,0.0,43.0,4.355301705624003
1,1.0,2.0,11.622823880547848
2,2.0,9.0,7.349319474561201
3,3.0,7.0,7.096231489540215
4,4.0,40.0,13.016048925742565
5,5.0,12.0,11.209100856606229
6,6.0,1.0,8.500944671016704
7,7.0,10.0,7.700944594065216
8,8.0,25.0,13.768261187216966
9,9.0,36.0,18.674570149525778
