date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
1983-06-09,20:26:50.46,-5.968,122.614,30.0,5.55,258.0,61.0,111.0,40.0,35.0,57.0,2.57,17.0,-0.4,0.14,2.01,-1.37,-1.14,-1.6,15
2001-05-03,05:14:13.50,-5.35,122.53,33.0,4.2,296.0,30.0,69.0,139.0,62.0,101.0,,,,,,,,,15
2004-07-05,07:25:26.67,-5.9,122.5,33.0,4.8,30.0,40.0,88.0,213.0,50.0,91.0,,,,,,,,,15
2005-02-19,00:04:43.00,-5.9,122.3,33.0,6.9,41.0,49.0,121.0,179.0,49.0,59.0,,,,,,,,,15
2005-02-19,00:04:43.63,-5.652,122.174,11.6,6.44,179.0,49.0,59.0,41.0,49.0,121.0,5.64,18.0,-5.52,-0.36,4.28,0.97,-2.84,1.23,15
2005-02-25,03:20:31.60,-5.62,122.41,20.2,4.9,161.0,37.0,88.0,344.0,53.0,92.0,2.75e+23,23.0,,,,,,,15
2008-01-03,11:15:49.36,-5.882,122.721,15.0,5.39,207.0,48.0,63.0,64.0,49.0,116.0,1.54,17.0,-0.71,-0.4,1.44,0.44,-0.7,-0.73,15
2013-10-14,09:22:17.60,-5.61,122.62,17.1,4.8,8.0,43.0,79.0,202.0,48.0,100.0,1.94e+23,23.0,,,,,,,15
2020-10-09,02:57:22.40,-5.87,122.57,12.0,5.3,354.0,32.0,54.0,215.0,65.0,110.0,1.1999999999999999e+24,24.0,,,,,,,15
