% ini datanya
%  stike   dip   rake
   211   42   98
   108   54   -150
   100   37   -165
   116   68   -21
   39   70   173
   87   42   -82
   126   74   -5
   90   44   -91
   73   65   -179
   250   62   -161
   346   51   53
   52   70   165
   63   67   -159
   275   38   -97
   120   37   -80
   351   63   -21
   330   38   -19
   146   74   8
   147   32   54
   130   65   2
   139   59   -29
   268   30   -143
   7   34   56
   52   76   -176
   145   33   -48
   109   41   -54
   60   60   164
   7   36   84
   49   19   56
   170   50   12
   9   20   49
   89   75   -170
   127   59   4
   101   38   -69
   124   44   -60
   64   74   -179
   230   47   125
   221   64   175
   249   30   -134
   67   84   178
   44   18   61
   68   72   173
   124   8   -49
   336   68   -16
   174   19   -143
   63   36   79
   116   37   -56
   111   35   -86
   47   72   -165
   47   19   77
   234   60   -157
   100   37   -165
   272   16   -59
   43   18   63
   87   24   96
   95   21   82
   170   50   12
   28   19   95
   64   17   84
   142   74   16
   95   21   82
   170   50   12
   181   77   -1
   66   10   83
   351   45   -94
   16   21   21
   9   20   49
   40   21   50
   76   52   -151
   159   38   -22
   148   20   124
   344   18   6
   40   21   50
   271   34   -97
   73   74   -178
   159   48   -176
   311   27   12
   60   15   82
   45   37   -76
   271   34   -97
   349   38   -3
   330   37   37
   348   66   0
   70   25   68
   319   21   -56
   287   46   -59
   108   54   -150
   114   28   -79
   115   13   6
   285   56   -18
   165   72   161
   58   22   66
   15   87   -16
   281   75   83
   307   41   -19
   36   6   54
   53   57   -8
   355   31   35
   125   17   113
   136   41   63
   260   69   114
   262   76   97
   51   78   -130
   309   50   -87
   267   88   93
   70   25   68
   87   24   96
   17   21   72
   235   86   34
   85   83   -41
   200   63   -102
   160   83   19
   68   72   173
   257   77   95
   262   68   92
   257   74   97
   129   29   -58
   52   17   66
   28   19   95
   258   76   167
   36   86   177
   310   65   -140
   84   71   -141
   320   64   -53
   57   16   71
   300   42   26
   256   75   95
   63   14   71
   355   31   35
   359   34   41
   257   76   94
   359   66   -14
   33   86   167
   210   52   112
   357   43   65
   339   83   -5
   321   61   -59
   57   16   71
   263   82   90
   312   72   -28
   278   79   99
   290   79   104
   290   74   125
   63   14   71
   262   76   95
   277   57   -98
   283   84   -3
   207   72   28
   14   87   -174
   264   77   96
