// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		-1.9090	120.4860	33.00	86.00	33.92	12.97	Dex	-167.00	
2		-0.8080	120.6530	310.00	65.00	110.47	35.63	Dex	140.00	
3		-1.5620	119.6990	160.00	83.00	337.60	18.85	Sin	-19.00	
4		-1.1700	120.0800	68.00	72.00	70.17	6.66	Dex	-173.00	
5		-1.1000	120.2000	129.00	29.00	183.46	24.28	Nor	58.00	
6		-1.9500	120.3300	287.00	46.00	336.14	38.07	Nor	59.00	
7		-0.8000	120.1000	355.00	31.00	144.03	17.18	Sin	-35.00	
8		-0.3000	119.8000	359.00	34.00	143.22	21.52	Sin	-41.00	
9		-0.4900	119.9500	108.00	54.00	269.25	23.86	Dex	150.00	
10		-0.6200	120.2500	108.00	54.00	269.25	23.86	Dex	150.00	
11		-1.1610	119.9010	170.00	50.00	342.22	9.16	Sin	-12.00	
12		-1.3400	120.5100	170.00	50.00	342.22	9.16	Sin	-12.00	
13		-1.7760	120.2150	221.00	64.00	223.20	4.49	Dex	-175.00	
14		-1.5450	119.6100	9.00	20.00	141.77	14.96	Rev	-49.00	
15		-0.9500	120.4500	271.00	34.00	9.42	33.71	Nor	97.00	
16		-1.4850	120.1910	271.00	34.00	9.42	33.71	Nor	97.00	
17		-0.9600	119.5700	351.00	63.00	0.89	18.62	Sin	21.00	
18		-1.1010	120.0430	76.00	52.00	237.16	22.46	Dex	151.00	
19		-1.1900	120.0130	321.00	61.00	359.90	48.56	Nor	59.00	
20		-1.0400	120.6200	90.00	44.00	181.39	43.99	Nor	91.00	
21		-1.2270	119.9980	320.00	64.00	350.19	45.87	Nor	53.00	
22		-0.2400	119.9400	89.00	75.00	266.39	9.66	Dex	170.00	
23		-0.3380	119.6300	230.00	47.00	274.25	36.80	Rev	-125.00	
24		-1.1050	119.8430	309.00	50.00	34.34	49.91	Nor	87.00	
25		-0.5000	120.0000	73.00	65.00	252.58	0.91	Dex	179.00	
26		-1.2500	120.0900	336.00	68.00	342.13	14.81	Sin	16.00	
27		-0.8500	119.7800	73.00	74.00	252.45	1.92	Dex	178.00	
28		-1.1700	119.4800	17.00	21.00	126.19	19.93	Rev	-72.00	
29		-0.3500	119.9300	250.00	62.00	60.82	16.71	Dex	161.00	
30		-1.2100	120.0800	339.00	83.00	339.61	4.96	Sin	5.00	
31		-0.6400	119.8000	330.00	38.00	345.18	11.56	Sin	19.00	
32		-1.0970	120.2480	114.00	28.00	191.58	27.44	Nor	79.00	
33		-0.1700	120.0200	147.00	32.00	277.59	25.39	Rev	-54.00	
34		-0.9520	120.4180	159.00	38.00	176.66	13.33	Sin	22.00	
35		-1.1400	120.0800	63.00	67.00	234.47	19.26	Dex	159.00	
36		-1.2970	120.4270	277.00	57.00	21.47	56.15	Nor	98.00	
37		-1.0100	120.6900	130.00	65.00	309.15	1.81	Sin	-2.00	
38		-1.2500	120.4800	139.00	59.00	154.93	24.55	Sin	29.00	
39		-1.2900	120.2300	268.00	30.00	54.87	17.51	Dex	143.00	
40		-1.3280	119.9400	64.00	74.00	243.72	0.96	Dex	179.00	
41		-1.3140	120.0130	67.00	84.00	67.21	1.99	Dex	-178.00	
42		-1.3400	120.4800	275.00	38.00	13.86	37.67	Nor	97.00	
43		-0.7800	119.6700	7.00	34.00	136.13	27.62	Rev	-56.00	
44		-1.4400	120.2200	127.00	59.00	304.94	3.43	Sin	-4.00	
45		-0.4000	120.0200	181.00	77.00	181.22	0.97	Sin	1.00	
46		-0.3450	119.8520	359.00	66.00	4.79	12.77	Sin	14.00	
47		-1.5100	120.1900	52.00	76.00	231.03	3.88	Dex	176.00	
48		-1.5100	120.1500	101.00	38.00	165.03	35.08	Nor	69.00	
49		-1.4300	120.1900	116.00	37.00	165.82	29.93	Nor	56.00	
50		-1.2500	120.2400	111.00	35.00	196.12	34.90	Nor	86.00	
51		-0.6950	119.8670	349.00	38.00	351.36	1.85	Sin	3.00	
52		-0.5200	119.8900	258.00	76.00	261.20	12.61	Dex	-167.00	
53		-1.4400	119.9500	115.00	13.00	289.15	1.35	Sin	-6.00	
54		-0.8700	120.0400	145.00	33.00	187.97	23.88	Nor	48.00	
55		-1.6500	120.2300	47.00	72.00	222.27	14.25	Dex	165.00	
56		-1.2400	120.4600	120.00	37.00	197.55	36.35	Nor	80.00	
57		-1.2500	120.4100	124.00	44.00	175.25	36.98	Nor	60.00	
58		-1.4800	120.2900	109.00	41.00	155.09	32.06	Nor	54.00	
59		-1.7700	120.5300	136.00	41.00	260.02	35.77	Rev	-63.00	
60		-1.6800	120.1800	36.00	86.00	36.21	2.99	Dex	-177.00	
61		-1.5200	120.1900	87.00	42.00	166.29	41.50	Nor	82.00	
62		-1.2900	120.6500	234.00	60.00	42.02	19.78	Dex	157.00	
