// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		-1.0640	126.8690	283.00	80.00	285.30	12.80	Sin	13.00	
2		-1.0050	126.7350	270.00	24.00	279.15	4.05	Sin	10.00	
3		-0.9930	126.9810	343.00	24.00	95.79	22.32	Rev	-69.00	
4		-0.9160	126.8850	174.00	74.00	236.98	72.16	Rev	-98.00	
5		-1.4500	126.7600	297.00	29.00	111.75	2.90	Sin	-6.00	
6		-0.8430	126.8310	201.00	87.00	206.39	60.86	Rev	-119.00	
7		-1.2500	126.8100	21.00	42.00	111.00	42.00	Rev	-90.00	
8		-1.0170	126.7790	12.00	87.00	186.61	60.86	Nor	119.00	
9		-0.9810	126.9710	172.00	79.00	233.15	77.49	Rev	-96.00	
10		-1.0090	127.0430	16.00	15.00	76.15	13.08	Rev	-119.00	
11		-1.0100	126.6700	322.00	20.00	77.35	18.21	Rev	-66.00	
12		-1.0800	126.7400	350.00	27.00	84.49	26.93	Rev	-86.00	
13		-1.0000	126.3000	254.00	50.00	293.45	37.13	Rev	-128.00	
14		-1.0430	126.9750	13.00	80.00	180.90	49.94	Nor	129.00	
15		-1.0390	127.0060	19.00	75.00	185.88	40.27	Dex	138.00	
16		-0.9870	126.9150	261.00	68.00	267.53	15.73	Sin	17.00	
17		-1.0490	126.9140	282.00	53.00	291.79	12.72	Sin	16.00	
18		-1.0200	126.7900	16.00	57.00	179.85	23.19	Dex	152.00	
19		-0.9690	126.8750	24.00	84.00	195.19	55.54	Nor	124.00	
20		-1.4580	126.5240	346.00	49.00	53.78	46.80	Nor	75.00	
21		-0.9270	126.9110	259.00	42.00	270.26	9.97	Sin	15.00	
22		-0.9190	126.7820	270.00	19.00	272.84	0.98	Sin	3.00	
23		-0.8950	126.7910	34.00	88.00	207.87	71.89	Nor	108.00	
24		-0.9780	126.8830	264.00	67.00	283.38	38.02	Sin	42.00	
25		-1.0400	126.9700	31.00	47.00	196.33	15.19	Dex	159.00	
26		-0.8900	126.8500	299.00	65.00	113.43	11.76	Sin	-13.00	
27		-1.1260	126.9210	300.00	25.00	57.23	22.52	Rev	-65.00	
28		-1.1490	126.8760	298.00	10.00	93.33	4.21	Sin	-25.00	
29		-0.9800	126.7000	326.00	17.00	76.84	15.95	Rev	-70.00	
30		-1.2600	126.4500	323.00	58.00	127.26	23.46	Dex	152.00	
