// Orient data file
// Add data id or metadata here
ID	Station	Latitude	Longitude	Strike	Dip	Trend	Plunge	Sense	Rake	Type
1		1.1250	120.3080	85.00	83.00	91.05	40.63	Sin	41.00	
2		0.9930	120.3830	263.00	82.00	353.00	82.00	Rev	-90.00	
3		0.5800	119.9100	344.00	18.00	158.29	1.85	Sin	-6.00	
4		1.1590	120.9770	278.00	79.00	328.31	75.82	Rev	-99.00	
5		1.1960	120.8000	290.00	79.00	327.43	72.26	Rev	-104.00	
6		1.1810	120.7980	290.00	74.00	311.49	51.95	Rev	-125.00	
7		0.8400	119.6100	319.00	21.00	13.15	17.28	Nor	56.00	
8		1.0760	120.1390	260.00	69.00	298.83	58.53	Rev	-114.00	
9		0.9640	120.0900	16.00	21.00	176.28	7.38	Sin	-21.00	
10		0.8020	120.3560	285.00	56.00	295.30	14.84	Sin	18.00	
11		0.7220	119.9650	165.00	72.00	171.07	18.04	Dex	-161.00	
12		0.6600	119.8800	53.00	57.00	57.38	6.70	Sin	8.00	
13		0.9370	120.1690	148.00	20.00	202.33	16.47	Rev	-124.00	
14		0.9450	120.1620	257.00	77.00	325.75	76.09	Rev	-95.00	
15		1.0500	120.1580	257.00	76.00	330.88	75.45	Rev	-94.00	
16		1.0720	120.3730	58.00	22.00	173.65	20.01	Rev	-66.00	
17		0.8600	120.2600	63.00	14.00	172.54	13.22	Rev	-71.00	
18		1.2700	120.3500	63.00	14.00	172.54	13.22	Rev	-71.00	
19		1.0360	120.2400	262.00	76.00	332.12	75.15	Rev	-95.00	
20		1.0270	120.4580	264.00	77.00	328.96	75.70	Rev	-96.00	
21		1.1610	120.5610	70.00	25.00	184.03	23.07	Rev	-68.00	
22		0.9000	120.5000	70.00	25.00	184.03	23.07	Rev	-68.00	
23		1.3600	120.3500	57.00	16.00	166.71	15.11	Rev	-71.00	
24		0.9710	120.2190	256.00	75.00	327.32	74.21	Rev	-95.00	
25		1.0000	120.2000	57.00	16.00	166.71	15.11	Rev	-71.00	
26		1.0080	120.1970	40.00	21.00	171.95	15.93	Rev	-50.00	
27		1.6900	120.2600	40.00	21.00	171.95	15.93	Rev	-50.00	
28		1.0260	120.1090	95.00	21.00	193.56	20.79	Rev	-82.00	
29		1.0200	120.2430	257.00	74.00	322.99	72.57	Rev	-97.00	
30		1.4300	120.3200	52.00	17.00	166.97	15.49	Rev	-66.00	
31		1.1940	120.6680	267.00	88.00	300.66	86.39	Rev	-93.00	
32		1.2000	120.0000	49.00	19.00	174.50	15.66	Rev	-56.00	
33		1.2190	120.8400	45.00	37.00	117.66	35.73	Nor	76.00	
34		1.0330	120.1650	262.00	76.00	325.09	74.38	Rev	-97.00	
35		0.6920	119.8360	100.00	37.00	267.92	8.96	Dex	165.00	
36		0.4540	119.8330	84.00	71.00	249.23	36.52	Dex	141.00	
37		1.0890	120.4380	281.00	75.00	36.38	73.48	Rev	-83.00	
38		0.9460	120.2310	272.00	16.00	329.99	13.67	Nor	59.00	
39		0.9590	120.1450	44.00	18.00	164.24	15.68	Rev	-61.00	
40		1.5000	120.0000	116.00	68.00	124.18	19.41	Sin	21.00	
41		1.1650	120.8660	262.00	68.00	346.67	67.91	Rev	-92.00	
42		1.1800	120.9750	87.00	24.00	170.44	23.86	Rev	-96.00	
43		1.2800	120.7500	87.00	24.00	170.44	23.86	Rev	-96.00	
44		1.0330	120.0620	43.00	18.00	161.18	15.98	Rev	-63.00	
45		1.0330	120.0340	63.00	36.00	166.51	35.24	Rev	-79.00	
46		1.0260	120.0050	64.00	17.00	160.27	16.90	Rev	-84.00	
47		1.3100	119.9700	60.00	15.00	158.28	14.85	Rev	-82.00	
48		1.2300	119.9400	47.00	19.00	150.72	18.50	Rev	-77.00	
49		1.2200	119.9500	66.00	10.00	163.11	9.92	Rev	-83.00	
