date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
05-04-10,11:06.7,-0.4,125.17,44.3,5.1,267,28,90,87,62,90,6.11e+23,23,,,,,,
05-04-10,40:13.0,-0.25,125.17,10,5.4,244,32,58,101,64,108,,,,,,,,
05-04-10,11:04.0,-0.17,125.14,15,5.4,267,28,90,87,62,90,,,,,,,,
05-04-10,05:44.8,-0.128,125.011,30,6.12,86,80,101,220,15,45,1.9,18,0.27,0.15,0.51,1.71,-0.44,-0.77
07-06-10,27:14.0,-0.31,124.69,30,5.2,227,29,87,50,61,91,,,,,,,,
25-10-10,05:28.0,-0.2,125.29,10,5.8,236,29,108,35,63,80,,,,,,,,
08-01-11,10:55.8,-0.089,124.93,50,5.65,33,61,77,239,32,113,3.7,17,-1.45,1.83,3,0.72,-1.77,-1.55
05-05-11,45:24.0,0.01,124.59,10,5.1,240,39,110,35,54,75,,,,,,,,
03-08-11,52:16.0,-0.14,125.35,45,5.3,227,36,90,47,54,90,,,,,,,,
23-04-12,21:44.7,0.356,125.377,45,5.72,29,63,75,239,31,116,4.6,17,-1.91,2.38,3.32,1.01,-2.64,-1.41
19-05-12,10:36.0,-0.23,125.56,10,5,90,60,28,346,66,147,,,,,,,,
29-10-12,29:50.5,-0.17,125.33,16,5.5,242,29,113,36,63,78,,,,,,,,
05-11-12,29:59.0,-0.17,125.33,10,5.2,248,33,117,36,61,73,,,,,,,,
10-03-13,08:09.8,-0.21,125.77,39.7,5,276,51,161,18,76,40,4.59e+23,23,,,,,,
26-06-13,59:01.2,-0.158,124.993,34.8,5.54,33,64,68,256,34,128,2.5,17,-0.46,1.36,1.76,0.52,-1.31,-1.29
29-05-14,16:51.2,-0.3,125.18,32,5.2,264,37,141,27,68,59,7.51e+23,23,,,,,,
10-09-14,30:53.0,-0.31,125.08,33.8,5.1,252,45,121,32,53,62,5.94e+23,23,,,,,,
10-09-14,33:02.0,-0.42,125.16,31.3,5.3,250,33,122,34,62,71,1.28e+24,24,,,,,,
10-09-14,16:53.2,-0.21,125.097,30,5.89,28,66,66,255,33,132,0.86,18,-0.19,0.57,0.62,0.08,-0.34,-0.43
10-09-14,46:06.9,-0.202,125.053,29.2,6.27,32,65,72,251,30,124,3.23,18,-0.84,1.98,2.41,0.63,-1.28,-1.57
04-02-15,41:44.9,-0.31,125.1,37.5,5.3,237,35,116,26,59,73,1.25e+24,24,,,,,,
24-04-15,28:08.2,-0.14,124.28,49.1,5.3,248,43,136,13,62,56,1.29e+24,24,,,,,,
13-06-15,45:43.5,-0.28,124.46,41.5,4.9,228,35,109,25,57,77,2.7e+23,23,,,,,,
29-11-16,53:55.0,0.04,125.38,32.2,5,27,41,129,160,59,61,4.7e+23,23,,,,,,
23-12-16,15:39.4,-0.35,124.55,42.1,4.9,234,35,117,23,59,72,2.82e+23,23,,,,,,
