date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,datetime
2011-06-13,08:40:18.5,-0.206829,119.864578,8.476,5.23467,89,79,-159,354,70,-12,,B,,,,,,,2011-06-13 08:40:18.500
2011-10-13,11:25:08.1,-0.55416,119.733627,9.549,4.83039,289,58,20,188,73,146,,B,,,,,,,2011-10-13 11:25:08.100
2011-12-19,01:23:25.000,-1.17,119.48,10.0,5.6,17,21,72,216,70,97,,,,,,,,,2011-12-19 01:23:25.000
2011-12-27,10:33:40.5,-1.502958,120.479225,31.942,4.93146,205,62,-172,111,83,-28,,B,,,,,,,2011-12-27 10:33:40.500
2012-01-09,05:13:53.1,-1.50228,120.480766,8.521,4.83039,238,79,165,331,75,12,,B,,,,,,,2012-01-09 05:13:53.100
2012-02-08,08:52:23.900,-0.35,119.93,12.7,4.8,250,62,-161,151,73,-30,1.85e+23,23.0,,,,,,,2012-02-08 08:52:23.900
2012-08-18,09:41:53.000,-1.21,120.08,10.0,6.2,339,83,-5,70,85,-173,,,,,,,,,2012-08-18 09:41:53.000
2012-11-08,09:37:22.3,-0.282633,119.725731,7.704,4.42611,228,79,101,4,15,47,,B,,,,,,,2012-11-08 09:37:22.300
2013-06-30,01:04:20.800,-0.64,119.8,28.2,4.9,330,38,-19,75,79,-126,2.78e+23,23.0,,,,,,,2013-06-30 01:04:20.800
2013-10-22,18:17:51.5,-0.174069,119.760063,9.787,3.90484,28,67,49,274,46,147,,A,,,,,,,2013-10-22 18:17:51.500
2014-02-23,15:06:52.210,-1.097,120.248,24.8,5.4,114,28,-79,282,63,-96,1.56,17.0,0.03,-0.14,-1.22,0.9,-0.41,1.18,2014-02-23 15:06:52.210
2014-07-15,02:37:58.6,-0.321845,119.741043,27.957,5.23467,193,65,114,326,34,49,,B,,,,,,,2014-07-15 02:37:58.600
2014-07-15,02:38:00.600,-0.17,120.02,39.7,4.9,147,32,54,8,65,110,3.23e+23,23.0,,,,,,,2014-07-15 02:38:00.600
2016-02-29,14:10:53.6,-1.417583,120.420143,13.707,4.62825,251,89,138,341,48,1,,B,,,,,,,2016-02-29 14:10:53.600
2016-03-23,10:49:45.6,-0.485021,119.972,17.363,4.42611,282,64,-118,153,37,-46,,B,,,,,,,2016-03-23 10:49:45.600
2016-09-07,14:32:40.040,-0.952,120.418,18.1,5.27,159,38,-22,267,76,-126,1.01,17.0,-0.21,-0.05,-0.37,0.69,-0.6,0.59,2016-09-07 14:32:40.040
2016-11-27,23:40:26.6,-0.190017,119.73848,11.185,3.83011,228,47,79,64,44,102,,B,,,,,,,2016-11-27 23:40:26.600
2016-12-19,10:38:36.8,-0.189368,119.888443,6.29,3.83011,88,87,170,179,83,3,,A,,,,,,,2016-12-19 10:38:36.800
2017-04-20,16:54:01.500,-1.14,120.08,21.0,4.8,63,67,-159,324,71,-24,1.73e+23,23.0,,,,,,,2017-04-20 16:54:01.500
2017-05-10,20:04:21.7,-0.168182,119.813538,10.112,3.83011,242,52,-111,93,43,-66,,B,,,,,,,2017-05-10 20:04:21.700
2017-05-29,14:35:23.240,-1.297,120.427,16.8,6.58,277,57,-98,111,34,-78,0.94,19.0,-0.11,-0.01,-0.77,0.38,-0.26,0.89,2017-05-29 14:35:23.240
2017-05-31,04:42:05.400,-1.01,120.69,17.9,4.9,130,65,2,39,88,154,3.13e+23,23.0,,,,,,,2017-05-31 04:42:05.400
2017-06-02,05:59:17.000,-1.25,120.48,18.1,4.9,139,59,-29,245,66,-146,2.6e+23,23.0,,,,,,,2017-06-02 05:59:17.000
2017-07-19,14:56:16.3,-0.367061,119.939613,36.669,4.1229,181,67,-1,271,89,-157,,B,,,,,,,2017-07-19 14:56:16.300
2017-10-06,09:23:40.6,-0.47373,119.868988,10.933,4.93146,159,55,-24,263,71,-143,,B,,,,,,,2017-10-06 09:23:40.600
2017-11-02,17:02:15.400,-1.29,120.23,14.8,4.9,268,30,-143,145,72,-65,3.1e+23,23.0,,,,,,,2017-11-02 17:02:15.400
