name,quality,lon,lat,depth,strike1,dip1,rake1,strike2,dip2,rake2,Mw,down,up,R,type,K,AR
before,A-B,120.21629411764707,-1.3261764705882353,10.0,140.55027498834153,88.6701904934608,9.305755878448291,85.74721526304151,81.6195708908022,-175.7281518775492,4.0,286.97793665148447,298.04708633794814,0.4476067389455336,SS,1.0,1.5523932610544664
after,A-B,120.21629411764707,-1.3261764705882353,10.0,244.46922112811768,75.10383584919664,-151.91811241283708,122.25575142884094,71.97974887448122,-26.2844874526714,4.0,74.85908016870745,103.81853976756327,0.2775009147031316,SS-N,1.0,1.7224990852968685
before,A-D,120.21629411764707,-1.3261764705882353,10.0,139.8098649188005,84.71709809826325,8.98233439501663,88.18695074679654,79.69331997045398,-178.53101718312553,4.0,288.3351631022904,299.62566107176207,0.5519359579208979,SS,1.0,1.448064042079102
after,A-D,120.21629411764707,-1.3261764705882353,10.0,244.46922112811768,75.10383584919664,-151.91811241283708,122.25575142884094,71.97974887448122,-26.2844874526714,4.0,74.85908016870745,103.81853976756327,0.2775009147031316,SS-N,1.0,1.7224990852968685
