"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
"// WorldEQ_1980-1990 - Earthquake epicenters 1980-1990, M greater than 4.5 "
"// "
//   and
"// "
// ModernCO - Modern continental outlines
"// "
// See those files for references.
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
142.9,38.5,EQ,
169.2,-21.5,EQ,
155.0,48.3,EQ,
22.9,38.2,EQ,
23.1,38.1,EQ,
143.1,38.3,EQ,
140.3,11.3,EQ,
130.8,28.3,EQ,
149.0,-6.2,EQ,
169.4,-21.3,EQ,
-173.3,-15.5,EQ,
169.3,-21.3,EQ,
156.2,49.8,EQ,
166.5,-13.9,EQ,
166.6,-12.4,EQ,
-38.1,8.2,EQ,
176.4,51.8,EQ,
166.5,-10.6,EQ,
139.4,-4.5,EQ,
-174.1,-21.2,EQ,
-81.4,-6.4,EQ,
-104.0,-3.9,EQ,
-173.2,-16.6,EQ,
107.7,-9.5,EQ,
-60.3,12.3,EQ,
146.7,-5.6,EQ,
121.5,22.9,EQ,
-66.0,-22.6,EQ,
72.8,39.3,EQ,
73.2,31.4,EQ,
-19.8,-0.4,EQ,
-176.7,-25.7,EQ,
129.4,-7.3,EQ,
23.3,38.2,EQ,
23.1,38.2,EQ,
177.3,-37.3,EQ,
-157.0,21.0,EQ,
102.9,-5.2,EQ,
137.9,32.1,EQ,
128.9,3.2,EQ,
-1.4,79.8,EQ,
154.8,-6.3,EQ,
-85.9,3.9,EQ,
-86.1,3.8,EQ,
-60.7,16.8,EQ,
-179.5,-22.0,EQ,
23.3,38.2,EQ,
69.4,30.3,EQ,
-178.2,-30.6,EQ,
-24.8,-0.2,EQ,
-24.6,-0.2,EQ,
-66.3,-23.6,EQ,
142.1,40.2,EQ,
-103.9,18.8,EQ,
144.9,-3.5,EQ,
-89.1,13.2,EQ,
122.4,-1.3,EQ,
20.7,39.5,EQ,
-175.3,-23.4,EQ,
-175.4,-23.3,EQ,
-175.3,-23.7,EQ,
146.1,-7.2,EQ,
156.6,49.2,EQ,
2.5,-54.4,EQ,
-27.0,-56.5,EQ,
148.6,-5.9,EQ,
125.6,11.6,EQ,
125.5,11.7,EQ,
-70.3,-14.7,EQ,
120.7,13.9,EQ,
125.7,6.4,EQ,
110.4,-8.8,EQ,
-26.5,-56.1,EQ,
-174.6,-15.0,EQ,
166.2,-11.4,EQ,
127.3,6.8,EQ,
166.5,-12.4,EQ,
160.3,53.8,EQ,
129.4,29.3,EQ,
-71.8,-35.5,EQ,
129.5,2.0,EQ,
-74.9,-9.8,EQ,
169.2,-21.5,EQ,
-178.9,-17.5,EQ,
129.4,29.4,EQ,
132.5,30.6,EQ,
132.6,30.5,EQ,
-172.9,-16.2,EQ,
154.6,-6.5,EQ,
152.8,-5.6,EQ,
-178.9,-34.1,EQ,
126.2,0.5,EQ,
53.1,28.1,EQ,
142.5,41.3,EQ,
99.6,-48.0,EQ,
-179.8,-25.2,EQ,
146.7,-5.5,EQ,
-154.7,59.0,EQ,
-179.1,-34.2,EQ,
125.5,23.2,EQ,
-44.9,13.4,EQ,
-71.9,-33.7,EQ,
172.7,-22.8,EQ,
-45.0,13.6,EQ,
141.9,41.4,EQ,
141.7,31.8,EQ,
-168.0,52.7,EQ,
142.7,26.6,EQ,
-9.9,-48.1,EQ,
127.3,6.1,EQ,
-174.4,-19.8,EQ,
147.7,-8.2,EQ,
164.8,-49.3,EQ,
-174.3,-21.6,EQ,
-69.0,-19.4,EQ,
128.0,3.4,EQ,
-24.0,-58.1,EQ,
120.0,12.4,EQ,
-31.4,-59.7,EQ,
151.0,-5.8,EQ,
-178.9,-33.7,EQ,
-178.8,-33.6,EQ,
169.4,-21.0,EQ,
79.0,50.0,EQ,
121.4,-8.4,EQ,
