// Seismic data of intermediate depth earthquakes (100 to 300 km) from the 
// Tonga- Kermadec region, epicenters between 16S and 28S, and 175E and 170W. 
// This set includes both nodal planes as Domain 1 and 2.
//
// From: Global Centroid-Moment-Tensor (CMT) Project
// www.globalcmt.org 
//
// Dziewonski, A. M., T.-A. Chou and J. H. Woodhouse, Determination of earthquake source 
//    parameters from waveform data for studies of global and regional seismicity, 
//    J. Geophys. Res., 86, 2825-2852, 1981. doi:10.1029/JB086iB04p02825
// Ekström, G., M. Nettles, and A. M. Dziewonski, The global CMT project 2004-2010: 
//    Centroid-moment tensors for 13,017 earthquakes, Phys. Earth Planet. Inter., 
//    200-201, 1-9, 2012. doi:10.1016/j.pepi.2012.04.002 
//
ID	Station	Elevation	Latitude	Longitude	Strike	Dip	Rake	Weight	Type	Domain	Notes
11474	B072786A	-109.200	-25.9800000	-177.4200000	48.000000	87.000000	48.000000	5.869	CMT	2	SOUTH OF FIJI ISLANDS
50871	C200606100600A	-109.400	-20.7500000	-175.9200000	37.000000	65.000000	13.000000	5.056	CMT	1	FIJI ISLANDS REGION
50872	C200606100600A	-109.400	-20.7500000	-175.9200000	133.000000	78.000000	154.000000	5.056	CMT	2	FIJI ISLANDS REGION
88627	C201508100743A	-109.400	-19.6200000	-174.4700000	51.000000	4.000000	-141.000000	5.677	CMT	1	TONGA ISLANDS
88628	C201508100743A	-109.400	-19.6200000	-174.4700000	179.000000	87.000000	-87.000000	5.677	CMT	2	TONGA ISLANDS
87199	C201504120045A	-109.900	-18.8600000	-173.8000000	290.000000	37.000000	-166.000000	4.944	CMT	1	TONGA ISLANDS
87200	C201504120045A	-109.900	-18.8600000	-173.8000000	31.000000	82.000000	-54.000000	4.944	CMT	2	TONGA ISLANDS
90137	C201512162038A	-110.100	-19.6400000	-174.4400000	55.000000	21.000000	-168.000000	5.145	CMT	1	TONGA ISLANDS
90138	C201512162038A	-110.100	-19.6400000	-174.4400000	155.000000	86.000000	-70.000000	5.145	CMT	2	TONGA ISLANDS
70667	C201108101939A	-110.100	-16.0400000	-173.5500000	59.000000	24.000000	-96.000000	5.231	CMT	1	TONGA ISLANDS
70668	C201108101939A	-110.100	-16.0400000	-173.5500000	232.000000	67.000000	-87.000000	5.231	CMT	2	TONGA ISLANDS
15421	B020789B	-110.300	-26.5200000	-177.2200000	251.000000	39.000000	-169.000000	5.431	CMT	1	KERMADEC ISLANDS REGION
15422	B020789B	-110.300	-26.5200000	-177.2200000	349.000000	83.000000	-52.000000	5.431	CMT	2	KERMADEC ISLANDS REGION
97809	C201709260420A	-110.700	-23.7900000	-176.4700000	118.000000	15.000000	173.000000	6.460	CMT	1	SOUTH OF FIJI ISLANDS
97810	C201709260420A	-110.700	-23.7900000	-176.4700000	21.000000	88.000000	75.000000	6.460	CMT	2	SOUTH OF FIJI ISLANDS
34949	B091400C	-111.100	-21.9600000	-175.5600000	33.000000	37.000000	-161.000000	5.480	CMT	1	SOUTH OF FIJI ISLANDS
34950	B091400C	-111.100	-21.9600000	-175.5600000	138.000000	79.000000	-54.000000	5.480	CMT	2	SOUTH OF FIJI ISLANDS
46023	C200503042135A	-111.400	-22.6500000	-176.0000000	340.000000	36.000000	-61.000000	5.185	CMT	1	SOUTH OF FIJI ISLANDS
46024	C200503042135A	-111.400	-22.6500000	-176.0000000	194.000000	59.000000	-109.000000	5.185	CMT	2	SOUTH OF FIJI ISLANDS
97043	C201707210915A	-111.500	-16.3500000	-173.4400000	348.000000	67.000000	9.000000	5.164	CMT	1	TONGA ISLANDS
97044	C201707210915A	-111.500	-16.3500000	-173.4400000	82.000000	81.000000	156.000000	5.164	CMT	2	TONGA ISLANDS
68233	C201102121757A	-111.600	-20.9300000	-175.1900000	272.000000	57.000000	35.000000	6.144	CMT	1	TONGA ISLANDS
68234	C201102121757A	-111.600	-20.9300000	-175.1900000	23.000000	61.000000	141.000000	6.144	CMT	2	TONGA ISLANDS
50257	C200604242115A	-112.000	-16.1500000	-173.1400000	323.000000	27.000000	110.000000	5.114	CMT	1	TONGA ISLANDS
50258	C200604242115A	-112.000	-16.1500000	-173.1400000	164.000000	65.000000	80.000000	5.114	CMT	2	TONGA ISLANDS
23029	B030294B	-112.300	-19.5500000	-174.4900000	281.000000	47.000000	55.000000	5.360	CMT	1	TONGA ISLANDS
23030	B030294B	-112.300	-19.5500000	-174.4900000	55.000000	53.000000	121.000000	5.360	CMT	2	TONGA ISLANDS
74841	C201208030252A	-112.400	-16.6700000	-173.7600000	292.000000	41.000000	11.000000	5.129	CMT	1	TONGA ISLANDS
74842	C201208030252A	-112.400	-16.6700000	-173.7600000	31.000000	83.000000	131.000000	5.129	CMT	2	TONGA ISLANDS
94567	C201612180224A	-113.100	-22.9200000	-175.8700000	304.000000	43.000000	-15.000000	5.169	CMT	1	TONGA ISLANDS REGION
94568	C201612180224A	-113.100	-22.9200000	-175.8700000	203.000000	80.000000	-132.000000	5.169	CMT	2	TONGA ISLANDS REGION
5863	C061182A	-113.200	-17.4000000	-174.0900000	237.000000	16.000000	38.000000	6.837	CMT	1	TONGA ISLANDS
5864	C061182A	-113.200	-17.4000000	-174.0900000	4.000000	80.000000	103.000000	6.837	CMT	2	TONGA ISLANDS
5713	B042982A	-114.000	-24.7300000	-177.3700000	148.000000	19.000000	167.000000	5.359	CMT	1	SOUTH OF FIJI ISLANDS
5714	B042982A	-114.000	-24.7300000	-177.3700000	46.000000	86.000000	71.000000	5.359	CMT	2	SOUTH OF FIJI ISLANDS
25355	B062395B	-114.100	-24.7700000	-176.8900000	142.000000	21.000000	170.000000	5.806	CMT	1	SOUTH OF FIJI ISLANDS
25356	B062395B	-114.100	-24.7700000	-176.8900000	42.000000	86.000000	70.000000	5.806	CMT	2	SOUTH OF FIJI ISLANDS
40539	B070303G	-114.200	-18.5000000	-174.0900000	44.000000	40.000000	161.000000	5.297	CMT	1	TONGA ISLANDS
40540	B070303G	-114.200	-18.5000000	-174.0900000	299.000000	78.000000	51.000000	5.297	CMT	2	TONGA ISLANDS
60433	C200901020851A	-114.800	-19.1500000	-174.3400000	309.000000	22.000000	-22.000000	5.074	CMT	1	TONGA ISLANDS
60434	C200901020851A	-114.800	-19.1500000	-174.3400000	198.000000	82.000000	-110.000000	5.074	CMT	2	TONGA ISLANDS
89515	C201510230032A	-115.200	-23.7000000	-176.7300000	334.000000	41.000000	-24.000000	5.093	CMT	1	SOUTH OF FIJI ISLANDS
89516	C201510230032A	-115.200	-23.7000000	-176.7300000	225.000000	75.000000	-128.000000	5.093	CMT	2	SOUTH OF FIJI ISLANDS
74809	C201207310220A	-115.500	-20.9600000	-175.1100000	254.000000	45.000000	2.000000	5.011	CMT	1	TONGA ISLANDS
74810	C201207310220A	-115.500	-20.9600000	-175.1100000	346.000000	88.000000	135.000000	5.011	CMT	2	TONGA ISLANDS
13793	B013188A	-115.500	-16.2700000	-173.9100000	137.000000	24.000000	136.000000	5.297	CMT	1	TONGA ISLANDS
13794	B013188A	-115.500	-16.2700000	-173.9100000	6.000000	74.000000	72.000000	5.297	CMT	2	TONGA ISLANDS
77029	C201301220729A	-115.800	-16.3400000	-173.7100000	143.000000	57.000000	-178.000000	5.047	CMT	1	TONGA ISLANDS
77030	C201301220729A	-115.800	-16.3400000	-173.7100000	234.000000	88.000000	-33.000000	5.047	CMT	2	TONGA ISLANDS
24601	B020995B	-116.000	-25.3500000	-176.9900000	176.000000	5.000000	92.000000	5.244	CMT	1	SOUTH OF FIJI ISLANDS
24602	B020995B	-116.000	-25.3500000	-176.9900000	358.000000	85.000000	90.000000	5.244	CMT	2	SOUTH OF FIJI ISLANDS
26793	C041696A	-116.200	-23.9800000	-176.4700000	63.000000	36.000000	-26.000000	7.172	CMT	1	SOUTH OF FIJI ISLANDS
26794	C041696A	-116.200	-23.9800000	-176.4700000	311.000000	75.000000	-123.000000	7.172	CMT	2	SOUTH OF FIJI ISLANDS
86447	C201502060245A	-116.200	-16.7900000	-173.5300000	290.000000	64.000000	179.000000	5.044	CMT	1	TONGA ISLANDS
86448	C201502060245A	-116.200	-16.7900000	-173.5300000	200.000000	89.000000	26.000000	5.044	CMT	2	TONGA ISLANDS
39455	B121602E	-116.600	-16.2700000	-173.6100000	256.000000	6.000000	11.000000	5.641	CMT	1	TONGA ISLANDS
39456	B121602E	-116.600	-16.2700000	-173.6100000	357.000000	89.000000	96.000000	5.641	CMT	2	TONGA ISLANDS
85619	C201412041845A	-117.000	-24.6400000	-176.6000000	46.000000	41.000000	-28.000000	5.458	CMT	1	SOUTH OF FIJI ISLANDS
85620	C201412041845A	-117.000	-24.6400000	-176.6000000	295.000000	72.000000	-128.000000	5.458	CMT	2	SOUTH OF FIJI ISLANDS
46871	C200505141002A	-117.600	-22.8100000	-176.1800000	340.000000	24.000000	-52.000000	5.639	CMT	1	SOUTH OF FIJI ISLANDS
46872	C200505141002A	-117.600	-22.8100000	-176.1800000	200.000000	71.000000	-105.000000	5.639	CMT	2	SOUTH OF FIJI ISLANDS
26771	B041096A	-117.600	-17.0300000	-173.6400000	262.000000	29.000000	162.000000	5.718	CMT	1	TONGA ISLANDS
26772	B041096A	-117.600	-17.0300000	-173.6400000	157.000000	82.000000	62.000000	5.718	CMT	2	TONGA ISLANDS
56493	C200712012349A	-118.400	-16.7800000	-173.1500000	177.000000	11.000000	-117.000000	4.954	CMT	1	TONGA ISLANDS
56494	C200712012349A	-118.400	-16.7800000	-173.1500000	329.000000	80.000000	-85.000000	4.954	CMT	2	TONGA ISLANDS
62009	C200906110337A	-118.900	-24.1900000	-176.4000000	57.000000	60.000000	-28.000000	5.528	CMT	1	SOUTH OF FIJI ISLANDS
62010	C200906110337A	-118.900	-24.1900000	-176.4000000	312.000000	66.000000	-146.000000	5.528	CMT	2	SOUTH OF FIJI ISLANDS
39305	B112302A	-119.100	-25.2100000	-177.0600000	126.000000	33.000000	117.000000	5.196	CMT	1	SOUTH OF FIJI ISLANDS
39306	B112302A	-119.100	-25.2100000	-177.0600000	337.000000	61.000000	74.000000	5.196	CMT	2	SOUTH OF FIJI ISLANDS
47879	C200508251344A	-119.100	-22.2800000	-175.9200000	104.000000	10.000000	177.000000	4.963	CMT	1	SOUTH OF FIJI ISLANDS
47880	C200508251344A	-119.100	-22.2800000	-175.9200000	11.000000	90.000000	80.000000	4.963	CMT	2	SOUTH OF FIJI ISLANDS
93389	C201609160238A	-119.300	-27.7100000	-177.4700000	321.000000	23.000000	-39.000000	5.106	CMT	1	KERMADEC ISLANDS REGION
93390	C201609160238A	-119.300	-27.7100000	-177.4700000	195.000000	76.000000	-108.000000	5.106	CMT	2	KERMADEC ISLANDS REGION
91759	C201605070429A	-119.400	-20.0500000	-174.6800000	275.000000	13.000000	-10.000000	4.964	CMT	1	TONGA ISLANDS
91760	C201605070429A	-119.400	-20.0500000	-174.6800000	176.000000	88.000000	-102.000000	4.964	CMT	2	TONGA ISLANDS
72861	C201202210910A	-119.600	-16.0500000	-173.8100000	33.000000	15.000000	-60.000000	5.169	CMT	1	TONGA ISLANDS
72862	C201202210910A	-119.600	-16.0500000	-173.8100000	244.000000	77.000000	-98.000000	5.169	CMT	2	TONGA ISLANDS
52945	C200612260111A	-120.700	-24.8900000	-176.8900000	320.000000	5.000000	-28.000000	5.268	CMT	1	SOUTH OF FIJI ISLANDS
52946	C200612260111A	-120.700	-24.8900000	-176.8900000	202.000000	88.000000	-94.000000	5.268	CMT	2	SOUTH OF FIJI ISLANDS
33981	B041900C	-120.700	-25.6000000	-176.8400000	289.000000	55.000000	-145.000000	5.385	CMT	1	SOUTH OF FIJI ISLANDS
33982	B041900C	-120.700	-25.6000000	-176.8400000	40.000000	62.000000	-41.000000	5.385	CMT	2	SOUTH OF FIJI ISLANDS
20761	B081492B	-120.800	-17.9600000	-173.9500000	300.000000	27.000000	-12.000000	5.236	CMT	1	TONGA ISLANDS
